,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Justin Thomas,3232
1,2,2,Dustin Johnson,3183
2,3,3,Bryson DeChambeau,2840
3,4,4,Brooks Koepka,2405
4,5,5,Tony Finau,2262
5,6,6,Webb Simpson,2111
6,7,7,Bubba Watson,2073
7,8,8,Xander Schauffele,1939
8,9,9,Tiger Woods,1863
9,10,10,Patrick Reed,1765
10,11,11,Rickie Fowler,1764
11,12,12,Phil Mickelson,1743
12,13,13,Patrick Cantlay,1686
13,14,14,Billy Horschel,1620
14,15,15,Keegan Bradley,1523
15,16,16,Patton Kizzire,1444
16,17,17,Kyle Stanley,1415
17,18,18,Kevin Na,1351
18,19,19,Gary Woodland,1307
19,20,20,Aaron Wise,1306
20,21,21,Pat Perez,1253
21,22,22,Jordan Spieth,1230
22,23,23,Kevin Kisner,1190
23,24,24,Andrew Landry,1147
24,25,25,Chez Reavie,1145
25,26,26,Luke List,1144
26,27,27,Brian Harman,1134
27,28,28,Chesson Hadley,1134
28,29,29,Brandt Snedeker,1109
29,30,30,Austin Cook,1101
30,31,31,Andrew Putnam,1092
31,32,32,Ryan Armour,1036
32,33,33,Brendan Steele,1015
33,34,34,Beau Hossler,1007
34,35,35,Charles Howell III,933
35,36,36,Zach Johnson,924
36,37,37,Brian Gay,900
37,38,38,Matt Kuchar,880
38,39,39,J.J. Spaun,869
39,40,40,Ryan Moore,842
40,41,41,Scott Piercy,821
41,42,42,Jason Kokrak,800
42,43,43,Stewart Cink,796
43,44,44,Chris Kirk,793
44,45,45,"Ted Potter, Jr.",785
45,46,46,Russell Henley,755
46,47,47,Jimmy Walker,725
47,48,48,Daniel Berger,722
48,49,49,Keith Mitchell,721
49,50,50,Brice Garnett,716
50,51,51,Kevin Chappell,710
51,52,52,Kevin Streelman,687
52,53,53,Peter Uihlein,680
53,54,54,Joel Dahmen,676
54,55,55,Michael Kim,675
55,56,56,J.B. Holmes,648
56,57,57,James Hahn,639
57,58,58,Charley Hoffman,631
58,59,59,Kelly Kraft,627
59,60,60,Jamie Lovemark,624
60,61,61,Troy Merritt,616
61,62,62,Jason Dufner,611
62,63,63,Ryan Palmer,610
63,64,64,Kevin Tway,603
64,65,65,Tom Hoge,598
65,66,66,Ollie Schniederjans,578
66,67,67,Nick Watney,563
67,68,68,Patrick Rodgers,541
68,69,69,Trey Mullinax,534
69,70,70,Brandon Harkins,533
70,71,71,Bronson Burgoon,519
71,72,72,Scott Stallings,509
72,73,73,Richy Werenski,498
73,74,74,Sean O'Hair,492
74,75,75,Harold Varner III,488
75,76,76,Brian Stuard,487
76,77,77,John Huh,480
77,78,78,Sam Ryder,473
78,79,79,Scott Brown,467
79,80,80,Tyler Duncan,457
80,81,81,William McGirt,449
81,82,82,J.T. Poston,448
82,83,83,Grayson Murray,447
83,84,84,Vaughn Taylor,445
84,85,85,Bud Cauley,437
85,86,86,Ryan Blaum,433
86,87,87,Sam Saunders,425
87,88,88,Harris English,383
88,89,89,Lucas Glover,383
89,90,90,Martin Piller,371
90,91,91,Chad Campbell,361
91,92,92,Robert Garrigus,353
92,93,93,Johnson Wagner,338
93,94,94,Tom Lovelady,332
94,95,95,Derek Fathauer,316
95,96,96,Talor Gooch,308
96,97,97,Jim Furyk,291
97,98,98,Michael Thompson,280
98,99,99,Steve Stricker,274
99,100,100,Nicholas Lindheim,272
100,101,101,Bill Haas,269
101,102,102,Shawn Stefani,268
102,103,103,Ben Crane,267
103,104,104,Denny McCarthy,267
104,105,105,Ben Martin,266
105,106,106,Hudson Swafford,262
106,107,107,Chris Stroud,255
107,108,108,Adam Schenk,239
108,109,109,J.J. Henry,239
109,110,110,Hunter Mahan,234
110,111,111,Peter Malnati,226
111,112,112,Wesley Bryan,223
112,113,113,Martin Flores,215
113,114,114,Blayne Barber,202
114,115,115,Dominic Bozzelli,190
115,116,116,Zac Blair,176
116,117,117,Lanto Griffin,175
117,118,118,Nate Lashley,168
118,119,119,Jonathan Randolph,166
119,120,120,Ricky Barnes,164
120,121,121,D.A. Points,162
121,122,122,Robert Streb,162
122,123,123,Ethan Tracy,157
123,124,124,Brett Stegmaier,149
124,125,125,Rob Oppenheim,148
125,126,126,Jonathan Byrd,147
126,127,127,Cody Gribble,141
127,128,128,Steve Wheatcroft,138
128,129,129,Matt Every,113
129,130,130,Parker McLachlin,92
130,131,131,Conrad Shindler,92
131,132,132,Daniel Summerhays,89
132,133,133,Cameron Tringale,88
133,134,134,Tim Herron,87
134,135,135,Morgan Hoffmann,81
135,136,136,John Merrick,79
136,137,137,Smylie Kaufman,74
137,138,138,Billy Hurley III,73
138,139,139,Jerry Kelly,54
139,140,140,D.J. Trahan,46
140,141,141,Davis Love III,45
141,142,142,Matt Atkins,44
142,143,143,George McNeill,42
143,144,144,Brandon Hagy,39
144,145,145,Steve Marino,36
145,146,146,Eric Axley,33
146,147,147,Ken Duke,33
147,148,148,Dicky Pride,30
148,149,149,Troy Matteson,28
149,150,150,Jason Bohn,27
150,151,151,Tommy Gainey,26
151,152,152,Heath Slocum,24
152,153,153,Fred Couples,18
153,154,154,Andrew Yun,16
154,155,155,Colt Knost,13
155,156,156,Jim Herman,13
156,157,157,Derek Ernst,11
157,158,158,Kyle Thompson,10
158,159,159,Mark Wilson,9
159,160,160,Bob Estes,7
160,161,161,Charlie Beljan,7
161,162,162,Kris Blanks,6
162,163,163,Rick Lamb,6
163,164,164,Omar Uresti,6
164,165,165,John Daly,5
165,166,166,John Rollins,4
166,167,167,Cameron Beckman,4
167,168,168,Paul Goydos,3
168,169,169,Chris Couch,3
169,T170,T170,Jay Don Blake,3
170,T170,T170,Michael Bradley,3
171,172,172,Olin Browne,3
172,173,173,Jonathan Kaye,2
173,T174,T174,Neal Lancaster,2
174,T174,T174,Shaun Micheel,2
