,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
48,49,49,Ryan Armour,32,1113,1.0,3.0,4864.0,
49,50,50,Ian Poulter,20,1090,1.0,4.0,4887.0,
50,51,51,Adam Scott,21,1081,,3.0,4896.0,
51,52,52,Jason Kokrak,29,1053,,4.0,4924.0,
52,53,53,Charles Howell III,28,1041,,4.0,4936.0,
53,54,54,Tyrrell Hatton,16,1041,,4.0,4936.0,
54,55,55,Si Woo Kim,31,1026,,5.0,4951.0,
55,56,56,Brendan Steele,22,1015,1.0,3.0,4962.0,
56,57,57,Henrik Stenson,16,990,,5.0,4987.0,
57,58,58,Zach Johnson,25,981,,2.0,4996.0,
58,59,59,Brian Gay,30,949,,6.0,5028.0,
59,60,60,Abraham Ancer,30,938,,5.0,5039.0,
60,61,61,Brice Garnett,30,933,1.0,2.0,5044.0,
61,62,62,J.J. Spaun,27,919,,4.0,5058.0,
62,63,63,Ryan Palmer,22,916,,3.0,5061.0,
63,64,64,Peter Uihlein,26,911,,4.0,5066.0,
64,65,65,"Ted Potter, Jr.",28,889,1.0,1.0,5088.0,
65,66,66,Chris Kirk,29,888,,4.0,5089.0,
66,67,67,Keith Mitchell,29,878,,4.0,5099.0,
67,68,68,Scott Piercy,26,872,1.0,2.0,5105.0,
68,69,69,Louis Oosthuizen,17,847,,3.0,5130.0,
69,70,70,Daniel Berger,23,839,,1.0,5138.0,
70,71,71,Ryan Moore,22,806,,5.0,5171.0,
71,72,72,Whee Kim,30,805,,3.0,5172.0,
72,73,73,Stewart Cink,25,775,,3.0,5202.0,
73,74,74,Nick Watney,26,760,,1.0,5217.0,
74,75,75,Jimmy Walker,23,741,,4.0,5236.0,
75,76,76,Matt Kuchar,24,740,,4.0,5237.0,
76,77,77,Kevin Streelman,27,724,,5.0,5253.0,
77,78,78,Bronson Burgoon,24,718,,2.0,5259.0,
78,79,79,Charley Hoffman,25,689,,,5288.0,
79,80,80,Joel Dahmen,28,676,,3.0,5301.0,
80,81,81,Michael Kim,27,675,1.0,1.0,5302.0,
81,82,82,J.B. Holmes,24,668,,3.0,5309.0,
82,83,83,Kevin Chappell,23,667,,4.0,5310.0,
83,84,84,James Hahn,26,666,,1.0,5311.0,
84,85,85,Jamie Lovemark,26,664,,3.0,5313.0,
85,86,86,Brian Stuard,32,654,,3.0,5323.0,
86,87,87,Kevin Tway,31,643,,3.0,5334.0,
87,88,88,Branden Grace,18,634,,2.0,5343.0,
88,89,89,Russell Knox,27,629,,3.0,5348.0,
89,90,90,Kelly Kraft,31,627,,3.0,5350.0,
90,91,91,Troy Merritt,27,616,1.0,3.0,5361.0,
91,92,92,Tom Hoge,31,608,,3.0,5369.0,
92,93,93,Scott Stallings,30,608,,2.0,5369.0,
93,94,94,Satoshi Kodaira,18,600,1.0,1.0,5377.0,
94,95,95,Jhonattan Vegas,27,598,,1.0,5379.0,
95,96,96,Russell Henley,23,589,,3.0,5388.0,
96,97,97,Danny Lee,30,587,,3.0,5390.0,
97,98,98,Ollie Schniederjans,27,573,,3.0,5404.0,
98,99,99,Anirban Lahiri,24,566,,4.0,5411.0,
99,100,100,Jason Dufner,22,557,,2.0,5420.0,
100,101,101,Sam Ryder,26,551,,3.0,5426.0,
101,102,102,Trey Mullinax,24,550,,3.0,5427.0,
102,103,103,Brandon Harkins,30,545,,3.0,5432.0,
103,104,104,Patrick Rodgers,30,541,,3.0,5436.0,
104,105,105,Charl Schwartzel,20,528,,3.0,5449.0,
105,106,106,Sean O'Hair,22,526,,2.0,5451.0,
106,107,107,Harold Varner III,27,524,,3.0,5453.0,
107,108,108,Alex Cejka,24,524,,2.0,5453.0,
108,109,109,Rory Sabbatini,27,521,,1.0,5456.0,
109,110,110,Richy Werenski,32,498,,2.0,5479.0,
110,111,111,Sung Kang,29,490,,2.0,5487.0,
111,112,112,John Huh,29,480,,2.0,5497.0,
112,113,113,Tyler Duncan,31,457,,2.0,5520.0,
113,114,114,Seamus Power,28,455,,2.0,5522.0,
114,115,115,Martin Laird,22,453,,3.0,5524.0,
115,116,116,William McGirt,26,449,,3.0,5528.0,
116,117,117,J.T. Poston,22,448,,2.0,5529.0,
117,118,118,Vaughn Taylor,25,445,,3.0,5532.0,
118,119,119,Grayson Murray,22,438,,2.0,5539.0,
119,120,120,Sam Saunders,26,437,,4.0,5540.0,
120,121,121,Ryan Blaum,28,433,,2.0,5544.0,
121,122,122,Scott Brown,32,422,,2.0,5555.0,
122,123,123,Nick Taylor,30,420,,2.0,5557.0,
123,124,124,Bud Cauley,17,405,,2.0,5572.0,
124,125,125,Harris English,31,383,,2.0,5594.0,
125,126,126,Martin Piller,28,371,,2.0,5606.0,
126,127,127,Tyrone Van Aswegen,31,364,,1.0,5613.0,
127,128,128,Sergio Garcia,15,362,,3.0,5615.0,
128,129,129,Chad Campbell,28,361,,2.0,5616.0,
129,130,130,Corey Conners,28,353,,1.0,5624.0,
130,131,131,Robert Garrigus,27,353,,1.0,5624.0,
131,132,132,Aaron Baddeley,27,342,,1.0,5635.0,
132,133,133,Johnson Wagner,21,338,,,5639.0,
133,134,134,Tom Lovelady,28,332,,2.0,5645.0,
134,135,135,Lucas Glover,18,324,,1.0,5653.0,
135,136,136,Ben Silverman,28,323,,2.0,5654.0,
136,137,137,Derek Fathauer,28,316,,1.0,5661.0,
137,138,138,David Hearn,21,315,,2.0,5662.0,
138,139,139,Talor Gooch,27,308,,,5669.0,
139,140,140,Shane Lowry,19,296,,,5681.0,
140,141,141,Jim Furyk,15,291,,2.0,5686.0,
141,142,142,Michael Thompson,19,280,,,5697.0,
142,143,143,David Lingmerth,26,274,,,5703.0,
143,144,144,Graeme McDowell,20,274,,1.0,5703.0,
144,145,145,Steve Stricker,12,274,,,5703.0,
145,146,146,Nicholas Lindheim,26,272,,1.0,5705.0,
146,147,147,Shawn Stefani,25,268,,1.0,5709.0,
147,148,148,Ben Crane,21,267,,1.0,5710.0,
148,149,149,Denny McCarthy,22,267,,1.0,5710.0,
149,150,150,Ben Martin,20,266,,1.0,5711.0,
150,151,151,Matt Jones,23,264,,,5713.0,
151,152,152,Bill Haas,25,262,,1.0,5715.0,
152,153,153,Retief Goosen,20,261,,1.0,5716.0,
153,154,154,Thomas Pieters,11,260,,1.0,5717.0,
154,155,155,Chris Stroud,27,255,,1.0,5722.0,
155,156,156,Hudson Swafford,22,245,,,5732.0,
156,157,157,Adam Schenk,28,239,,1.0,5738.0,
157,158,158,J.J. Henry,28,239,,1.0,5738.0,
158,159,159,Hunter Mahan,21,234,,1.0,5743.0,
159,160,160,Mackenzie Hughes,28,227,,1.0,5750.0,
160,161,161,Peter Malnati,28,226,,,5751.0,
161,162,162,Fabián Gómez,28,221,,,5756.0,
162,163,163,Wesley Bryan,23,219,,,5758.0,
163,164,164,Martin Flores,29,215,,,5762.0,
164,165,165,Stephan Jaeger,26,211,,,5766.0,
165,166,166,Blayne Barber,22,202,,,5775.0,
166,167,167,Xinjun Zhang,28,195,,1.0,5782.0,
167,168,168,Cameron Percy,16,191,,2.0,5786.0,
168,169,169,Dominic Bozzelli,20,190,,,5787.0,
169,170,170,Zac Blair,20,176,,,5801.0,
170,171,171,Lanto Griffin,26,175,,,5802.0,
171,172,172,Nate Lashley,17,168,,,5809.0,
172,173,173,Jonas Blixt,23,167,,,5810.0,
173,174,174,Jonathan Randolph,25,166,,1.0,5811.0,
174,175,175,Ricky Barnes,22,164,,1.0,5813.0,
175,176,176,D.A. Points,25,162,,1.0,5815.0,
176,177,177,Ethan Tracy,23,157,,,5820.0,
177,178,178,Robert Streb,29,155,,1.0,5822.0,
178,179,179,Brett Stegmaier,21,149,,,5828.0,
179,180,180,Rob Oppenheim,26,148,,,5829.0,
180,181,181,Jonathan Byrd,24,147,,,5830.0,
181,182,182,Cody Gribble,25,141,,,5836.0,
182,183,183,Steve Wheatcroft,20,138,,1.0,5839.0,
183,184,184,Greg Chalmers,20,133,,1.0,5844.0,
184,185,185,Ross Fisher,13,119,,,5858.0,
185,186,186,Matt Every,30,113,,1.0,5864.0,
186,187,187,Graham DeLaet,3,111,,1.0,5866.0,
187,188,188,K.J. Choi,14,110,,1.0,5867.0,
188,189,189,Roberto Díaz,25,107,,,5870.0,
189,190,190,Andres Romero,6,104,,1.0,5873.0,
190,191,191,Parker McLachlin,11,92,,,5885.0,
191,192,192,Conrad Shindler,20,92,,,5885.0,
192,193,193,Camilo Villegas,14,90,,,5887.0,
193,194,194,Daniel Summerhays,19,89,,1.0,5888.0,
194,195,195,Cameron Tringale,26,88,,,5889.0,
195,196,196,Tim Herron,12,87,,,5890.0,
196,197,197,Stuart Appleby,12,84,,,5893.0,
197,198,198,Morgan Hoffmann,9,81,,,5896.0,
198,199,199,John Merrick,11,79,,,5898.0,
199,200,200,Smylie Kaufman,22,74,,1.0,5903.0,
200,201,201,Billy Hurley III,27,73,,,5904.0,
201,202,202,Sangmoon Bae,17,71,,,5906.0,
202,203,203,Rod Pampling,20,64,,,5913.0,
203,204,204,Bernhard Langer,2,57,,,5920.0,
204,205,205,Jerry Kelly,3,54,,,5923.0,
205,206,206,Brendon de Jonge,14,49,,1.0,5928.0,
206,207,207,Geoff Ogilvy,18,48,,,5929.0,
207,208,208,D.J. Trahan,8,46,,,5931.0,
208,209,209,Ernie Els,15,46,,,5931.0,
209,210,210,Davis Love III,12,45,,,5932.0,
210,211,211,Matt Atkins,21,44,,,5933.0,
211,212,212,George McNeill,10,42,,,5935.0,
212,213,213,Martin Kaymer,11,42,,,5935.0,
213,214,214,Luke Donald,9,42,,,5935.0,
214,215,215,Brandon Hagy,3,39,,,5938.0,
215,216,216,Steve Marino,6,36,,,5941.0,
216,217,217,Eric Axley,7,33,,,5944.0,
217,218,218,Ken Duke,15,33,,,5944.0,
218,219,219,Dicky Pride,11,30,,,5947.0,
219,220,220,Padraig Harrington,16,29,,,5948.0,
220,221,221,Troy Matteson,7,28,,,5949.0,
221,222,222,Jason Bohn,9,27,,,5950.0,
222,223,223,Tommy Gainey,10,26,,,5951.0,
223,224,224,John Senden,7,25,,,5952.0,
224,225,225,Heath Slocum,5,24,,,5953.0,
225,226,226,Vijay Singh,10,24,,,5953.0,
226,227,227,Zecheng Dou,23,21,,,5956.0,
227,228,228,Brian Davis,12,20,,,5957.0,
228,229,229,Seung-Yul Noh,1,19,,,5958.0,
229,230,230,Fred Couples,1,18,,,5959.0,
230,231,231,Andrew Yun,22,16,,,5961.0,
231,232,232,Colt Knost,10,13,,,5964.0,
232,233,233,Jim Herman,9,13,,,5964.0,
233,T234,T234,Ángel Cabrera,5,11,,,5966.0,
234,T234,T234,Derek Ernst,3,11,,,5966.0,
235,236,236,Kyle Thompson,22,10,,,5967.0,
236,237,237,Mark Wilson,11,9,,,5968.0,
237,238,238,Bob Estes,8,7,,,5970.0,
238,T239,T239,Charlie Beljan,9,7,,,5970.0,
239,T239,T239,Charlie Wi,6,7,,,5970.0,
240,241,241,Daniel Chopra,6,6,,,5971.0,
241,242,242,Kris Blanks,6,6,,,5971.0,
242,243,243,Rick Lamb,10,6,,,5971.0,
243,244,244,Omar Uresti,10,6,,,5971.0,
244,245,245,Andrew Johnston,2,5,,,5972.0,
245,246,246,John Daly,7,5,,,5972.0,
246,247,247,John Rollins,9,4,,,5973.0,
247,248,248,Cameron Beckman,6,4,,,5973.0,
248,249,249,Arjun Atwal,6,4,,,5973.0,
249,250,250,Robert Allenby,8,4,,,5973.0,
250,251,251,Paul Goydos,1,3,,,5974.0,
251,252,252,Chris Couch,5,3,,,5974.0,
252,T253,T253,Jay Don Blake,1,3,,,5974.0,
253,T253,T253,Michael Bradley,1,3,,,5974.0,
254,255,255,Olin Browne,1,3,,,5974.0,
255,256,256,Jonathan Kaye,3,2,,,5975.0,
256,T257,T257,Neal Lancaster,1,2,,,5975.0,
257,T257,T257,Shaun Micheel,4,2,,,5975.0,
258,259,259,Mike Weir,6,2,,,5975.0,
259,260,260,Trevor Immelman,2,1,,,5976.0,
