,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Joaquin Niemann,13,489,
1,2,2,Kiradech Aphibarnrat,14,437,273.0
2,3,3,Matthew Fitzpatrick,13,301,132.0
3,4,4,Thorbjørn Olesen,5,268,197.0
4,5,5,John Oda,7,249,
5,6,6,Julian Suri,10,228,28.0
6,7,7,Sam Burns,11,212,
7,8,8,Dylan Frittelli,11,180,21.0
8,9,9,Bernd Wiesberger,5,175,136.0
9,10,10,Paul Dunne,8,153,28.0
10,11,11,HaoTong Li,12,151,33.0
11,12,12,Shubhankar Sharma,11,129,87.0
12,13,13,Dylan Meyer,8,128,
13,14,14,John Peterson,10,113,
14,15,15,Eddie Pepperell,2,107,
15,16,16,Chris Paisley,4,100,17.0
16,17,17,Daisuke Kataoka,2,98,55.0
17,18,18,Brandon Stone,5,83,15.0
18,19,19,Ryan Fox,4,76,11.0
19,20,20,Chase Seiffert,2,75,
20,21,21,Scott Strohmeyer,3,68,
21,22,22,Doug Ghim,7,68,
22,23,23,A.J. McInerney,4,68,
23,24,24,Alex Kang,2,64,
24,25,25,Seungsu Han,3,63,
25,26,26,David Lipsky,3,58,16.0
26,27,27,Maverick McNealy,7,54,
27,28,28,Yuta Ikeda,8,54,40.0
28,29,29,Adam Bland,1,53,53.0
29,30,30,Erik van Rooyen,1,51,
30,31,31,T.J. Vogel,8,51,
31,32,32,Sam Horsfield,1,50,
32,33,33,Poom Saksansin,2,48,37.0
33,T34,T34,Ashun Wu,1,48,48.0
34,T34,T34,Hideto Tanihara,2,48,48.0
35,36,36,Matt Wallace,3,46,
36,37,37,Alexander Levy,6,42,42.0
37,38,38,Matthew Southgate,3,40,37.0
38,39,39,Danny Willett,6,39,
39,40,40,Hyun-woo Ryu,1,37,37.0
40,41,41,Jorge Campillo,3,36,36.0
41,42,42,Ryan Yip,1,36,
42,43,43,Gavin Kyle Green,5,35,22.0
43,44,44,Chris Wood,3,34,
44,45,45,Dean Burmester,2,33,27.0
45,46,46,Matthieu Pavon,1,32,
46,47,47,Nick Hardy,3,31,
47,48,48,SSP Chawrasia,2,30,27.0
48,T49,T49,Wyndham Clark,3,30,
49,T49,T49,Oscar Fraustro,1,30,
50,51,51,K.T. Kim,1,28,
51,52,52,Tyler McCumber,1,28,
52,53,53,Phachara Khongwatmai,2,26,11.0
53,54,54,Yusaku Miyazato,7,26,13.0
54,55,55,Josh Teater,2,25,
55,56,56,George Cunningham,1,24,
56,57,57,Wade Ormsby,2,24,24.0
57,58,58,Cameron Davis,4,20,
58,59,59,Doc Redman,6,20,
59,60,60,Jinho Choi,1,19,
60,T61,T61,WC Liang,2,18,18.0
61,T61,T61,Haydn Porteous,1,18,18.0
62,T61,T61,Richard Sterne,1,18,18.0
63,64,64,Joost Luiten,1,17,17.0
64,65,65,Dru Love,7,16,
65,66,66,John VanDerLaan,1,16,
66,67,67,Roger Sloan,1,16,
67,68,68,Masahiro Kawamura,1,15,
68,69,69,Jazz Janewattananond,2,15,
69,70,70,Ryuko Tokimatsu,3,15,15.0
70,71,71,Tim Wilkinson,3,14,
71,72,72,Richie Ramsay,2,13,13.0
72,T73,T73,Sungjae Im,2,13,
73,T73,T73,Ben Kern,1,13,
74,75,75,Fabrizio Zanotti,3,13,8.0
75,T76,T76,Jim Knous,1,13,
76,T76,T76,Jimmy Stanger,3,13,
77,78,78,Scottie Scheffler,3,13,
78,79,79,Sebastián Muñoz,2,12,
79,80,80,Jung-gon Hwang,1,11,
80,81,81,Ryan Brehm,1,11,
81,82,82,Prayad Marksaeng,1,11,
82,83,83,Sulman Raza,2,11,
83,T84,T84,Sean Crocker,1,10,
84,T84,T84,Tom Lewis,2,10,
85,86,86,Brett Rumford,2,10,5.0
86,87,87,Carlos Ortiz,1,10,
87,88,88,Alexander Björk,3,10,10.0
88,89,89,Kyoung-Hoon Lee,1,9,
89,90,90,Greyson Sigg,1,8,
90,91,91,Michael Lorenzo-Vera,2,8,4.0
91,92,92,Scott Hend,2,8,5.0
92,93,93,Richard Lee,1,8,
93,94,94,Lucas Herbert,2,7,
94,95,95,Lee Westwood,2,7,
95,96,96,Ryan Ruffels,3,7,
96,97,97,Zach Wright,1,6,
97,98,98,Santiago Rivas,1,6,
98,99,99,Bobby Gates,1,6,
99,T100,T100,Mickey DeMorat,2,6,
100,T100,T100,Chris Naegel,1,6,
101,102,102,Shugo Imahira,3,6,
102,T103,T103,Chan Kim,1,6,6.0
103,T103,T103,Jordan L Smith,3,6,6.0
104,105,105,Henrik Norlander,1,6,
105,106,106,Andrew Novak,2,6,
106,107,107,Calum Hill,1,5,
107,T108,T108,Seunghyuk Kim,2,5,
108,T108,T108,Young-han Song,1,5,
