,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Brooks Koepka,13,6331991
1,2,2,Bryson DeChambeau,13,5574502
2,3,3,Dustin Johnson,12,5247694
3,4,4,Justin Rose,10,5073515
4,5,5,Francesco Molinari,10,4446763
5,6,6,Tiger Woods,11,4241014
6,7,7,Webb Simpson,13,3917650
7,8,8,Justin Thomas,11,3396521
8,9,9,Tony Finau,13,2939903
9,10,10,Xander Schauffele,13,2873005
10,11,11,Tommy Fleetwood,10,2823842
11,12,12,Keegan Bradley,12,2738607
12,13,13,Billy Horschel,14,2680448
13,14,14,Kevin Na,13,2658192
14,15,15,Kyle Stanley,13,2486181
15,16,16,Aaron Wise,12,2308765
16,17,17,Rory McIlroy,10,2148533
17,18,18,Bubba Watson,13,2103294
18,19,19,Brandt Snedeker,13,2032797
19,20,20,Andrew Putnam,12,1849942
20,21,21,Adam Scott,11,1778749
21,22,22,Hideki Matsuyama,12,1694632
22,23,23,Byeong Hun An,12,1691782
23,24,24,Patrick Cantlay,12,1658554
24,25,25,Marc Leishman,13,1559307
25,26,26,Rickie Fowler,10,1534177
26,27,27,Cameron Smith,11,1463727
27,28,28,Stewart Cink,11,1451729
28,29,29,C.T. Pan,13,1394412
29,30,30,Jason Day,11,1330295
30,31,31,Ryan Armour,14,1322581
31,32,32,Jimmy Walker,11,1290706
32,33,33,Jon Rahm,10,1204980
33,34,34,Patrick Reed,11,1187315
34,35,35,Michael Kim,11,1175300
35,36,36,Gary Woodland,12,1174190
36,37,37,Brian Gay,14,1114598
37,38,38,Joel Dahmen,12,1110956
38,39,39,J.B. Holmes,11,1107956
39,40,40,Kevin Kisner,12,1106820
40,41,41,Emiliano Grillo,11,1104888
41,42,42,Paul Casey,9,1072586
42,43,43,Kevin Tway,13,1056267
43,44,44,Tyrrell Hatton,8,1054204
44,45,45,Rafa Cabrera Bello,9,1019921
45,46,46,Bronson Burgoon,11,1004444
46,47,47,Joaquin Niemann,10,986757
47,48,48,Abraham Ancer,13,967103
48,49,49,Harold Varner III,10,961504
49,50,50,Beau Hossler,11,952545
50,51,51,Jason Kokrak,13,947942
51,52,52,Phil Mickelson,12,947586
52,53,53,Charl Schwartzel,8,942433
53,54,54,Danny Lee,13,922975
54,55,55,Henrik Stenson,10,912315
55,56,56,Troy Merritt,10,901873
56,57,57,J.J. Spaun,13,898649
57,58,58,Jordan Spieth,12,894490
58,59,59,Kelly Kraft,14,893771
59,60,60,Keith Mitchell,13,855652
60,61,61,Louis Oosthuizen,9,850389
61,62,62,Zach Johnson,12,850045
62,63,63,Daniel Berger,10,833149
63,64,64,Richy Werenski,13,784938
64,65,65,Whee Kim,12,759481
65,66,66,Charles Howell III,12,756616
66,67,67,Chris Kirk,12,753999
67,68,68,Austin Cook,13,747415
68,69,69,Ryan Palmer,12,747032
69,70,70,Ryan Moore,10,740817
70,71,71,Anirban Lahiri,12,722174
71,72,72,Matt Kuchar,11,719053
72,73,73,Peter Uihlein,10,712649
