,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Dustin Johnson,16,2717,3.0,10.0,,
1,2,2,Justin Thomas,19,2634,3.0,8.0,83.0,
2,3,3,Brooks Koepka,13,2012,2.0,5.0,705.0,
3,4,4,Justin Rose,14,1991,2.0,8.0,726.0,
4,5,5,Bubba Watson,20,1879,3.0,5.0,838.0,
5,6,6,Jason Day,16,1771,2.0,5.0,946.0,
6,7,7,Webb Simpson,22,1710,1.0,7.0,1007.0,
7,8,8,Francesco Molinari,17,1682,2.0,4.0,1035.0,
8,9,9,Bryson DeChambeau,22,1617,1.0,7.0,1100.0,
9,10,10,Patrick Reed,22,1555,1.0,7.0,1162.0,
10,11,11,Phil Mickelson,20,1546,1.0,6.0,1171.0,
11,12,12,Tony Finau,24,1509,,8.0,1208.0,
12,13,13,Jon Rahm,16,1430,1.0,5.0,1287.0,
13,14,14,Patrick Cantlay,19,1388,1.0,6.0,1329.0,
14,15,15,Patton Kizzire,25,1386,2.0,4.0,1331.0,
15,16,16,Paul Casey,16,1319,1.0,5.0,1398.0,
16,17,17,Rickie Fowler,18,1302,,4.0,1415.0,
17,18,18,Kyle Stanley,22,1198,,5.0,1519.0,
18,19,19,Kevin Na,22,1183,1.0,4.0,1534.0,
19,20,20,Tiger Woods,14,1162,,5.0,1555.0,
20,21,21,Rory McIlroy,15,1154,1.0,5.0,1563.0,
21,22,22,Marc Leishman,21,1148,,6.0,1569.0,
22,23,23,Tommy Fleetwood,15,1130,,5.0,1587.0,
23,24,24,Chesson Hadley,27,1122,,7.0,1595.0,
24,25,25,Pat Perez,20,1116,1.0,4.0,1601.0,
25,26,26,Andrew Landry,24,1116,1.0,5.0,1601.0,
26,27,27,Aaron Wise,25,1086,1.0,3.0,1631.0,
27,28,28,Xander Schauffele,23,1081,,5.0,1636.0,
28,29,29,Luke List,26,1080,,5.0,1637.0,
29,30,30,Brandt Snedeker,23,1077,1.0,4.0,1640.0,
30,31,31,Austin Cook,26,1060,1.0,3.0,1657.0,
31,32,32,Brian Harman,22,1056,,8.0,1661.0,
32,33,33,Gary Woodland,23,1044,1.0,3.0,1673.0,
33,34,34,Ian Poulter,17,1030,1.0,4.0,1687.0,
34,35,35,Andrew Putnam,25,1026,1.0,5.0,1691.0,
35,36,36,Chez Reavie,25,1020,,3.0,1697.0,
36,37,37,Ryan Armour,29,1006,1.0,3.0,1711.0,
37,38,38,Brendan Steele,19,998,1.0,3.0,1719.0,
38,39,39,Alex Noren,15,989,,3.0,1728.0,
39,40,40,Kevin Kisner,22,971,,4.0,1746.0,
40,41,41,Billy Horschel,23,960,1.0,3.0,1757.0,
41,42,42,Beau Hossler,25,957,,5.0,1760.0,
42,43,43,Jordan Spieth,20,945,,5.0,1772.0,
43,44,44,Byeong Hun An,21,913,,4.0,1804.0,
44,45,45,Emiliano Grillo,22,901,,5.0,1816.0,
45,46,46,Si Woo Kim,28,893,,5.0,1824.0,
46,47,47,Charles Howell III,25,885,,4.0,1832.0,
47,48,48,Brian Gay,27,880,,6.0,1837.0,
48,49,49,Keegan Bradley,23,872,,4.0,1845.0,
49,50,50,Henrik Stenson,14,868,,5.0,1849.0,
50,51,51,J.J. Spaun,24,849,,4.0,1868.0,
51,52,52,Zach Johnson,22,839,,2.0,1878.0,
52,53,53,Cameron Smith,20,821,,5.0,1896.0,
53,54,54,Scott Piercy,23,802,1.0,2.0,1915.0,
54,55,55,Ryan Moore,20,795,,5.0,1922.0,
55,56,56,Rafa Cabrera Bello,17,784,,4.0,1933.0,
56,57,57,Whee Kim,28,764,,3.0,1953.0,
57,58,58,Stewart Cink,23,758,,3.0,1959.0,
58,59,59,Chris Kirk,26,756,,4.0,1961.0,
59,60,60,"Ted Potter, Jr.",25,744,1.0,1.0,1973.0,
60,61,61,Jimmy Walker,21,719,,4.0,1998.0,
61,62,62,Jason Kokrak,26,700,,4.0,2017.0,
62,63,63,C.T. Pan,27,693,,1.0,2024.0,
63,64,64,Matt Kuchar,22,679,,4.0,2038.0,
64,65,65,Joel Dahmen,26,676,,3.0,2041.0,
65,66,66,Michael Kim,25,675,1.0,1.0,2042.0,
66,67,67,Kevin Streelman,25,673,,5.0,2044.0,
67,68,68,Keith Mitchell,26,659,,4.0,2058.0,
68,69,69,J.B. Holmes,22,640,,3.0,2077.0,
69,70,70,Adam Hadwin,22,638,,3.0,2079.0,
70,71,71,Brice Garnett,27,634,1.0,2.0,2083.0,
71,72,72,Kelly Kraft,29,627,,3.0,2090.0,
72,73,73,Adam Scott,18,623,,2.0,2094.0,
73,74,74,Louis Oosthuizen,14,620,,3.0,2097.0,
74,75,75,Troy Merritt,25,616,1.0,3.0,2101.0,
75,76,76,Hideki Matsuyama,17,607,,2.0,2110.0,
76,77,77,Satoshi Kodaira,16,600,1.0,1.0,2117.0,
77,78,78,Kevin Chappell,21,597,,4.0,2120.0,
78,79,79,James Hahn,24,596,,1.0,2121.0,
79,80,80,Tom Hoge,29,594,,3.0,2123.0,
80,81,81,Peter Uihlein,23,593,,4.0,2124.0,
81,82,82,Branden Grace,16,590,,2.0,2127.0,
82,83,83,Abraham Ancer,27,589,,4.0,2128.0,
83,84,84,Russell Knox,25,585,,3.0,2132.0,
84,85,85,Kevin Tway,29,577,,3.0,2140.0,
85,86,86,Jamie Lovemark,24,576,,3.0,2141.0,
86,87,87,Ollie Schniederjans,25,573,,3.0,2144.0,
87,88,88,Russell Henley,21,569,,3.0,2148.0,
88,89,89,Daniel Berger,21,565,,1.0,2152.0,
89,90,90,Jason Dufner,20,557,,2.0,2160.0,
90,91,91,Anirban Lahiri,22,555,,4.0,2162.0,
