,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,1,Dustin Johnson,16,169.81599999999997,2717.06
1,2,2,Brooks Koepka,13,154.773,2012.0529999999999
2,3,3,Justin Rose,14,142.232,1991.251
3,4,4,Justin Thomas,19,138.65200000000002,2634.393
4,5,5,Jason Day,16,110.684,1770.9479999999999
5,6,6,Francesco Molinari,17,98.929,1681.795
6,7,7,Bubba Watson,20,93.926,1878.51
7,8,8,Jon Rahm,16,89.38799999999999,1430.201
8,9,9,Tiger Woods,14,82.98200000000001,1161.749
9,10,10,Paul Casey,16,82.42299999999999,1318.761
10,11,11,Webb Simpson,22,77.734,1710.149
11,12,12,Phil Mickelson,20,77.32,1546.404
12,13,13,Rory McIlroy,15,76.945,1154.177
13,14,14,Tommy Fleetwood,15,75.329,1129.938
14,15,15,Bryson DeChambeau,22,73.497,1616.944
15,16,16,Patrick Cantlay,19,73.031,1387.595
16,17,17,Rickie Fowler,18,72.346,1302.236
17,18,18,Patrick Reed,22,70.697,1555.3270000000002
18,19,19,Alex Noren,15,65.947,989.211
19,20,20,Tony Finau,24,62.858999999999995,1508.6229999999998
20,21,21,Henrik Stenson,14,62.023,868.319
21,22,22,Ian Poulter,17,60.607,1030.3110000000001
22,23,23,Pat Perez,20,55.802,1116.047
23,24,24,Patton Kizzire,25,55.422,1385.5420000000001
24,25,25,Marc Leishman,21,54.683,1148.344
25,26,26,Kyle Stanley,22,54.443000000000005,1197.754
26,27,27,Kevin Na,22,53.762,1182.771
27,28,28,Brendan Steele,19,52.511,997.709
28,29,29,Brian Harman,22,48.013000000000005,1056.277
29,30,30,Jordan Spieth,20,47.242,944.8439999999999
30,31,31,Xander Schauffele,23,46.986000000000004,1080.685
31,32,32,Brandt Snedeker,23,46.825,1076.976
32,33,33,Andrew Landry,24,46.483000000000004,1115.594
