,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,1,Dustin Johnson,20,33.13,2717,8200,3.0,10.0
1,2,2,Brooks Koepka,17,29.16,2012,6900,2.0,5.0
2,3,3,Justin Rose,18,26.55,1991,7500,2.0,8.0
3,4,4,Justin Thomas,23,26.21,2634,10050,3.0,8.0
4,5,5,Jason Day,20,20.71,1771,8550,2.0,5.0
5,6,6,Francesco Molinari,20,19.33,1682,8700,2.0,4.0
6,7,7,Bubba Watson,24,17.81,1879,10550,3.0,5.0
7,8,8,Jon Rahm,20,16.63,1430,8600,1.0,5.0
8,9,9,Paul Casey,20,16.28,1319,8100,1.0,5.0
9,10,10,Tiger Woods,18,15.39,1162,7550,,5.0
10,11,11,Webb Simpson,26,15.34,1710,11150,1.0,7.0
11,12,12,Bryson DeChambeau,26,14.63,1617,11050,1.0,7.0
12,T13,T13,Patrick Cantlay,23,14.45,1388,9600,1.0,6.0
13,T13,T13,Phil Mickelson,24,14.45,1546,10700,1.0,6.0
14,15,15,Rory McIlroy,18,14.25,1154,8100,1.0,5.0
15,16,16,Tommy Fleetwood,19,13.95,1130,8100,,5.0
16,17,17,Rickie Fowler,20,13.56,1302,9600,,4.0
17,18,18,Patrick Reed,26,13.41,1555,11600,1.0,7.0
18,19,19,Ian Poulter,20,12.12,1030,8500,1.0,4.0
19,20,20,Alex Noren,18,12.06,989,8200,,3.0
20,21,21,Tony Finau,28,11.97,1509,12600,,8.0
21,22,22,Henrik Stenson,16,11.58,868,7500,,5.0
22,23,23,Patton Kizzire,29,11.22,1386,12350,2.0,4.0
23,24,24,Kevin Na,26,10.95,1183,10800,1.0,4.0
24,25,25,Marc Leishman,25,10.73,1148,10700,,6.0
25,26,26,Pat Perez,23,10.53,1116,10600,1.0,4.0
26,27,27,Kyle Stanley,26,10.24,1198,11700,,5.0
27,28,28,Brendan Steele,22,9.93,998,10050,1.0,3.0
28,29,29,Andrew Landry,27,9.66,1116,11550,1.0,5.0
29,30,30,Brandt Snedeker,25,9.53,1077,11300,1.0,4.0
30,31,31,Brian Harman,25,9.43,1056,11200,,8.0
31,32,32,Xander Schauffele,27,9.24,1081,11700,,5.0
32,33,33,Jordan Spieth,23,8.96,945,10550,,5.0
33,34,34,Byeong Hun An,24,8.82,913,10350,,4.0
34,35,35,Kevin Kisner,25,8.79,971,11050,,4.0
35,T36,T36,Billy Horschel,27,8.72,960,11000,1.0,3.0
36,T36,T36,Aaron Wise,29,8.72,1086,12450,1.0,3.0
37,38,38,Gary Woodland,27,8.67,1044,12050,1.0,3.0
38,39,39,Andrew Putnam,28,8.63,1026,11900,1.0,5.0
39,40,40,Rafa Cabrera Bello,20,8.62,784,9100,,4.0
40,41,41,Chesson Hadley,30,8.57,1122,13100,,7.0
41,42,42,Emiliano Grillo,25,8.46,901,10650,,5.0
42,T43,T43,Austin Cook,29,8.32,1060,12750,1.0,3.0
43,T43,T43,Louis Oosthuizen,17,8.32,620,7450,,3.0
44,45,45,Luke List,29,8.31,1080,13000,,5.0
45,46,46,Cameron Smith,24,8.21,821,10000,,5.0
46,47,47,Tyrrell Hatton,16,8.2,550,6700,,4.0
47,48,48,Ryan Moore,22,8.03,795,9900,,5.0
48,49,49,Beau Hossler,28,7.91,957,12100,,5.0
49,50,50,Chez Reavie,28,7.82,1020,13050,,3.0
50,51,51,Zach Johnson,25,7.63,839,11000,,2.0
51,52,52,J.J. Spaun,27,7.58,849,11200,,4.0
52,53,53,Graham DeLaet,3,7.4,111,1500,,1.0
53,T54,T54,Keegan Bradley,27,7.36,872,11850,,4.0
54,T54,T54,Satoshi Kodaira,18,7.36,600,8150,1.0,1.0
55,56,56,Scott Piercy,26,7.29,802,11000,1.0,2.0
56,57,57,Ryan Armour,32,7.18,1006,14000,1.0,3.0
57,58,58,Charles Howell III,28,7.08,885,12500,,4.0
58,59,59,Brian Gay,30,6.88,880,12800,,6.0
