,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Joaquin Niemann,13,489
1,2,2,John Oda,7,249
2,3,3,Sam Burns,11,212
3,4,4,Julian Suri,10,200
4,5,5,Matthew Fitzpatrick,13,169
5,6,6,Kiradech Aphibarnrat,14,165
6,7,7,Dylan Frittelli,11,158
7,8,8,Dylan Meyer,8,128
8,9,9,Paul Dunne,8,124
9,10,10,HaoTong Li,12,118
10,11,11,John Peterson,10,113
11,12,12,Eddie Pepperell,2,107
12,13,13,Chris Paisley,4,83
13,14,14,Chase Seiffert,2,75
14,15,15,Thorbjørn Olesen,5,71
15,16,16,Scott Strohmeyer,3,68
16,17,17,Doug Ghim,7,68
17,18,18,A.J. McInerney,4,68
18,19,19,Brandon Stone,5,67
19,20,20,Ryan Fox,4,65
20,21,21,Alex Kang,2,64
21,22,22,Seungsu Han,3,63
22,23,23,Maverick McNealy,7,54
23,24,24,Erik van Rooyen,1,51
24,25,25,T.J. Vogel,8,51
25,26,26,Sam Horsfield,1,50
26,27,27,Matt Wallace,3,46
27,28,28,Daisuke Kataoka,2,43
28,29,29,Shubhankar Sharma,11,42
29,30,30,David Lipsky,3,42
30,T31,T31,Bernd Wiesberger,5,39
31,T31,T31,Danny Willett,6,39
32,33,33,Ryan Yip,1,36
33,34,34,Chris Wood,3,34
34,35,35,Matthieu Pavon,1,32
35,36,36,Nick Hardy,3,31
36,T37,T37,Wyndham Clark,3,30
37,T37,T37,Oscar Fraustro,1,30
38,39,39,K.T. Kim,1,28
39,40,40,Tyler McCumber,1,28
40,41,41,Josh Teater,2,25
41,42,42,George Cunningham,1,24
42,43,43,Cameron Davis,4,20
43,44,44,Doc Redman,6,20
44,45,45,Jinho Choi,1,19
45,46,46,Dru Love,7,16
46,47,47,John VanDerLaan,1,16
47,48,48,Roger Sloan,1,16
48,49,49,Masahiro Kawamura,1,15
49,T50,T50,Jazz Janewattananond,2,15
50,T50,T50,Phachara Khongwatmai,2,15
51,52,52,Tim Wilkinson,3,14
52,53,53,Yuta Ikeda,8,14
53,54,54,Yusaku Miyazato,7,13
54,55,55,Gavin Kyle Green,5,13
55,T56,T56,Sungjae Im,2,13
56,T56,T56,Ben Kern,1,13
57,T58,T58,Jim Knous,1,13
58,T58,T58,Jimmy Stanger,3,13
59,60,60,Scottie Scheffler,3,13
60,61,61,Sebastián Muñoz,2,12
61,62,62,Jung-gon Hwang,1,11
62,63,63,Ryan Brehm,1,11
63,T64,T64,Poom Saksansin,2,11
64,T64,T64,Prayad Marksaeng,1,11
65,66,66,Sulman Raza,2,11
66,T67,T67,Sean Crocker,1,10
67,T67,T67,Tom Lewis,2,10
68,69,69,Carlos Ortiz,1,10
69,70,70,Kyoung-Hoon Lee,1,9
70,71,71,Greyson Sigg,1,8
71,72,72,Richard Lee,1,8
72,73,73,Lucas Herbert,2,7
73,74,74,Lee Westwood,2,7
74,75,75,Ryan Ruffels,3,7
75,76,76,Zach Wright,1,6
76,77,77,Santiago Rivas,1,6
77,78,78,Bobby Gates,1,6
78,T79,T79,Dean Burmester,2,6
79,T79,T79,Mickey DeMorat,2,6
80,T79,T79,Chris Naegel,1,6
81,82,82,Shugo Imahira,3,6
82,83,83,Henrik Norlander,1,6
83,84,84,Andrew Novak,2,6
84,85,85,Calum Hill,1,5
85,T86,T86,Seunghyuk Kim,2,5
86,T86,T86,Young-han Song,1,5
87,88,88,Juvic Pagunsan,1,5
88,89,89,Chris Wilson,1,5
89,90,90,Jesse Mueller,2,5
90,91,91,Hyungjoon Lee,1,5
91,92,92,Curtis Luck,1,5
92,T93,T93,Marcus Kinhult,1,5
93,T93,T93,Shaun Norris,1,5
94,T93,T93,Brett Rumford,2,5
95,T96,T96,Vince India,2,5
96,T96,T96,Fabrizio Zanotti,3,5
97,98,98,Cameron Wilson,1,5
98,99,99,Andrew Dorn,1,4
99,T100,T100,James Driscoll,2,4
100,T100,T100,Grant Hirschman,1,4
101,T102,T102,Danny Chia,1,4
102,T102,T102,Ryan Hogue,1,4
103,T104,T104,Michael Lorenzo-Vera,2,4
104,T104,T104,Adrian Otaegui,1,4
105,106,106,Joshua Creel,1,4
106,T107,T107,Taylor Moore,2,4
107,T107,T107,David Skinns,2,4
108,109,109,Tom Whitney,3,4
109,T110,T110,Rhys Enoch,1,3
110,T110,T110,Zander Lombard,1,3
111,T110,T110,Matthew Southgate,3,3
112,113,113,SSP Chawrasia,2,3
113,T114,T114,Will Cannon,1,3
114,T114,T114,Cooper Musselman,1,3
115,116,116,Dawie van der Walt,1,3
116,117,117,Casey Wittenberg,1,3
117,118,118,Will Zalatoris,6,3
118,119,119,Steve Allan,2,3
119,T120,T120,Spencer Levin,2,3
120,T120,T120,Chip McDaniel,1,3
121,122,122,Augusto Núñez,1,3
122,T123,T123,Scott Hend,2,3
123,T123,T123,Junghwan Lee,1,3
124,125,125,Cameron Champ,6,3
125,126,126,Grant Booth,1,3
126,127,127,Jeunghun Wang,1,3
127,128,128,Nicholas Fung,1,2
128,129,129,Nicholas Thompson,1,2
129,130,130,Sean McCarty,2,2
130,131,131,Grady Brame Jr.,1,2
131,132,132,Julio Santos,1,2
