,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,1,Brian Stuard,29,395,78.0
1,2,2,Jason Bohn,25,338,10.0
2,3,3,Graeme McDowell,17,303,303.0
3,4,4,Bubba Watson,21,296,1.0
4,5,5,Steve Stricker,11,288,288.0
5,6,6,Freddie Jacobson,27,275,39.0
6,7,7,Jimmy Walker,27,247,27.0
7,8,8,Ben Martin,26,241,56.0
8,9,9,Aaron Baddeley,24,235,26.0
9,10,10,Chris Kirk,28,233,43.0
10,11,11,Jim Herman,21,226,20.0
11,T12,T12,Jim Furyk,21,223,
12,T12,T12,Brian Harman,32,223,23.0
13,14,14,David Toms,20,221,10.0
14,15,15,Dustin Johnson,17,218,90.0
15,16,16,Brendon de Jonge,31,214,22.0
16,T17,T17,Rickie Fowler,26,209,5.0
17,T17,T17,Justin Leonard,22,209,94.0
18,19,19,Retief Goosen,26,207,25.0
19,20,20,Richard Lee,27,204,11.0
20,21,21,Jerry Kelly,23,201,87.0
21,T22,T22,Ernie Els,24,198,26.0
22,T22,T22,William McGirt,29,198,82.0
23,T24,T24,Matt Bettencourt,14,194,11.0
24,T24,T24,Scott Langley,29,194,4.0
25,26,26,Dicky Pride,13,193,12.0
26,27,27,Brandt Snedeker,25,192,1.0
27,T28,T28,Jonas Blixt,21,190,97.0
28,T28,T28,David Hearn,28,190,50.0
29,T28,T28,Brendon Todd,29,190,34.0
30,31,31,Matt Kuchar,24,189,37.0
31,T32,T32,Charley Hoffman,25,188,9.0
32,T32,T32,Sean O'Hair,25,188,17.0
33,T34,T34,Jason Allred,9,186,43.0
34,T34,T34,Bronson La'Cassie,18,186,16.0
35,T36,T36,David Duval,15,185,10.0
36,T36,T36,Lee Westwood,18,185,27.0
37,38,38,Bill Haas,28,184,54.0
38,T39,T39,Erik Compton,28,179,16.0
39,T39,T39,Russell Henley,29,179,28.0
40,T41,T41,Jason Day,15,178,70.0
41,T41,T41,Tim Wilkinson,25,178,63.0
42,43,43,Justin Rose,19,177,35.0
43,44,44,Billy Horschel,27,175,175.0
44,45,45,Scott Hend,3,173,28.0
45,T46,T46,Jamie Donaldson,12,172,172.0
46,T46,T46,Justin Hicks,30,172,13.0
47,T46,T46,Kevin Kisner,26,172,57.0
48,49,49,Stuart Appleby,29,170,21.0
49,T50,T50,Paul Casey,16,169,169.0
50,T50,T50,Greg Chalmers,27,169,126.0
51,T50,T50,Tyrone Van Aswegen,25,169,7.0
52,53,53,Keegan Bradley,26,168,32.0
53,54,54,Chris Wood,3,167,4.0
54,55,55,Tim Clark,26,166,132.0
55,T56,T56,Jonathan Byrd,24,161,14.0
56,T56,T56,Miguel Angel Carballo,15,161,7.0
57,T58,T58,David Lynn,11,160,32.0
58,T58,T58,Charl Schwartzel,18,160,4.0
59,T58,T58,Heath Slocum,23,160,
60,T61,T61,Thomas Bjørn,9,159,97.0
61,T61,T61,Pat Perez,25,159,1.0
62,T61,T61,Bo Van Pelt,25,159,20.0
63,T61,T61,Y.E. Yang,28,159,92.0
64,65,65,Charles Howell III,29,158,18.0
65,T66,T66,K.J. Choi,23,157,15.0
66,T66,T66,Zach Johnson,26,157,137.0
67,T68,T68,Bud Cauley,19,156,10.0
68,T68,T68,Brooks Koepka,16,156,8.0
69,T70,T70,Chad Collins,28,155,5.0
70,T70,T70,Robert Karlsson,7,155,10.0
71,T72,T72,Martin Flores,26,154,15.0
72,T72,T72,Peter Malnati,18,154,70.0
73,T72,T72,John Senden,27,154,99.0
74,75,75,Josh Teater,28,153,141.0
