,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Jim Furyk,21
1,T2,T2,Rory McIlroy,17
2,T2,T2,Adam Scott,17
3,4,4,Bill Haas,15
4,5,5,Retief Goosen,14
5,T6,T6,Francesco Molinari,12
6,T6,T6,Henrik Stenson,12
7,8,8,Steve Stricker,11
8,T9,T9,Matt Kuchar,10
9,T9,T9,Graeme McDowell,10
10,T11,T11,Kevin Chappell,9
11,T11,T11,Rickie Fowler,9
12,T11,T11,Sergio Garcia,9
13,T11,T11,Jerry Kelly,9
14,T11,T11,Phil Mickelson,9
15,T16,T16,Zach Johnson,8
16,T16,T16,Andres Romero,8
17,T16,T16,Justin Rose,8
18,T16,T16,Kevin Stadler,8
19,T20,T20,Jason Day,7
20,T20,T20,Ernie Els,7
21,T20,T20,Jeff Overton,7
22,T20,T20,Ryan Palmer,7
23,T20,T20,Patrick Reed,7
24,T20,T20,Charl Schwartzel,7
25,T26,T26,J.J. Henry,6
26,T26,T26,Brooks Koepka,6
27,T26,T26,Hunter Mahan,6
28,T26,T26,William McGirt,6
29,T26,T26,Bubba Watson,6
30,T31,T31,Ricky Barnes,5
31,T31,T31,Joe Durant,5
32,T31,T31,Derek Ernst,5
33,T31,T31,Troy Merritt,5
34,T31,T31,Daniel Summerhays,5
35,T31,T31,David Toms,5
36,T31,T31,Cameron Tringale,5
37,T31,T31,Johnson Wagner,5
38,T39,T39,Jason Bohn,4
39,T39,T39,Steven Bowditch,4
40,T39,T39,Victor Dubuisson,4
41,T39,T39,Russell Henley,4
42,T39,T39,Morgan Hoffmann,4
43,T39,T39,Chris Kirk,4
44,T39,T39,Hideki Matsuyama,4
45,T39,T39,John Senden,4
46,T39,T39,Vijay Singh,4
47,T39,T39,Jordan Spieth,4
48,T39,T39,Brendan Steele,4
49,T39,T39,Shawn Stefani,4
50,T39,T39,Chris Stroud,4
51,T39,T39,Brian Stuard,4
52,T39,T39,Gary Woodland,4
53,T54,T54,Mark Anderson,3
54,T54,T54,Woody Austin,3
55,T54,T54,Keegan Bradley,3
56,T54,T54,K.J. Choi,3
57,T54,T54,Ben Curtis,3
58,T54,T54,Branden Grace,3
59,T54,T54,Chesson Hadley,3
60,T54,T54,Brian Harman,3
61,T54,T54,Scott Hend,3
62,T54,T54,Tim Herron,3
63,T54,T54,Billy Horschel,3
64,T54,T54,David Howell,3
65,T54,T54,Charles Howell III,3
66,T54,T54,John Huh,3
67,T54,T54,Martin Kaymer,3
68,T54,T54,Russell Knox,3
69,T54,T54,Martin Laird,3
70,T54,T54,Scott Langley,3
71,T54,T54,Seung-Yul Noh,3
72,T54,T54,Geoff Ogilvy,3
73,T54,T54,Thorbjørn Olesen,3
74,T54,T54,Webb Simpson,3
75,T54,T54,Richard Sterne,3
76,T54,T54,Kevin Streelman,3
77,T54,T54,Bo Van Pelt,3
78,T54,T54,Jimmy Walker,3
79,T54,T54,Lee Westwood,3
80,T54,T54,Tim Wilkinson,3
81,T54,T54,Chris Wood,3
82,T83,T83,Jason Allred,2
83,T83,T83,Seuk-hyun Baek,2
84,T83,T83,Gaganjeet Bhullar,2
85,T83,T83,Grégory Bourdy,2
86,T83,T83,Paul Casey,2
87,T83,T83,Stewart Cink,2
88,T83,T83,Ben Crane,2
89,T83,T83,Brian Davis,2
90,T83,T83,Brendon de Jonge,2
91,T83,T83,Graham DeLaet,2
92,T83,T83,Jamie Donaldson,2
93,T83,T83,Matt Every,2
94,T83,T83,Gonzalo Fernandez-Castaño,2
95,T83,T83,Darren Fichardt,2
96,T83,T83,Matthew Fitzpatrick,2
97,T83,T83,Fred Funk,2
98,T83,T83,Tommy Gainey,2
99,T83,T83,Luke Guthrie,2
100,T83,T83,David Hearn,2
101,T83,T83,J.B. Holmes,2
102,T83,T83,Mikko Ilonen,2
103,T83,T83,Freddie Jacobson,2
104,T83,T83,Lee Janzen,2
105,T83,T83,Matt Jones,2
106,T83,T83,Shiv Kapur,2
107,T83,T83,Jason Kokrak,2
108,T83,T83,Doug LaBelle II,2
109,T83,T83,Danny Lee,2
110,T83,T83,Marc Leishman,2
111,T83,T83,Alexander Levy,2
112,T83,T83,David Lingmerth,2
113,T83,T83,Andrew Loupe,2
114,T83,T83,Shane Lowry,2
115,T83,T83,Joost Luiten,2
116,T83,T83,Will MacKenzie,2
117,T83,T83,George McNeill,2
118,T83,T83,John Merrick,2
119,T83,T83,Edoardo Molinari,2
120,T83,T83,Ryan Moore,2
121,T83,T83,Kevin Na,2
122,T83,T83,Koumei Oda,2
123,T83,T83,Greg Owen,2
124,T83,T83,Kenny Perry,2
125,T83,T83,Carl Pettersson,2
126,T83,T83,Wes Roach,2
127,T83,T83,Hudson Swafford,2
128,T83,T83,Nicholas Thompson,2
129,T83,T83,Brendon Todd,2
130,T83,T83,Jhonattan Vegas,2
131,T83,T83,Camilo Villegas,2
132,T83,T83,Marc Warren,2
133,T83,T83,Mark Wilson,2
134,T83,T83,Fabrizio Zanotti,2
