,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,T1,T1,Billy Horschel,27,6
1,T1,T1,Phil Mickelson,21,6
2,T3,T3,Matt Every,26,5
3,T3,T3,Brian Gay,26,5
4,T3,T3,Brian Harman,32,5
5,T3,T3,Marc Leishman,24,5
6,T3,T3,WC Liang,2,5
7,T3,T3,Andrew Loupe,22,5
8,T3,T3,George McNeill,24,5
9,T3,T3,Tim Wilkinson,25,5
10,T11,T11,Ricky Barnes,27,4
11,T11,T11,Paul Casey,16,4
12,T11,T11,Roberto Castro,27,4
13,T11,T11,Luke Guthrie,26,4
14,T11,T11,James Hahn,27,4
15,T11,T11,Peter Hanson,13,4
16,T11,T11,David Lingmerth,26,4
17,T11,T11,Ryan Palmer,23,4
18,T11,T11,Alex Prugh,16,4
19,T11,T11,Tag Ridings,12,4
20,T11,T11,Andres Romero,26,4
21,T11,T11,John Senden,27,4
22,T11,T11,Jimmy Walker,27,4
23,T24,T24,Kiradech Aphibarnrat,9,3
24,T24,T24,Woody Austin,22,3
25,T24,T24,Charlie Beljan,26,3
26,T24,T24,Jason Bohn,25,3
27,T24,T24,Jonathan Byrd,24,3
28,T24,T24,Ángel Cabrera,23,3
29,T24,T24,Miguel Angel Carballo,15,3
30,T24,T24,Kevin Chappell,28,3
31,T24,T24,Stewart Cink,25,3
32,T24,T24,John Daly,15,3
33,T24,T24,Graham DeLaet,24,3
34,T24,T24,Victor Dubuisson,10,3
35,T24,T24,Jason Dufner,17,3
36,T24,T24,Joe Durant,15,3
37,T24,T24,Ernie Els,24,3
38,T24,T24,Harris English,28,3
39,T24,T24,Jim Furyk,21,3
40,T24,T24,Tommy Gainey,26,3
41,T24,T24,Sergio Garcia,16,3
42,T24,T24,Brice Garnett,28,3
43,T24,T24,Robert Garrigus,25,3
44,T24,T24,Bill Haas,28,3
45,T24,T24,Chesson Hadley,29,3
46,T24,T24,J.J. Henry,28,3
47,T24,T24,Morgan Hoffmann,32,3
48,T24,T24,Max Homa,8,3
49,T24,T24,Chris Kirk,28,3
50,T24,T24,Jason Kokrak,19,3
51,T24,T24,Bronson La'Cassie,18,3
52,T24,T24,Ki Taek Lee,1,3
53,T24,T24,Will MacKenzie,27,3
54,T24,T24,Peter Malnati,18,3
55,T24,T24,Ben Martin,26,3
56,T24,T24,Hideki Matsuyama,24,3
57,T24,T24,Graeme McDowell,17,3
58,T24,T24,Rory McIlroy,17,3
59,T24,T24,John Merrick,25,3
60,T24,T24,Bryce Molder,25,3
61,T24,T24,Ryan Moore,24,3
62,T24,T24,Sean O'Hair,25,3
63,T24,T24,Geoff Ogilvy,26,3
64,T24,T24,Jeff Overton,24,3
65,T24,T24,Pat Perez,25,3
66,T24,T24,Scott Piercy,12,3
67,T24,T24,"Ted Potter, Jr.",24,3
