,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
0,1,1,David Toms,20,36,4.0
1,T2,T2,Jim Furyk,21,28,5.0
2,T2,T2,Justin Hicks,30,28,7.0
3,4,4,Alvaro Quiros,2,27,
4,T5,T5,Brendon de Jonge,31,26,2.0
5,T5,T5,Scott Gardiner,18,26,
6,T7,T7,Graeme McDowell,17,25,3.0
7,T7,T7,Bo Van Pelt,25,25,4.0
8,9,9,Kevin Kisner,26,24,1.0
9,T10,T10,Jason Dufner,17,23,5.0
10,T10,T10,Heath Slocum,23,23,
11,T10,T10,Cameron Tringale,31,23,
12,13,13,Hunter Mahan,25,22,2.0
13,T14,T14,Brian Davis,28,21,
14,T14,T14,Joe Durant,15,21,1.0
15,T14,T14,David Hearn,28,21,4.0
16,T14,T14,Rashid Ismail,1,21,
17,T14,T14,Francesco Molinari,12,21,
18,T14,T14,Pat Perez,25,21,1.0
19,T14,T14,John Peterson,25,21,
20,T14,T14,Boo Weekley,24,21,1.0
21,T22,T22,Trevor Immelman,28,20,
22,T22,T22,Ryo Ishikawa,24,20,1.0
23,T22,T22,Bernhard Langer,1,20,3.0
24,T22,T22,Kevin Na,27,20,1.0
25,T22,T22,Kevin Stadler,26,20,1.0
26,T22,T22,Kevin Streelman,24,20,1.0
27,T28,T28,Jason Bohn,25,19,
28,T28,T28,Tim Clark,26,19,
29,T28,T28,Lucas Glover,26,19,3.0
30,T28,T28,Billy Hurley III,26,19,2.0
31,T28,T28,Thongchai Jaidee,9,19,1.0
32,T28,T28,Miguel Angel Jiménez,8,19,1.0
33,T28,T28,Zach Johnson,26,19,1.0
34,T28,T28,Will MacKenzie,27,19,3.0
35,T28,T28,Hideki Matsuyama,24,19,1.0
36,T28,T28,Kyle Stanley,28,19,1.0
37,T28,T28,Chris Stroud,25,19,
38,T28,T28,Brian Stuard,29,19,1.0
39,T28,T28,Daniel Summerhays,27,19,
40,T28,T28,Tim Wilkinson,25,19,1.0
41,T42,T42,Greg Chalmers,27,18,1.0
42,T42,T42,Ben Crane,25,18,4.0
43,T42,T42,Derek Ernst,28,18,
44,T42,T42,Sergio Garcia,16,18,
45,T42,T42,Davis Love III,22,18,
46,T42,T42,George McNeill,24,18,
47,T42,T42,Ryan Moore,24,18,
48,T42,T42,Geoff Ogilvy,26,18,
49,T42,T42,Dicky Pride,13,18,2.0
50,T42,T42,Adam Scott,17,18,
51,T42,T42,Nick Watney,25,18,1.0
52,T53,T53,Woody Austin,22,17,3.0
53,T53,T53,Scott Brown,30,17,
54,T53,T53,Mark Calcavecchia,8,17,
55,T53,T53,Luke Donald,17,17,4.0
56,T53,T53,Ken Duke,25,17,
57,T53,T53,Tommy Gainey,26,17,
58,T53,T53,Martin Kaymer,19,17,1.0
59,T53,T53,Ben Kohles,3,17,2.0
60,T53,T53,Jeff Maggert,19,17,1.0
61,T53,T53,Henrik Norlander,1,17,1.0
62,T53,T53,"Ted Potter, Jr.",24,17,2.0
63,T53,T53,Brandt Snedeker,25,17,
64,T53,T53,Robert Streb,21,17,
65,T53,T53,Steve Stricker,11,17,
66,T53,T53,Andrew Svoboda,24,17,2.0
67,T53,T53,Willy Wilcox,16,17,
68,T69,T69,Robert Allenby,29,16,
69,T69,T69,Sangmoon Bae,24,16,2.0
70,T69,T69,Ángel Cabrera,23,16,1.0
71,T69,T69,K.J. Choi,23,16,1.0
72,T69,T69,Harris English,28,16,2.0
73,T69,T69,Bill Haas,28,16,
74,T69,T69,Chris Kirk,28,16,1.0
75,T69,T69,Matt Kuchar,24,16,1.0
76,T69,T69,Bronson La'Cassie,18,16,1.0
77,T69,T69,Doug LaBelle II,12,16,
78,T69,T69,Marc Leishman,24,16,1.0
79,T69,T69,Billy Mayfair,4,16,7.0
80,T69,T69,Justin Rose,19,16,4.0
81,T69,T69,Jerry Smith,1,16,
82,T69,T69,Henrik Stenson,15,16,3.0
83,T69,T69,Camilo Villegas,29,16,4.0
84,T69,T69,Charlie Wi,25,16,
85,T86,T86,Stephen Ames,18,15,3.0
86,T86,T86,Stuart Appleby,29,15,1.0
87,T86,T86,Gaganjeet Bhullar,2,15,15.0
88,T86,T86,Daniel Chopra,16,15,
89,T86,T86,Stewart Cink,25,15,2.0
90,T86,T86,Paul Goydos,19,15,9.0
91,T86,T86,Luke Guthrie,26,15,2.0
92,T86,T86,James Hahn,27,15,2.0
93,T86,T86,Brian Harman,32,15,
94,T86,T86,J.J. Henry,28,15,
95,T86,T86,David Howell,3,15,1.0
96,T86,T86,Freddie Jacobson,27,15,1.0
97,T86,T86,Kent Jones,2,15,2.0
98,T86,T86,Justin Leonard,22,15,1.0
99,T86,T86,Troy Merritt,20,15,2.0
100,T86,T86,Carl Pettersson,28,15,1.0
101,T86,T86,Jim Renner,25,15,5.0
102,T86,T86,Jordan Spieth,27,15,
103,T86,T86,Brendon Todd,29,15,5.0
104,T86,T86,Mike Weir,25,15,
105,T86,T86,Lee Williams,13,15,
106,T86,T86,Y.E. Yang,28,15,2.0
107,T108,T108,Miguel Angel Carballo,15,14,
108,T108,T108,Paul Casey,16,14,1.0
109,T108,T108,Alex Cejka,6,14,1.0
110,T108,T108,Kevin Chappell,28,14,1.0
111,T108,T108,Erik Compton,28,14,
112,T108,T108,Morgan Hoffmann,32,14,1.0
113,T108,T108,John Huh,28,14,2.0
114,T108,T108,Matt Jones,25,14,
115,T108,T108,Robert Karlsson,7,14,3.0
116,T108,T108,Scott Langley,29,14,2.0
117,T108,T108,Danny Lee,28,14,7.0
118,T108,T108,John Merrick,25,14,1.0
119,T108,T108,Phil Mickelson,21,14,3.0
120,T108,T108,D.A. Points,27,14,
121,T108,T108,Tag Ridings,12,14,3.0
122,T108,T108,Rory Sabbatini,26,14,
123,T108,T108,Brendan Steele,26,14,2.0
124,T108,T108,Nicholas Thompson,30,14,3.0
125,T108,T108,Michael Thompson,22,14,2.0
126,T108,T108,Marc Turnesa,6,14,
127,T108,T108,Jhonattan Vegas,23,14,
128,T108,T108,Jimmy Walker,27,14,
129,T108,T108,Lee Westwood,18,14,1.0
130,T108,T108,Chris Wood,3,14,
131,T132,T132,Thomas Bjørn,9,13,
132,T132,T132,Justin Bolli,6,13,
133,T132,T132,Keegan Bradley,26,13,1.0
134,T132,T132,Chad Campbell,18,13,
135,T132,T132,Roberto Castro,27,13,2.0
136,T132,T132,Gary Christian,3,13,5.0
137,T132,T132,Darren Clarke,15,13,2.0
138,T132,T132,Chad Collins,28,13,1.0
139,T132,T132,Jon Curran,1,13,
140,T132,T132,Ben Curtis,24,13,3.0
141,T132,T132,Joel Dahmen,1,13,13.0
142,T132,T132,Glen Day,5,13,
143,T132,T132,Victor Dubuisson,10,13,10.0
144,T132,T132,Rickie Fowler,26,13,
145,T132,T132,Stephen Gallacher,12,13,
146,T132,T132,Robert Garrigus,25,13,2.0
147,T132,T132,Brian Gay,26,13,1.0
148,T132,T132,Retief Goosen,26,13,1.0
149,T132,T132,Jason Gore,7,13,9.0
150,T132,T132,Russell Henley,29,13,1.0
151,T132,T132,Jim Herman,21,13,5.0
152,T132,T132,Charley Hoffman,25,13,
153,T132,T132,Billy Horschel,27,13,1.0
154,T132,T132,Charles Howell III,29,13,
155,T132,T132,Jerry Kelly,23,13,1.0
156,T132,T132,Martin Laird,20,13,3.0
157,T132,T132,Richard Lee,27,13,1.0
158,T132,T132,Spencer Levin,20,13,
159,T132,T132,Edward Loar,19,13,2.0
160,T132,T132,John Mallinger,14,13,
161,T132,T132,William McGirt,29,13,1.0
162,T132,T132,Joe Ogilvie,13,13,
163,T132,T132,John Rollins,28,13,
164,T132,T132,Shawn Stefani,17,13,2.0
165,T132,T132,Hudson Swafford,26,13,
166,T132,T132,Josh Teater,28,13,
167,T132,T132,Scott Verplank,12,13,
168,T132,T132,Johnson Wagner,24,13,2.0
169,T132,T132,Bubba Watson,21,13,6.0
170,T132,T132,Mark Wilson,25,13,4.0
171,T172,T172,Kiradech Aphibarnrat,9,12,
