,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Ernie Els,74,67.62,261,386
1,2,2,Len Mattiace,107,67.26,452,672
2,3,3,Tiger Woods,82,67.08,216,322
3,4,4,Stuart Appleby,86,66.32,317,478
4,5,5,Steve Flesch,123,65.26,402,616
5,6,6,Phil Mickelson,85,65.22,285,437
6,7,7,Jerry Smith,104,65.11,405,622
7,8,8,Paul Azinger,73,64.86,275,424
8,9,9,Esteban Toledo,113,64.55,437,677
9,10,10,Jean Van de Velde,70,64.5,258,400
10,11,11,Pete Jordan,102,64.33,404,628
11,12,12,Peter Jacobsen,65,64.3,254,395
12,13,13,Chris Riley,98,64.15,383,597
13,14,14,Dan Forsman,88,64.12,336,524
14,15,15,Kenny Perry,76,63.9,246,385
15,16,16,Scott Verplank,106,63.8,363,569
16,17,17,Shigeki Maruyama,88,63.65,331,520
17,18,18,Greg Kraft,106,63.56,389,612
18,19,19,Loren Roberts,87,63.53,317,499
19,20,20,Frank Lickliter II,107,63.49,407,641
20,21,21,Hal Sutton,93,63.29,300,474
21,22,22,Jim Furyk,98,63.17,331,524
22,23,23,Joel Edwards,99,63.09,347,550
23,24,24,Michael Bradley,73,63.08,299,474
24,25,25,Paul Goydos,99,62.93,399,634
25,26,26,Stewart Cink,98,62.85,318,506
26,27,27,Robert Allenby,98,62.83,333,530
27,28,28,Mark Calcavecchia,99,62.8,309,492
28,29,29,Paul Curry,64,62.74,298,475
29,30,30,Mike Reid,76,62.68,262,418
30,31,31,Kevin Sutherland,98,62.66,334,533
31,32,32,Tom Byrum,91,62.55,329,526
32,T33,T33,Fred Funk,110,62.14,371,597
33,T33,T33,Nick Price,63,62.14,215,346
34,35,35,Brent Geiberger,79,62.13,274,441
35,36,36,David Peoples,99,62.08,334,538
36,37,37,Rick Fehr,73,62.05,291,469
37,38,38,Justin Leonard,98,62.02,320,516
38,39,39,Jerry Kelly,111,61.99,411,663
39,40,40,Rocco Mediate,79,61.96,259,418
40,41,41,Craig Perks,82,61.89,328,530
41,42,42,Olin Browne,103,61.85,347,561
42,43,43,Dudley Hart,74,61.83,243,393
43,44,44,Steve Hart,72,61.8,330,534
44,T45,T45,Jesper Parnevik,71,61.73,242,392
45,T45,T45,Carl Paulson,105,61.73,371,601
46,47,47,Bob Estes,68,61.65,246,399
47,48,48,Brian Gay,101,61.62,387,628
48,49,49,Robert Damron,93,61.58,367,596
49,50,50,Neal Lancaster,99,61.55,365,593
50,51,51,John Cook,90,61.52,291,473
51,52,52,Lee Janzen,92,61.48,324,527
52,53,53,Bill Glasson,93,61.22,322,526
53,54,54,Tom Scherrer,104,61.19,350,572
54,55,55,Mike Sposa,73,61.17,282,461
55,56,56,Russ Cochran,71,61.15,255,417
56,57,57,Brad Faxon,98,61.14,376,615
57,T58,T58,Robin Freeman,98,61.13,379,620
58,T58,T58,Jeff Sluman,113,61.13,379,620
59,60,60,Joe Durant,94,61.11,286,468
60,61,61,Jonathan Kaye,115,61.1,421,689
61,62,62,Larry Mize,71,61.09,270,442
62,63,63,Steve Lowery,107,61.04,365,598
63,64,64,K.J. Choi,92,60.98,322,528
64,65,65,John Maginnes,99,60.96,395,648
65,66,66,Scott Hoch,108,60.89,355,583
66,67,67,Woody Austin,104,60.88,372,611
67,68,68,Keith Nolan,57,60.84,247,406
68,69,69,Blaine McCallister,104,60.83,351,577
69,70,70,Omar Uresti,94,60.82,371,610
70,71,71,Craig Barlow,98,60.76,350,576
71,72,72,Craig Parry,73,60.72,235,387
72,73,73,Billy Andrade,89,60.69,352,580
73,74,74,Bob May,95,60.68,284,468
74,T75,T75,Stephen Ames,99,60.66,333,549
75,T75,T75,Tommy Armour III,91,60.66,330,544
76,T75,T75,Tim Herron,96,60.66,333,549
77,78,78,Jay Don Blake,95,60.64,362,597
78,79,79,Sean Murphy,102,60.63,385,635
79,80,80,Mike Weir,102,60.54,316,522
80,81,81,Bob Friend,96,60.52,371,613
81,82,82,Paul Stankowski,77,60.51,259,428
82,83,83,Greg Chalmers,96,60.42,313,518
83,T84,T84,Andrew Magee,78,60.36,271,449
84,T84,T84,Kirk Triplett,101,60.36,306,507
85,86,86,David Duval,73,60.3,202,335
86,87,87,Tom Pernice Jr.,98,60.19,378,628
87,88,88,Corey Pavin,74,60.15,326,542
88,89,89,Joe Ozaki,55,60.06,191,318
89,90,90,Kevin Wentworth,83,60.0,342,570
90,91,91,Mark Brooks,91,59.96,337,562
91,92,92,Joe Ogilvie,95,59.86,346,578
92,93,93,Franklin Langham,95,59.85,319,533
93,94,94,Cameron Beckman,81,59.83,289,483
94,95,95,Fulton Allem,77,59.75,282,472
95,96,96,Jimmy Green,85,59.74,316,529
96,97,97,John Huston,81,59.7,280,469
97,98,98,Grant Waite,85,59.66,284,476
98,99,99,Jim Carter,96,59.64,368,617
99,100,100,Sergio Garcia,59,59.57,196,329
100,101,101,Jay Williamson,105,59.46,377,634
101,102,102,Harrison Frazar,72,59.44,255,429
102,T103,T103,Scott Dunlap,106,59.41,341,574
103,T103,T103,Glen Hnatiuk,94,59.41,281,473
104,105,105,Shaun Micheel,94,59.4,316,532
105,106,106,Steve Pate,97,59.31,325,548
106,107,107,Rory Sabbatini,85,59.17,326,551
107,108,108,Mark O'Meara,61,59.16,226,382
108,109,109,Frank Nobilo,98,59.15,336,568
109,110,110,Mark Wiebe,95,59.14,343,580
110,111,111,Glen Day,93,59.11,331,560
111,112,112,Davis Love III,98,59.06,290,491
112,113,113,Brad Elder,110,59.04,395,669
113,114,114,Craig Spence,89,59.01,347,588
114,115,115,Emlyn Aubrey,68,58.88,252,428
115,116,116,David Sutherland,109,58.87,355,603
116,117,117,Ben Bates,107,58.86,382,649
117,118,118,"Dave Stockton, Jr.",89,58.82,330,561
118,119,119,Edward Fryatt,101,58.78,358,609
119,120,120,Brett Quigley,63,58.75,235,400
120,121,121,Jeff Maggert,86,58.69,260,443
121,122,122,Brandel Chamblee,72,58.66,227,387
122,123,123,Ronnie Black,82,58.64,285,486
123,124,124,J.P. Hayes,91,58.6,327,558
124,125,125,Chris DiMarco,118,58.55,363,620
125,T126,T126,Bart Bryant,73,58.48,269,460
126,T126,T126,Steve Jones,75,58.48,269,460
127,128,128,Ted Tryba,112,58.44,464,794
128,129,129,Chris Perry,109,58.43,312,534
129,130,130,Doug Barron,85,58.42,281,481
130,131,131,Brad Fabel,88,58.37,359,615
131,132,132,Jeff Gove,86,58.28,292,501
132,133,133,Ryan Howison,83,58.25,332,570
133,134,134,P.H. Horgan III,65,58.12,247,425
134,135,135,Vijay Singh,97,58.08,266,458
135,136,136,Michael Clark II,84,58.07,295,508
136,137,137,Notah Begay III,82,57.99,265,457
137,138,138,David Toms,113,57.98,327,564
138,139,139,Scott McCarron,100,57.96,375,647
139,T140,T140,Mike Brisky,89,57.91,322,556
140,T140,T140,Nick Faldo,51,57.91,172,297
141,142,142,Gabriel Hjertstedt,86,57.88,312,539
142,143,143,Scott Gump,108,57.84,365,631
143,144,144,Bob Tway,91,57.82,281,486
144,145,145,Jim McGovern,55,57.78,193,334
145,146,146,Skip Kendall,114,57.77,379,656
146,T147,T147,Bob Heintz,87,57.76,346,599
147,T147,T147,Brian Watts,89,57.76,309,535
148,149,149,Jay Delsing,97,57.54,355,617
149,150,150,Jay Haas,80,57.53,294,511
150,151,151,David Frost,65,57.48,242,421
151,152,152,Chip Beck,51,57.34,207,361
152,153,153,J.L. Lewis,104,57.22,333,582
153,154,154,Steve Gotsche,91,57.19,318,556
154,155,155,Dennis Paulson,82,57.09,298,522
155,156,156,Jason Caron,77,57.06,291,510
156,157,157,Carlos Franco,85,56.95,295,518
157,158,158,Tom Lehman,71,56.9,198,348
158,159,159,Fred Couples,71,56.85,195,343
159,160,160,Mike Springer,83,56.83,308,542
160,161,161,Robert Gamez,76,56.68,246,434
161,162,162,Tommy Tolles,60,56.25,234,416
162,163,163,David Morland IV,88,56.15,306,545
