,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Phil Mickelson,81,23.08,21,91
1,2,2,Joe Durant,81,21.55,25,116
2,3,3,Justin Rose,99,20.78,32,154
3,4,4,Joey Snyder III,102,20.55,30,146
4,5,5,Tiger Woods,76,20.53,31,151
5,6,6,Kirk Triplett,55,20.51,16,78
6,7,7,Kevin Na,88,20.41,30,147
7,8,8,Geoff Ogilvy,97,20.37,33,162
8,9,9,Tag Ridings,93,19.62,31,158
9,10,10,Danny Briggs,70,19.57,18,92
10,11,11,Billy Mayfair,114,19.51,32,164
11,12,12,Scott Gutschewski,86,19.31,28,145
12,13,13,Fred Couples,72,19.05,20,105
13,T14,T14,D.J. Brigman,76,18.92,21,111
14,T14,T14,Dan Forsman,52,18.92,14,74
15,16,16,Arjun Atwal,65,18.81,19,101
16,17,17,Roland Thatcher,75,18.69,20,107
17,18,18,Steve Allan,102,18.64,33,177
18,19,19,Franklin Langham,91,18.6,24,129
19,20,20,Mario Tiziani,67,18.49,22,119
20,21,21,Brenden Pappas,51,18.48,17,92
21,22,22,Ted Purdy,122,18.13,29,160
22,23,23,Steve Lowery,100,18.11,23,127
23,24,24,Ryan Palmer,101,17.86,25,140
24,25,25,Steve Stricker,62,17.74,22,124
25,26,26,Vijay Singh,111,17.71,31,175
26,T27,T27,Mark Calcavecchia,92,17.69,23,130
27,T27,T27,Tim Herron,100,17.69,23,130
28,29,29,Rich Beem,66,17.59,19,108
29,30,30,D.J. Trahan,81,17.32,22,127
30,31,31,Sergio Garcia,73,17.17,17,99
31,32,32,Ryuji Imada,78,16.95,20,118
32,33,33,John Elliott,58,16.91,23,136
33,T34,T34,Glen Day,80,16.81,20,119
34,T34,T34,Hidemichi Tanaka,106,16.81,20,119
35,36,36,Hunter Haas,83,16.79,22,131
36,T37,T37,Paul Azinger,66,16.67,19,114
37,T37,T37,Mathias Grönberg,60,16.67,18,108
