,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Vijay Singh,111,12.69,249,1962
1,2,2,Jim Furyk,94,13.14,220,1674
2,3,3,Tiger Woods,76,13.36,178,1332
3,4,4,Kevin Sutherland,89,14.43,226,1566
4,5,5,Richard Johnson,50,14.44,130,900
5,6,6,Olin Browne,99,14.56,249,1710
6,7,7,José María Olazábal,55,14.57,139,954
7,8,8,Heath Slocum,103,14.65,261,1782
8,9,9,Jeff Brehaut,71,14.68,177,1206
9,10,10,Luke Donald,67,14.72,159,1080
10,11,11,Dudley Hart,84,14.75,223,1512
11,12,12,Justin Rose,99,14.85,254,1710
12,13,13,Steve Elkington,67,14.93,180,1206
13,T14,T14,Phillip Price,77,14.99,197,1314
14,T14,T14,Bob Tway,87,14.99,224,1494
15,16,16,Loren Roberts,54,15.09,144,954
16,17,17,Carl Pettersson,109,15.13,286,1890
17,18,18,Doug Barron,70,15.16,191,1260
18,19,19,Sergio Garcia,73,15.2,186,1224
19,20,20,John Senden,101,15.26,272,1782
20,21,21,Fred Funk,102,15.29,278,1818
21,22,22,Phil Mickelson,81,15.32,204,1332
22,T23,T23,Dan Forsman,52,15.33,138,900
23,T23,T23,Joey Sindelar,104,15.33,287,1872
24,25,25,Billy Mayfair,114,15.35,304,1980
25,26,26,Chris DiMarco,83,15.41,208,1350
26,T27,T27,Stewart Cink,98,15.43,250,1620
27,T27,T27,Jeff Sluman,94,15.43,261,1692
28,29,29,Bob Estes,92,15.46,256,1656
29,30,30,J.J. Henry,102,15.56,280,1800
30,31,31,Bart Bryant,91,15.57,255,1638
31,32,32,Jason Bohn,91,15.63,256,1638
32,33,33,Kenny Perry,82,15.69,226,1440
33,T34,T34,Shigeki Maruyama,99,15.7,277,1764
34,T34,T34,Brett Quigley,96,15.7,260,1656
35,36,36,Darron Stiles,78,15.79,216,1368
36,37,37,Tim Herron,100,15.88,283,1782
37,38,38,Harrison Frazar,105,15.9,289,1818
38,39,39,Marco Dawson,82,15.92,235,1476
39,40,40,Mark Wilson,74,15.95,201,1260
40,T41,T41,Arron Oberholser,65,15.96,181,1134
41,T41,T41,Dean Wilson,86,15.96,247,1548
42,43,43,Corey Pavin,77,15.98,210,1314
43,44,44,Tom Pernice Jr.,111,15.99,308,1926
44,T45,T45,Davis Love III,80,16.07,217,1350
45,T45,T45,Hidemichi Tanaka,106,16.07,295,1836
46,47,47,Stuart Appleby,84,16.11,232,1440
47,48,48,Tommy Armour III,103,16.13,299,1854
48,T49,T49,Zach Johnson,96,16.14,276,1710
49,T49,T49,Jay Williamson,53,16.14,154,954
50,51,51,Justin Leonard,78,16.15,218,1350
51,T52,T52,Jerry Kelly,101,16.16,288,1782
52,T52,T52,David Toms,87,16.16,224,1386
53,54,54,Nick Watney,91,16.17,259,1602
54,55,55,Briny Baird,98,16.2,280,1728
55,56,56,Geoff Ogilvy,97,16.25,272,1674
56,T57,T57,Brian Gay,101,16.27,290,1782
57,T57,T57,Bo Van Pelt,112,16.27,328,2016
58,59,59,Scott Verplank,87,16.28,252,1548
59,60,60,Daniel Chopra,108,16.29,305,1872
60,61,61,Charles Howell III,95,16.3,264,1620
61,T62,T62,Ryuji Imada,78,16.31,229,1404
62,T62,T62,Steve Stricker,62,16.31,182,1116
63,64,64,Joe Durant,81,16.32,238,1458
64,65,65,Chad Campbell,95,16.36,271,1656
65,66,66,Retief Goosen,71,16.39,180,1098
66,T67,T67,Lucas Glover,88,16.41,254,1548
67,T67,T67,Stephen Leaney,89,16.41,254,1548
