,Tenth_Tee_Late_Par_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_3_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_3_Scoring_Average_AVG,Tenth_Tee_Late_Par_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Luke Donald,67,2.69,43,16
1,2,2,Adam Scott,72,2.83,68,24
2,T3,T3,Sergio Garcia,73,2.89,81,28
3,T3,T3,Corey Pavin,77,2.89,185,64
4,T3,T3,Kirk Triplett,55,2.89,81,28
5,T6,T6,Chad Campbell,95,2.9,142,49
6,T6,T6,Tim Clark,92,2.9,148,51
7,T6,T6,Bill Glasson,54,2.9,139,48
8,T6,T6,Hidemichi Tanaka,106,2.9,223,77
9,T10,T10,Dudley Hart,84,2.91,131,45
10,T10,T10,Jay Williamson,53,2.91,134,46
11,T12,T12,Loren Roberts,54,2.92,140,48
12,T12,T12,Scott Verplank,87,2.92,108,37
13,T14,T14,Paul Azinger,66,2.93,82,28
14,T14,T14,Todd Fischer,99,2.93,176,60
15,T14,T14,Thomas Levet,54,2.93,82,28
16,T14,T14,Phil Mickelson,81,2.93,123,42
17,T14,T14,Steve Stricker,62,2.93,120,41
18,T19,T19,Woody Austin,100,2.94,250,85
19,T19,T19,Rocco Mediate,73,2.94,106,36
20,21,21,Davis Love III,80,2.95,112,38
21,T22,T22,Briny Baird,98,2.96,151,51
22,T22,T22,Stephen Leaney,89,2.96,133,45
23,T22,T22,Phillip Price,77,2.96,151,51
24,T22,T22,Jeff Sluman,94,2.96,169,57
25,T26,T26,Stephen Ames,82,2.97,98,33
26,T26,T26,Brad Faxon,75,2.97,116,39
27,T26,T26,Duffy Waldorf,86,2.97,202,68
28,T26,T26,Mike Weir,71,2.97,181,61
29,T30,T30,Jeff Brehaut,71,2.98,158,53
30,T30,T30,Tom Byrum,83,2.98,194,65
31,T30,T30,Mark Calcavecchia,92,2.98,182,61
32,T30,T30,Stewart Cink,98,2.98,119,40
33,T30,T30,Jim Furyk,94,2.98,143,48
34,T30,T30,Hunter Haas,83,2.98,131,44
35,T30,T30,Skip Kendall,80,2.98,191,64
36,T30,T30,Ryan Palmer,101,2.98,143,48
37,T30,T30,Kevin Sutherland,89,2.98,194,65
38,T39,T39,Fred Funk,102,3.0,132,44
39,T39,T39,Lee Janzen,75,3.0,120,40
40,T39,T39,Jonathan Kaye,77,3.0,171,57
41,T39,T39,Pat Perez,89,3.0,195,65
42,T39,T39,Kenny Perry,82,3.0,96,32
43,T39,T39,Justin Rose,99,3.0,168,56
44,T45,T45,Steve Allan,102,3.01,208,69
