,Tenth_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_2_Scoring_Average_AVG,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,T1,T1,Tim Clark,67.0,201,3
1,T1,T1,Luke Donald,67.0,67,1
2,3,3,Brian Gay,67.5,405,6
3,4,4,Dudley Hart,67.8,339,5
4,T5,T5,Tag Ridings,68.0,68,1
5,T5,T5,Hidemichi Tanaka,68.0,408,6
6,7,7,Jeff Sluman,68.17,409,6
7,8,8,Gavin Coles,68.2,341,5
8,T9,T9,Bradley Hughes,68.25,273,4
9,T9,T9,Kenny Perry,68.25,273,4
10,T9,T9,Bo Van Pelt,68.25,273,4
11,12,12,Scott Verplank,68.33,205,3
12,T13,T13,Brian Davis,68.4,342,5
13,T13,T13,Justin Leonard,68.4,342,5
14,T15,T15,Phil Mickelson,68.57,480,7
15,T15,T15,Steve Stricker,68.57,480,7
16,17,17,Mark Wilson,68.67,206,3
17,18,18,Thomas Levet,68.75,275,4
18,T19,T19,Paul Azinger,69.0,138,2
19,T19,T19,Fred Funk,69.0,345,5
20,T19,T19,Scott Gutschewski,69.0,276,4
21,T19,T19,Arron Oberholser,69.0,483,7
22,T23,T23,Corey Pavin,69.17,415,6
23,T23,T23,Duffy Waldorf,69.17,415,6
24,T25,T25,Mathias Grönberg,69.2,346,5
25,T25,T25,Nick Watney,69.2,692,10
26,T27,T27,Robert Allenby,69.25,277,4
27,T27,T27,Robert Damron,69.25,554,8
28,T27,T27,Mark Hensby,69.25,277,4
29,T27,T27,Freddie Jacobson,69.25,277,4
30,T31,T31,Brandt Jobe,69.33,208,3
31,T31,T31,Rocco Mediate,69.33,208,3
32,T33,T33,Brad Faxon,69.4,347,5
33,T33,T33,Jim Furyk,69.4,347,5
34,35,35,Zach Johnson,69.43,486,7
35,T36,T36,Pat Perez,69.5,417,6
36,T36,T36,Loren Roberts,69.5,417,6
37,T38,T38,Woody Austin,69.67,627,9
38,T38,T38,Stewart Cink,69.67,418,6
39,T38,T38,Glen Hnatiuk,69.67,418,6
40,T38,T38,Carl Pettersson,69.67,627,9
41,T38,T38,Justin Rose,69.67,209,3
42,43,43,John Senden,69.7,697,10
43,44,44,Ted Purdy,69.71,488,7
44,45,45,Olin Browne,69.8,698,10
45,46,46,Joe Durant,69.83,419,6
46,T47,T47,José Coceres,69.86,489,7
47,T47,T47,Marco Dawson,69.86,489,7
48,T47,T47,J.J. Henry,69.86,489,7
49,T47,T47,Lee Janzen,69.86,489,7
50,T47,T47,Kevin Stadler,69.86,489,7
51,T52,T52,Steve Allan,70.0,630,9
52,T52,T52,Tommy Armour III,70.0,560,8
53,T52,T52,Briny Baird,70.0,210,3
54,T52,T52,Justin Bolli,70.0,210,3
55,T52,T52,Ben Crane,70.0,140,2
56,T52,T52,Brenden Pappas,70.0,70,1
57,T52,T52,Brett Quigley,70.0,630,9
58,T52,T52,Kevin Sutherland,70.0,490,7
59,T52,T52,Tiger Woods,70.0,70,1
60,T61,T61,D.J. Brigman,70.17,421,6
61,T61,T61,John Cook,70.17,421,6
62,T63,T63,Carlos Franco,70.2,351,5
63,T63,T63,Jay Williamson,70.2,351,5
64,T65,T65,Mark Calcavecchia,70.25,562,8
65,T65,T65,J.L. Lewis,70.25,562,8
66,T65,T65,Billy Mayfair,70.25,562,8
67,T68,T68,Jonathan Kaye,70.29,492,7
68,T68,T68,Hank Kuehne,70.29,492,7
69,T70,T70,Robert Gamez,70.33,422,6
70,T70,T70,Larry Mize,70.33,422,6
71,T70,T70,Joey Sindelar,70.33,633,9
72,T73,T73,Aaron Baddeley,70.4,352,5
73,T73,T73,Vaughn Taylor,70.4,704,10
74,75,75,Darron Stiles,70.43,493,7
75,76,76,Greg Owen,70.44,634,9
76,T77,T77,Billy Andrade,70.5,423,6
77,T77,T77,Glen Day,70.5,423,6
78,T77,T77,Bob Estes,70.5,423,6
79,T77,T77,Todd Fischer,70.5,282,4
80,T77,T77,Bill Glasson,70.5,282,4
81,T77,T77,Matt Gogel,70.5,564,8
82,T77,T77,Richard Johnson,70.5,141,2
83,T77,T77,Brendan Jones,70.5,282,4
84,T77,T77,Davis Love III,70.5,282,4
