,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Tiger Woods,76,26.13,348,1332,6
1,2,2,Phil Mickelson,81,24.77,330,1332,47
2,3,3,Brenden Pappas,51,23.64,217,918,108
3,4,4,Arjun Atwal,65,23.25,272,1170,106
4,5,5,David Toms,87,23.09,320,1386,39
5,6,6,Tag Ridings,93,22.89,375,1638,97
6,7,7,Scott Verplank,87,22.74,352,1548,61
7,8,8,Vijay Singh,111,22.68,445,1962,4
8,9,9,Harrison Frazar,105,22.33,406,1818,58
9,T10,T10,Tim Clark,92,22.22,348,1566,123
10,T10,T10,Scott Gutschewski,86,22.22,328,1476,33
11,12,12,Ryan Palmer,101,22.11,386,1746,89
12,13,13,Geoff Ogilvy,97,22.04,369,1674,53
13,14,14,Tim Herron,100,21.94,391,1782,96
14,15,15,Ben Crane,78,21.85,291,1332,161
15,T16,T16,Fred Couples,72,21.81,267,1224,25
16,T16,T16,Bob Heintz,67,21.81,263,1206,189
17,18,18,Steve Stricker,62,21.77,243,1116,180
18,19,19,Kenny Perry,82,21.74,313,1440,3
19,20,20,Bo Van Pelt,112,21.63,436,2016,18
20,21,21,Jim Furyk,94,21.62,362,1674,7
21,22,22,Richard Johnson,50,21.56,194,900,28
22,T23,T23,Vaughn Taylor,99,21.55,384,1782,80
23,T23,T23,Brett Wetterich,76,21.55,287,1332,24
24,25,25,Charles Warren,89,21.52,337,1566,16
25,26,26,Davis Love III,80,21.48,290,1350,51
26,27,27,Billy Mayfair,114,21.46,425,1980,10
27,28,28,Retief Goosen,71,21.4,235,1098,38
28,29,29,Joe Ogilvie,103,21.38,381,1782,172
29,30,30,Woody Austin,100,21.33,384,1800,120
30,31,31,Sergio Garcia,73,21.32,261,1224,1
31,32,32,Mark Calcavecchia,92,21.3,345,1620,76
32,33,33,Marco Dawson,82,21.27,314,1476,37
33,34,34,Kevin Stadler,96,21.26,352,1656,116
34,35,35,Dan Forsman,52,21.22,191,900,14
35,36,36,Robert Allenby,95,21.16,339,1602,11
36,37,37,John Daly,78,21.13,289,1368,152
37,38,38,Lucas Glover,88,21.12,327,1548,35
38,39,39,Jonathan Kaye,77,21.1,281,1332,53
39,40,40,Billy Andrade,83,21.08,315,1494,132
40,41,41,Hunter Mahan,103,21.07,383,1818,52
41,42,42,John Huston,90,21.06,326,1548,130
42,43,43,Chris Smith,93,21.03,352,1674,13
43,44,44,Bart Bryant,91,21.0,344,1638,17
44,45,45,Darron Stiles,78,20.98,287,1368,60
45,T46,T46,Dudley Hart,84,20.97,317,1512,61
46,T46,T46,Rod Pampling,89,20.97,317,1512,82
47,48,48,Hunter Haas,83,20.96,298,1422,128
48,49,49,Jeff Brehaut,71,20.9,252,1206,5
49,50,50,Steve Lowery,100,20.89,361,1728,113
50,T51,T51,Aaron Baddeley,84,20.87,308,1476,191
51,T51,T51,Duffy Waldorf,86,20.87,308,1476,64
52,T51,T51,Dean Wilson,86,20.87,323,1548,81
53,54,54,Frank Lickliter II,100,20.83,360,1728,83
54,T55,T55,Zach Johnson,96,20.82,356,1710,53
55,T55,T55,Justin Rose,99,20.82,356,1710,29
56,57,57,Kent Jones,99,20.79,363,1746,86
57,58,58,Brian Davis,75,20.74,280,1350,79
58,59,59,Patrick Sheehan,114,20.71,410,1980,144
59,60,60,Joey Sindelar,104,20.67,387,1872,19
60,61,61,Brad Faxon,75,20.66,264,1278,167
61,62,62,Brandt Jobe,96,20.65,342,1656,85
62,63,63,Robert Gamez,91,20.63,338,1638,119
63,64,64,Daniel Chopra,108,20.62,386,1872,133
64,65,65,D.J. Trahan,81,20.56,285,1386,31
65,T66,T66,Jonathan Byrd,103,20.54,366,1782,115
66,T66,T66,Sean O'Hair,103,20.54,366,1782,41
67,T66,T66,John Senden,101,20.54,366,1782,30
68,69,69,John Rollins,97,20.53,351,1710,78
69,70,70,Mark Hensby,70,20.51,251,1224,149
70,71,71,Craig Barlow,81,20.49,284,1386,53
71,72,72,Carl Pettersson,109,20.48,387,1890,73
72,73,73,Scott Hend,75,20.47,269,1314,146
73,74,74,Neal Lancaster,95,20.41,349,1710,92
74,75,75,Briny Baird,98,20.37,352,1728,12
75,T76,T76,Cameron Beckman,96,20.35,337,1656,109
76,T76,T76,Brett Quigley,96,20.35,337,1656,112
77,T76,T76,Nick Watney,91,20.35,326,1602,68
78,79,79,José María Olazábal,55,20.34,194,954,89
79,80,80,Shigeki Maruyama,99,20.29,358,1764,88
80,81,81,Adam Scott,72,20.26,248,1224,40
81,T82,T82,Will MacKenzie,75,20.24,266,1314,93
82,T82,T82,Phillip Price,77,20.24,266,1314,98
83,T82,T82,Mark Wilson,74,20.24,255,1260,75
84,85,85,Ted Purdy,122,20.22,444,2196,98
85,86,86,Chad Campbell,95,20.17,334,1656,20
86,87,87,Hidemichi Tanaka,106,20.15,370,1836,48
87,88,88,Greg Owen,84,20.14,290,1440,43
88,89,89,Olin Browne,99,20.12,344,1710,15
89,90,90,Justin Leonard,78,20.07,271,1350,94
90,T91,T91,Brian Bateman,98,20.04,339,1692,117
91,T91,T91,Pat Perez,89,20.04,321,1602,139
92,T93,T93,Jason Bohn,91,20.02,328,1638,74
93,T93,T93,Mathias Grönberg,60,20.02,209,1044,103
94,T93,T93,J.P. Hayes,63,20.02,227,1134,155
95,96,96,Rory Sabbatini,81,20.01,281,1404,188
96,97,97,Paul Azinger,66,19.95,237,1188,190
97,98,98,Ryuji Imada,78,19.94,280,1404,127
98,T99,T99,Chris DiMarco,83,19.93,269,1350,125
99,T99,T99,Hank Kuehne,84,19.93,287,1440,178
100,101,101,Heath Slocum,103,19.92,355,1782,23
101,102,102,Jeff Maggert,79,19.89,265,1332,84
102,103,103,Stewart Cink,98,19.88,322,1620,77
103,104,104,Stuart Appleby,84,19.86,286,1440,48
104,T105,T105,J.L. Lewis,98,19.84,350,1764,72
105,T105,T105,Joey Snyder III,102,19.84,350,1764,21
106,107,107,Tom Pernice Jr.,111,19.78,381,1926,151
107,108,108,Doug Barron,70,19.76,249,1260,46
108,109,109,Bob Tway,87,19.75,295,1494,36
109,T110,T110,K.J. Choi,78,19.71,259,1314,124
110,T110,T110,Omar Uresti,84,19.71,298,1512,59
111,T112,T112,Michael Allen,90,19.69,319,1620,156
112,T112,T112,Charles Howell III,95,19.69,319,1620,71
113,114,114,Joe Durant,81,19.68,287,1458,2
114,115,115,Kevin Sutherland,89,19.67,308,1566,44
115,116,116,Kirk Triplett,55,19.66,184,936,121
116,117,117,Todd Fischer,99,19.64,343,1746,181
117,118,118,J.J. Henry,102,19.56,352,1800,8
118,T119,T119,Carlos Franco,78,19.52,267,1368,65
119,T119,T119,Scott McCarron,78,19.52,260,1332,147
120,121,121,Steve Allan,102,19.5,344,1764,128
121,122,122,Brendan Jones,81,19.48,277,1422,53
122,T123,T123,Luke Donald,67,19.44,210,1080,22
123,T123,T123,Bob Estes,92,19.44,322,1656,114
124,T123,T123,Padraig Harrington,50,19.44,168,864,154
125,T123,T123,Stephen Leaney,89,19.44,301,1548,61
126,T127,T127,Lee Janzen,75,19.41,255,1314,131
127,T127,T127,Rocco Mediate,73,19.41,255,1314,87
128,129,129,Arron Oberholser,65,19.4,220,1134,50
129,130,130,David Hearn,68,19.36,237,1224,27
130,131,131,Roland Thatcher,75,19.33,254,1314,9
131,132,132,Kevin Na,88,19.32,299,1548,194
132,133,133,Jesper Parnevik,84,19.31,285,1476,183
133,134,134,Jerry Kelly,101,19.25,343,1782,70
134,135,135,Tom Lehman,69,19.24,232,1206,34
135,136,136,Todd Hamilton,94,19.23,315,1638,140
136,137,137,Justin Bolli,65,19.22,218,1134,185
137,T138,T138,Gavin Coles,70,19.21,242,1260,165
138,T138,T138,Jeff Sluman,94,19.21,325,1692,45
139,140,140,D.A. Points,94,19.2,311,1620,103
140,T141,T141,Peter Lonard,85,19.18,290,1512,122
141,T141,T141,Corey Pavin,77,19.18,252,1314,157
142,T141,T141,Loren Roberts,54,19.18,183,954,89
143,144,144,Freddie Jacobson,72,19.17,245,1278,163
144,145,145,Charlie Wi,67,19.15,224,1170,195
145,146,146,Tjaart van der Walt,56,19.05,192,1008,66
146,147,147,Paul Gow,78,18.99,253,1332,170
147,148,148,Tim Petrovic,97,18.94,317,1674,102
148,149,149,José Coceres,56,18.93,184,972,193
149,150,150,Mario Tiziani,67,18.89,221,1170,67
150,T151,T151,Glen Day,80,18.87,265,1404,174
151,T151,T151,Andrew Magee,82,18.87,265,1404,183
152,153,153,Stephen Ames,82,18.85,268,1422,169
153,154,154,Tom Gillis,77,18.81,254,1350,125
154,155,155,Bernhard Langer,67,18.74,226,1206,101
155,156,156,Chris Anderson,66,18.73,209,1116,185
156,157,157,Glen Hnatiuk,59,18.69,185,990,32
157,T158,T158,Tommy Armour III,103,18.66,346,1854,26
158,T158,T158,Jay Williamson,53,18.66,178,954,142
159,T160,T160,John Cook,72,18.65,235,1260,133
160,T160,T160,John Elliott,58,18.65,188,1008,200
161,162,162,Brian Gay,101,18.57,331,1782,162
162,163,163,James Driscoll,73,18.54,237,1278,145
163,T164,T164,Jay Haas,54,18.52,170,918,176
164,T164,T164,Lee Westwood,50,18.52,160,864,133
165,166,166,Steve Elkington,67,18.49,223,1206,42
166,167,167,Steve Flesch,90,18.3,280,1530,148
167,168,168,Matt Gogel,78,18.27,250,1368,159
168,169,169,Robert Damron,89,18.23,292,1602,137
