,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Scott Gutschewski,86,25.38,33,130
1,2,2,Heath Slocum,103,24.62,32,130
2,3,3,Darron Stiles,78,24.1,20,83
3,4,4,Retief Goosen,71,22.73,20,88
4,5,5,Glen Hnatiuk,59,22.37,17,76
5,T6,T6,Matt Davidson,53,22.22,18,81
6,T6,T6,Justin Leonard,78,22.22,20,90
7,8,8,Phillip Price,77,21.88,21,96
8,9,9,Tjaart van der Walt,56,21.43,12,56
9,10,10,Arjun Atwal,65,21.36,22,103
10,11,11,Charles Warren,89,21.24,24,113
11,12,12,Phil Mickelson,81,21.05,24,114
12,13,13,Doug Barron,70,20.88,19,91
13,14,14,Kevin Na,88,20.86,29,139
14,15,15,Brett Wetterich,76,20.83,30,144
15,T16,T16,Mark Calcavecchia,92,20.51,24,117
16,T16,T16,Bernhard Langer,67,20.51,16,78
17,T18,T18,Daniel Chopra,108,20.43,38,186
18,T18,T18,David Toms,87,20.43,19,93
19,20,20,Vijay Singh,111,20.36,34,167
20,21,21,Steve Stricker,62,20.28,29,143
21,22,22,Joe Durant,81,20.25,16,79
22,23,23,Hunter Haas,83,20.14,28,139
23,24,24,Billy Andrade,83,20.0,21,105
24,25,25,Todd Fischer,99,19.69,25,127
25,26,26,Lee Janzen,75,19.66,23,117
26,27,27,Duffy Waldorf,86,19.42,20,103
27,28,28,Harrison Frazar,105,19.33,29,150
28,29,29,Jason Allred,75,19.02,31,163
29,T30,T30,Woody Austin,100,18.92,28,148
30,T30,T30,Kenny Perry,82,18.92,21,111
31,32,32,José Coceres,56,18.87,10,53
32,33,33,Jason Bohn,91,18.84,26,138
33,34,34,Robert Allenby,95,18.75,21,112
34,T35,T35,Aaron Baddeley,84,18.57,26,140
35,T35,T35,Steve Lowery,100,18.57,26,140
36,T35,T35,Larry Mize,54,18.57,13,70
37,38,38,Jeff Hart,63,18.37,9,49
38,39,39,Stuart Appleby,84,18.18,20,110
39,40,40,Jonathan Byrd,103,18.06,26,144
40,41,41,Brenden Pappas,51,17.92,19,106
41,T42,T42,Jim Furyk,94,17.89,17,95
42,T42,T42,Charles Howell III,95,17.89,22,123
43,44,44,John Senden,101,17.86,25,140
