,Par_5_Performance_RANK THIS WEEK,Par_5_Performance_RANK LAST WEEK,Par_5_Performance_PLAYER NAME,Par_5_Performance_ROUNDS,Par_5_Performance_STATUS,Par_5_Performance_PAR 5 AVG,Par_5_Performance_TOTAL PAR
0,1,1,Vijay Singh,111,-159,4.54,1745
1,2,2,Bo Van Pelt,112,-150,4.6,1885
2,3,3,Billy Mayfair,114,-148,4.59,1815
3,4,4,Harrison Frazar,105,-143,4.58,1715
4,5,5,Carl Pettersson,109,-139,4.62,1825
5,6,6,Frank Lickliter II,100,-135,4.59,1655
6,7,7,Ted Purdy,122,-133,4.65,1910
7,8,8,Charles Howell III,95,-132,4.55,1470
8,9,9,Woody Austin,100,-131,4.6,1630
9,T10,T10,John Senden,101,-124,4.63,1680
10,T10,T10,Kevin Stadler,96,-124,4.62,1640
11,12,12,Billy Andrade,83,-123,4.58,1450
12,13,13,Daniel Chopra,108,-122,4.65,1755
13,T14,T14,Jonathan Byrd,103,-120,4.63,1640
14,T14,T14,Joe Ogilvie,103,-120,4.64,1650
15,T16,T16,Tim Clark,92,-119,4.56,1345
16,T16,T16,Geoff Ogilvy,97,-119,4.61,1515
17,T16,T16,Brett Quigley,96,-119,4.63,1600
18,T19,T19,John Rollins,97,-118,4.62,1550
19,T19,T19,Nick Watney,91,-118,4.61,1530
20,T21,T21,Briny Baird,98,-117,4.63,1585
21,T21,T21,Hunter Mahan,103,-117,4.65,1650
22,T21,T21,Tag Ridings,93,-117,4.63,1590
23,T21,T21,Vaughn Taylor,99,-117,4.65,1675
24,25,25,Tom Pernice Jr.,111,-115,4.68,1810
25,T26,T26,Neal Lancaster,95,-114,4.65,1630
26,T26,T26,Ryan Palmer,101,-114,4.65,1625
27,28,28,D.A. Points,94,-113,4.63,1540
28,T29,T29,Jason Bohn,91,-112,4.62,1475
29,T29,T29,Tiger Woods,76,-112,4.52,1170
30,31,31,Scott Verplank,87,-111,4.58,1315
31,T32,T32,Lucas Glover,88,-110,4.63,1470
32,T32,T32,Tim Herron,100,-110,4.66,1615
33,T32,T32,Justin Rose,99,-110,4.66,1620
34,T35,T35,Brian Bateman,98,-109,4.66,1600
35,T35,T35,James Driscoll,73,-109,4.56,1250
36,T35,T35,Jim Furyk,94,-109,4.62,1440
37,T35,T35,Steve Lowery,100,-109,4.67,1670
38,39,39,D.J. Trahan,81,-108,4.58,1300
39,T40,T40,Robert Allenby,95,-107,4.64,1470
40,T40,T40,Scott Gutschewski,86,-107,4.61,1370
41,T40,T40,J.L. Lewis,98,-107,4.67,1640
42,T40,T40,Dean Wilson,86,-107,4.63,1460
43,T44,T44,Bart Bryant,91,-106,4.62,1385
44,T44,T44,Robert Damron,89,-106,4.66,1550
45,T44,T44,Joey Sindelar,104,-106,4.71,1850
46,T44,T44,Kevin Sutherland,89,-106,4.64,1460
47,T44,T44,Charles Warren,89,-106,4.64,1490
48,T49,T49,John Huston,90,-105,4.64,1440
49,T49,T49,Heath Slocum,103,-105,4.67,1615
50,T49,T49,Chris Smith,93,-105,4.68,1635
51,T49,T49,Hidemichi Tanaka,106,-105,4.7,1775
52,T49,T49,Omar Uresti,84,-105,4.62,1370
53,T54,T54,J.J. Henry,102,-104,4.69,1685
54,T54,T54,Zach Johnson,96,-104,4.65,1490
55,T54,T54,Jeff Sluman,94,-104,4.68,1620
56,T57,T57,Tommy Armour III,103,-103,4.7,1725
57,T57,T57,Joey Snyder III,102,-103,4.69,1650
58,T59,T59,Mark Calcavecchia,92,-102,4.64,1420
59,T59,T59,Todd Fischer,99,-102,4.69,1665
60,T59,T59,Shigeki Maruyama,99,-102,4.67,1525
61,T62,T62,Dudley Hart,84,-101,4.64,1420
62,T62,T62,David Toms,87,-101,4.58,1190
63,T64,T64,Sean O'Hair,103,-100,4.68,1565
64,T64,T64,Greg Owen,84,-100,4.64,1400
65,T66,T66,Robert Gamez,91,-99,4.67,1490
66,T66,T66,Brandt Jobe,96,-99,4.67,1480
67,T66,T66,Patrick Sheehan,114,-99,4.74,1895
68,69,69,Stuart Appleby,84,-98,4.6,1225
69,T70,T70,Aaron Baddeley,84,-97,4.65,1395
70,T70,T70,Brian Davis,75,-97,4.64,1345
71,T70,T70,Stephen Leaney,89,-97,4.67,1485
72,73,73,Phil Mickelson,81,-95,4.59,1170
73,T74,T74,Fred Funk,102,-94,4.69,1540
74,T74,T74,Kent Jones,99,-94,4.72,1670
75,76,76,Davis Love III,80,-93,4.61,1180
76,T77,T77,Joe Durant,81,-92,4.66,1355
77,T77,T77,Brendan Jones,81,-92,4.66,1340
78,T77,T77,Tim Petrovic,97,-92,4.7,1550
79,T80,T80,Marco Dawson,82,-90,4.68,1425
80,T80,T80,Kevin Na,88,-90,4.69,1465
81,T80,T80,Darron Stiles,78,-90,4.65,1290
82,T83,T83,Steve Allan,102,-89,4.73,1660
83,T83,T83,Sergio Garcia,73,-89,4.56,1020
84,T83,T83,Jonathan Kaye,77,-89,4.65,1270
85,T86,T86,Carlos Franco,78,-88,4.67,1320
86,T86,T86,Phillip Price,77,-88,4.66,1295
87,T88,T88,Paul Claxton,79,-87,4.67,1315
88,T88,T88,Bob Estes,92,-87,4.69,1425
89,T88,T88,Jerry Kelly,101,-87,4.73,1620
90,T88,T88,Duffy Waldorf,86,-87,4.69,1395
91,T92,T92,Craig Barlow,81,-86,4.68,1340
92,T92,T92,Cameron Beckman,96,-86,4.72,1550
93,T94,T94,Chad Campbell,95,-85,4.7,1395
94,T94,T94,Brian Gay,101,-85,4.74,1645
95,T94,T94,Retief Goosen,71,-85,4.55,940
96,T94,T94,Ryuji Imada,78,-85,4.67,1305
97,T94,T94,Scott McCarron,78,-85,4.67,1270
98,T99,T99,Olin Browne,99,-84,4.73,1580
99,T99,T99,Adam Scott,72,-84,4.6,1050
100,101,101,Rod Pampling,89,-83,4.68,1305
101,T102,T102,Jeff Brehaut,71,-82,4.64,1145
102,T102,T102,Fred Couples,72,-82,4.63,1120
103,T102,T102,Todd Hamilton,94,-82,4.73,1540
104,T102,T102,Michael Long,72,-82,4.64,1150
105,T106,T106,Arjun Atwal,65,-81,4.62,1065
106,T106,T106,Hunter Haas,83,-81,4.7,1350
107,T108,T108,Lee Janzen,75,-80,4.68,1245
108,T108,T108,Andrew Magee,82,-80,4.7,1330
109,T108,T108,Shaun Micheel,81,-80,4.7,1340
110,T108,T108,Jesper Parnevik,84,-80,4.71,1370
111,112,112,Ben Crane,78,-79,4.62,1050
112,T113,T113,Chris DiMarco,83,-78,4.67,1190
113,T113,T113,Peter Lonard,85,-78,4.71,1340
114,T115,T115,D.J. Brigman,76,-77,4.67,1160
115,T115,T115,Will MacKenzie,75,-77,4.69,1240
116,T115,T115,Brett Wetterich,76,-77,4.69,1240
117,T118,T118,K.J. Choi,78,-76,4.66,1115
118,T118,T118,Steve Flesch,90,-76,4.73,1390
