,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Tiger Woods,76,68.71,3298,48
1,2,2,Ben Crane,78,68.96,1931,28
2,3,3,Vijay Singh,111,69.61,4455,64
3,4,4,Bart Bryant,91,69.64,2298,33
4,5,5,Omar Uresti,84,69.74,1325,19
5,6,6,David Toms,87,69.84,2584,37
6,7,7,Aaron Baddeley,84,69.91,1608,23
7,8,8,David Hearn,68,70.0,1190,17
8,9,9,Jim Furyk,94,70.05,3082,44
9,10,10,Arjun Atwal,65,70.13,1613,23
10,T11,T11,Kenny Perry,82,70.14,3016,43
11,T11,T11,Mark Wilson,74,70.14,1473,21
12,T13,T13,Bob Tway,87,70.25,1967,28
13,T13,T13,Charles Warren,89,70.25,1405,20
14,T15,T15,Sergio Garcia,73,70.3,2601,37
15,T15,T15,Paul Gow,78,70.3,1406,20
16,T15,T15,Jeff Maggert,79,70.3,1406,20
17,T15,T15,Sean O'Hair,103,70.3,2601,37
18,19,19,Mark Brooks,72,70.31,914,13
19,T20,T20,Lucas Glover,88,70.32,1969,28
20,T20,T20,J.J. Henry,102,70.32,2180,31
21,22,22,Retief Goosen,71,70.35,1829,26
22,23,23,José María Olazábal,55,70.38,1478,21
23,24,24,Jeff Brehaut,71,70.39,1619,23
24,25,25,Geoff Ogilvy,97,70.43,2606,37
25,26,26,James Driscoll,73,70.44,1127,16
26,27,27,Jason Bohn,91,70.45,2184,31
27,28,28,Loren Roberts,54,70.47,1198,17
28,T29,T29,Arron Oberholser,65,70.5,1410,20
29,T29,T29,Joe Ogilvie,103,70.5,2256,32
30,T29,T29,Brenden Pappas,51,70.5,1269,18
31,T32,T32,Joe Durant,81,70.52,1763,25
32,T32,T32,Darron Stiles,78,70.52,1763,25
33,34,34,Brandt Jobe,96,70.53,2257,32
34,T35,T35,Marco Dawson,82,70.54,1693,24
35,T35,T35,Harrison Frazar,105,70.54,2610,37
36,T37,T37,Matt Gogel,78,70.58,1341,19
37,T37,T37,Heath Slocum,103,70.58,2188,31
38,39,39,Padraig Harrington,50,70.59,1200,17
39,40,40,Rod Pampling,89,70.6,2118,30
40,41,41,Justin Leonard,78,70.61,2189,31
41,42,42,Jonathan Kaye,77,70.62,1483,21
42,43,43,Phil Mickelson,81,70.65,2402,34
43,T44,T44,Daniel Chopra,108,70.69,1838,26
44,T44,T44,D.J. Trahan,81,70.69,1838,26
45,46,46,Doug Barron,70,70.7,1626,23
46,47,47,Ted Purdy,122,70.73,2617,37
47,48,48,Roland Thatcher,75,70.74,1627,23
48,49,49,Fred Couples,72,70.75,1698,24
49,T50,T50,K.J. Choi,78,70.78,2265,32
50,T50,T50,Scott Verplank,87,70.78,2619,37
51,T52,T52,Chad Campbell,95,70.79,2336,33
52,T52,T52,Vaughn Taylor,99,70.79,2053,29
53,T54,T54,Chris DiMarco,83,70.81,1912,27
54,T54,T54,Steve Elkington,67,70.81,1487,21
55,T54,T54,Steve Stricker,62,70.81,1487,21
56,57,57,Tim Petrovic,97,70.82,1558,22
57,T58,T58,Steve Allan,102,70.83,2125,30
58,T58,T58,J.P. Hayes,63,70.83,1275,18
59,T58,T58,Tag Ridings,93,70.83,2125,30
60,T58,T58,Joey Sindelar,104,70.83,2125,30
61,62,62,John Senden,101,70.85,1913,27
62,T63,T63,Robert Gamez,91,70.86,1559,22
63,T63,T63,Jerry Kelly,101,70.86,2551,36
64,T63,T63,Brett Wetterich,76,70.86,2055,29
65,66,66,Shigeki Maruyama,99,70.87,2764,39
66,67,67,Glen Day,80,70.89,1347,19
67,68,68,Hunter Mahan,103,70.9,2056,29
68,T69,T69,Todd Fischer,99,70.91,2340,33
69,T69,T69,Ryuji Imada,78,70.91,1631,23
70,T69,T69,Justin Rose,99,70.91,2482,35
71,72,72,Brad Faxon,75,70.93,1915,27
72,73,73,Tim Clark,92,70.94,2483,35
73,74,74,Bo Van Pelt,112,70.95,2696,38
74,75,75,J.L. Lewis,98,70.96,1703,24
75,T76,T76,Zach Johnson,96,70.97,2626,37
76,T76,T76,Ryan Palmer,101,70.97,2271,32
77,T78,T78,Bernhard Langer,67,71.0,1704,24
78,T78,T78,Davis Love III,80,71.0,2414,34
79,T80,T80,Tim Herron,100,71.03,2770,39
80,T80,T80,John Rollins,97,71.03,2344,33
81,82,82,Billy Mayfair,114,71.05,2629,37
82,T83,T83,Stewart Cink,98,71.09,2346,33
83,T83,T83,Corey Pavin,77,71.09,1564,22
84,T83,T83,Mario Tiziani,67,71.09,782,11
85,86,86,Robert Allenby,95,71.1,2062,29
86,87,87,Phillip Price,77,71.11,1280,18
87,88,88,Michael Allen,90,71.12,1849,26
88,T89,T89,Scott Hend,75,71.13,1707,24
89,T89,T89,Pat Perez,89,71.13,2276,32
90,T91,T91,Olin Browne,99,71.14,2063,29
91,T91,T91,Dean Wilson,86,71.14,2490,35
92,93,93,Fred Funk,102,71.15,2419,34
93,T94,T94,Tom Byrum,83,71.17,1637,23
94,T94,T94,Neal Lancaster,95,71.17,2064,29
95,T94,T94,Rocco Mediate,73,71.17,1708,24
96,T94,T94,Larry Mize,54,71.17,854,12
97,T98,T98,Dan Forsman,52,71.18,783,11
98,T98,T98,Carlos Franco,78,71.18,1566,22
99,T100,T100,Chris Anderson,66,71.19,1139,16
100,T100,T100,D.A. Points,94,71.19,1495,21
101,T102,T102,Mathias Grönberg,60,71.21,1353,19
102,T102,T102,Stephen Leaney,89,71.21,2350,33
103,T102,T102,Nick Watney,91,71.21,1709,24
104,T105,T105,Craig Barlow,81,71.23,1852,26
105,T105,T105,Brent Geiberger,61,71.23,926,13
106,T105,T105,Kevin Stadler,96,71.23,1852,26
107,108,108,Kent Jones,99,71.24,1496,21
108,109,109,Tom Pernice Jr.,111,71.26,2494,35
109,110,110,Bob Heintz,67,71.27,1069,15
110,111,111,Peter Lonard,85,71.3,1925,27
111,T112,T112,Cameron Beckman,96,71.32,1355,19
112,T112,T112,Scott Gutschewski,86,71.32,1783,25
113,114,114,Shaun Micheel,81,71.33,2140,30
114,T115,T115,John Cook,72,71.35,1641,23
115,T115,T115,Will MacKenzie,75,71.35,1427,20
116,T117,T117,Bob Estes,92,71.36,1570,22
117,T117,T117,Charles Howell III,95,71.36,2355,33
118,119,119,Todd Hamilton,94,71.38,2284,32
119,T120,T120,Mark Calcavecchia,92,71.42,1714,24
120,T120,T120,Greg Owen,84,71.42,1857,26
121,T120,T120,Carl Pettersson,109,71.42,2357,33
122,T120,T120,Hidemichi Tanaka,106,71.42,1857,26
123,124,124,Joey Snyder III,102,71.45,2072,29
124,125,125,Luke Donald,67,71.46,2001,28
125,T126,T126,Stephen Ames,82,71.5,1859,26
126,T126,T126,Dudley Hart,84,71.5,2574,36
127,T126,T126,Lee Janzen,75,71.5,1430,20
128,T126,T126,Scott McCarron,78,71.5,1716,24
129,T126,T126,Kirk Triplett,55,71.5,1573,22
130,131,131,Mark Hensby,70,71.52,1645,23
131,T132,T132,Billy Andrade,83,71.53,2289,32
132,T132,T132,Chris Smith,93,71.53,2289,32
133,T134,T134,Richard Johnson,50,71.55,1431,20
134,T134,T134,Brendan Jones,81,71.55,1431,20
135,136,136,Jesper Parnevik,84,71.57,1646,23
136,137,137,Adam Scott,72,71.59,2291,32
137,T138,T138,John Huston,90,71.6,1790,25
138,T138,T138,Steve Lowery,100,71.6,1790,25
139,140,140,Stuart Appleby,84,71.61,2578,36
140,141,141,Brett Quigley,96,71.66,2293,32
141,T142,T142,Bradley Hughes,52,71.67,645,9
142,T142,T142,Michael Long,72,71.67,1290,18
143,T144,T144,Brian Bateman,98,71.68,1577,22
144,T144,T144,Matt Kuchar,60,71.68,1577,22
145,T144,T144,Jeff Sluman,94,71.68,2222,31
146,147,147,Rory Sabbatini,81,71.7,2151,30
147,T148,T148,Woody Austin,100,71.71,2008,28
148,T148,T148,Jonathan Byrd,103,71.71,1721,24
149,T148,T148,Jim Carter,62,71.71,1004,14
150,T148,T148,Duffy Waldorf,86,71.71,1506,21
151,152,152,Jay Williamson,53,71.73,1076,15
152,153,153,Tommy Armour III,103,71.76,1794,25
153,154,154,Steve Flesch,90,71.81,1867,26
154,155,155,Freddie Jacobson,72,71.83,2155,30
155,156,156,Brian Davis,75,71.86,1509,21
156,T157,T157,D.J. Brigman,76,71.89,1294,18
157,T157,T157,Tom Gillis,77,71.89,1366,19
158,T157,T157,Skip Kendall,80,71.89,1366,19
159,160,160,Hideto Tanihara,50,71.91,791,11
160,161,161,Kevin Sutherland,89,71.92,1798,25
161,T162,T162,Alex Cejka,84,71.96,1727,24
162,T162,T162,Frank Lickliter II,100,71.96,1943,27
163,164,164,Kevin Na,88,71.97,2519,35
164,T165,T165,José Coceres,56,72.0,936,13
165,T165,T165,Charlie Wi,67,72.0,1440,20
166,167,167,Briny Baird,98,72.03,2377,33
167,168,168,John Daly,78,72.04,1873,26
168,T169,T169,Brian Gay,101,72.06,2234,31
169,T169,T169,Mark O'Meara,66,72.06,1297,18
170,T169,T169,Dennis Paulson,63,72.06,1153,16
171,172,172,Jeff Hart,63,72.08,937,13
172,173,173,Robert Damron,89,72.09,1658,23
173,174,174,Jay Haas,54,72.13,1154,16
174,175,175,Glen Hnatiuk,59,72.17,866,12
175,176,176,Hunter Haas,83,72.19,1949,27
176,T177,T177,Tom Lehman,69,72.2,1083,15
177,T177,T177,Tjaart van der Walt,56,72.2,722,10
178,179,179,Paul Claxton,79,72.24,1517,21
179,180,180,Matt Davidson,53,72.25,578,8
180,181,181,Franklin Langham,91,72.26,1662,23
181,T182,T182,Hank Kuehne,84,72.29,1518,21
182,T182,T182,Ian Poulter,62,72.29,1229,17
183,T182,T182,Chris Riley,67,72.29,1229,17
184,185,185,Danny Briggs,70,72.33,1736,24
185,T186,T186,Rich Beem,66,72.44,1304,18
186,T186,T186,Mike Weir,71,72.44,1159,16
187,188,188,Gavin Coles,70,72.47,1232,17
188,189,189,Craig Perks,67,72.5,1015,14
189,190,190,Ben Curtis,65,72.52,1668,23
190,T191,T191,Paul Azinger,66,72.62,1525,21
191,T191,T191,Patrick Sheehan,114,72.62,2106,29
192,193,193,John Elliott,58,72.67,872,12
193,194,194,Lee Westwood,50,72.78,1310,18
194,195,195,Rob Rashell,65,72.8,1092,15
195,196,196,Bill Glasson,54,72.82,801,11
196,197,197,Andrew Magee,82,72.85,1457,20
197,198,198,Jason Allred,75,72.89,1312,18
198,199,199,Justin Bolli,65,73.07,1096,15
199,200,200,Thomas Levet,54,73.17,1317,18
200,201,201,Steve Jones,56,73.29,1026,14
201,202,202,Len Mattiace,86,73.81,1550,21
