,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,1,1,Vijay Singh,30,56
1,2,2,Jim Furyk,26,44
2,T3,T3,Harrison Frazar,31,43
3,T3,T3,Heath Slocum,29,43
4,5,5,Billy Mayfair,31,42
5,6,6,Carl Pettersson,34,41
6,7,7,Tiger Woods,21,40
7,T8,T8,Justin Rose,28,39
8,T8,T8,John Senden,29,39
9,T10,T10,Bart Bryant,26,38
10,T10,T10,Shigeki Maruyama,29,38
11,T10,T10,David Toms,25,38
12,T13,T13,Tim Herron,28,37
13,T13,T13,Steve Lowery,32,37
14,T13,T13,Hidemichi Tanaka,34,37
15,T13,T13,Bo Van Pelt,33,37
16,T13,T13,Scott Verplank,25,37
17,T18,T18,J.J. Henry,32,36
18,T18,T18,Phil Mickelson,21,36
19,T18,T18,Sean O'Hair,29,36
20,T18,T18,Ted Purdy,34,36
21,T22,T22,Jason Bohn,28,35
22,T22,T22,Ben Crane,21,35
23,T22,T22,Bob Estes,25,35
24,T22,T22,Geoff Ogilvy,26,35
25,T22,T22,Kenny Perry,23,35
26,T22,T22,John Rollins,30,35
27,T28,T28,Daniel Chopra,34,34
28,T28,T28,Dudley Hart,29,34
29,T28,T28,Tom Pernice Jr.,32,34
30,T28,T28,Tag Ridings,31,34
31,T32,T32,Olin Browne,29,33
32,T32,T32,Tim Clark,26,33
33,T32,T32,Joe Ogilvie,30,33
34,T32,T32,Brett Quigley,31,33
35,T32,T32,Jeff Sluman,28,33
36,T32,T32,Kevin Sutherland,26,33
37,T38,T38,Woody Austin,30,32
38,T38,T38,Briny Baird,33,32
39,T38,T38,Fred Funk,30,32
40,T38,T38,Brandt Jobe,27,32
41,T38,T38,Zach Johnson,30,32
42,T38,T38,Jerry Kelly,31,32
43,T38,T38,Joey Sindelar,29,32
44,T38,T38,Joey Snyder III,31,32
45,T46,T46,Robert Allenby,31,31
46,T46,T46,Tommy Armour III,29,31
47,T46,T46,Mark Calcavecchia,27,31
48,T46,T46,Stephen Leaney,29,31
49,T46,T46,Davis Love III,24,31
50,T46,T46,Jesper Parnevik,24,31
51,T46,T46,Patrick Sheehan,35,31
52,T46,T46,Chris Smith,32,31
53,T54,T54,Stuart Appleby,25,30
54,T54,T54,Chad Campbell,27,30
55,T54,T54,Stewart Cink,26,30
56,T54,T54,Todd Fischer,35,30
57,T54,T54,Brian Gay,33,30
58,T54,T54,Charles Howell III,29,30
59,T54,T54,Kevin Stadler,33,30
60,T54,T54,Bob Tway,26,30
61,T54,T54,Dean Wilson,27,30
62,T63,T63,Jonathan Byrd,31,29
63,T63,T63,Robert Damron,28,29
64,T63,T63,Luke Donald,18,29
65,T63,T63,J.L. Lewis,30,29
66,T63,T63,Hunter Mahan,34,29
67,T63,T63,Ryan Palmer,32,29
68,T63,T63,Phillip Price,25,29
69,T63,T63,Vaughn Taylor,32,29
70,T63,T63,D.J. Trahan,28,29
71,T72,T72,Billy Andrade,26,28
72,T72,T72,Aaron Baddeley,27,28
73,T72,T72,Marco Dawson,23,28
74,T72,T72,John Huston,31,28
75,T72,T72,Neal Lancaster,31,28
76,T72,T72,Kevin Na,32,28
77,T72,T72,Arron Oberholser,21,28
78,T72,T72,Rod Pampling,26,28
79,T72,T72,Adam Scott,19,28
80,T72,T72,Brett Wetterich,28,28
81,T82,T82,Steve Allan,32,27
82,T82,T82,Chris DiMarco,24,27
83,T82,T82,Robert Gamez,28,27
84,T82,T82,Sergio Garcia,20,27
85,T82,T82,Ryuji Imada,25,27
86,T82,T82,Rocco Mediate,24,27
87,T82,T82,Tim Petrovic,32,27
88,T82,T82,Darron Stiles,26,27
89,T82,T82,Mark Wilson,25,27
90,T91,T91,Arjun Atwal,17,26
91,T91,T91,Brian Bateman,32,26
92,T91,T91,Joe Durant,25,26
93,T91,T91,Kent Jones,32,26
94,T91,T91,Pat Perez,28,26
95,T91,T91,Rory Sabbatini,26,26
96,T91,T91,Duffy Waldorf,28,26
97,T91,T91,Charles Warren,31,26
98,T99,T99,Craig Barlow,26,25
99,T99,T99,Cameron Beckman,31,25
100,T99,T99,Lucas Glover,28,25
101,T99,T99,J.P. Hayes,22,25
102,T99,T99,Richard Johnson,16,25
103,T99,T99,Justin Leonard,24,25
104,T99,T99,Corey Pavin,23,25
105,T99,T99,Nick Watney,31,25
106,T107,T107,Stephen Ames,24,24
107,T107,T107,Jeff Brehaut,23,24
108,T107,T107,Brian Davis,23,24
109,T107,T107,Steve Elkington,20,24
110,T107,T107,Retief Goosen,18,24
111,T107,T107,Scott Gutschewski,27,24
112,T107,T107,Jonathan Kaye,24,24
113,T107,T107,Peter Lonard,27,24
114,T107,T107,Jeff Maggert,25,24
115,T107,T107,Loren Roberts,18,24
116,T107,T107,Omar Uresti,27,24
117,T118,T118,K.J. Choi,24,23
118,T118,T118,John Daly,25,23
119,T118,T118,Carlos Franco,25,23
120,T118,T118,Hunter Haas,28,23
121,T118,T118,José María Olazábal,16,23
122,T118,T118,D.A. Points,33,23
123,T118,T118,Steve Stricker,21,23
124,T125,T125,Fred Couples,22,22
125,T125,T125,Glen Day,27,22
126,T125,T125,Brad Faxon,23,22
127,T125,T125,Mathias Grönberg,19,22
128,T125,T125,Bernhard Langer,19,22
129,T125,T125,Tom Lehman,20,22
130,T125,T125,Frank Lickliter II,33,22
131,T125,T125,Scott McCarron,24,22
132,T125,T125,Shaun Micheel,29,22
133,T125,T125,Greg Owen,24,22
134,T135,T135,Bob Heintz,24,21
135,T135,T135,Brendan Jones,28,21
136,T137,T137,Michael Allen,30,20
137,T137,T137,Doug Barron,24,20
138,T137,T137,Tom Byrum,27,20
139,T137,T137,Paul Claxton,29,20
140,T137,T137,Steve Flesch,30,20
141,T137,T137,Dan Forsman,17,20
142,T137,T137,Tom Gillis,28,20
143,T137,T137,Freddie Jacobson,23,20
144,T137,T137,Lee Janzen,26,20
145,T137,T137,Franklin Langham,31,20
146,T137,T137,Will MacKenzie,25,20
147,T137,T137,Andrew Magee,29,20
148,T137,T137,Roland Thatcher,26,20
149,T150,T150,James Driscoll,26,19
150,T150,T150,Paul Gow,27,19
151,T150,T150,Todd Hamilton,31,19
152,T150,T150,Hank Kuehne,30,19
153,T154,T154,Mark Brooks,28,18
154,T154,T154,Alex Cejka,31,18
155,T154,T154,Gavin Coles,22,18
156,T154,T154,John Cook,26,18
157,T154,T154,Matt Gogel,28,18
158,T154,T154,David Hearn,24,18
159,T154,T154,Mario Tiziani,23,18
160,T161,T161,Chris Anderson,25,17
161,T161,T161,Ben Curtis,24,17
162,T161,T161,Paul Goydos,15,17
163,T161,T161,Jeff Hart,23,17
164,T161,T161,Scott Hend,28,17
165,T161,T161,"Wes Short, Jr.",16,17
166,T161,T161,Kirk Triplett,18,17
167,T161,T161,Tjaart van der Walt,19,17
168,T169,T169,Justin Bolli,24,16
169,T169,T169,Brent Geiberger,21,16
170,T169,T169,Padraig Harrington,15,16
171,T169,T169,Mark Hensby,21,16
172,T169,T169,Brenden Pappas,15,16
173,T169,T169,Chris Riley,25,16
174,T175,T175,Paul Azinger,22,15
175,T175,T175,Rich Beem,26,15
176,T175,T175,Ernie Els,11,15
177,T175,T175,Matt Kuchar,21,15
178,T175,T175,Michael Long,26,15
179,T175,T175,Ryan Moore,14,15
180,T175,T175,Nick Price,16,15
181,T175,T175,Lee Westwood,15,15
182,T183,T183,Jim Carter,25,14
183,T183,T183,Mark O'Meara,21,14
184,T183,T183,Dennis Paulson,24,14
185,T186,T186,Jason Allred,29,13
186,T186,T186,Danny Briggs,29,13
187,T186,T186,D.J. Brigman,26,13
188,T186,T186,Darren Clarke,12,13
189,T186,T186,José Coceres,22,13
190,T186,T186,Jay Delsing,11,13
191,T186,T186,Glen Hnatiuk,21,13
192,T186,T186,Steve Jones,20,13
193,T186,T186,Len Mattiace,34,13
194,T186,T186,Mike Weir,23,13
195,T186,T186,Jay Williamson,16,13
196,T197,T197,Craig Bowden,15,12
197,T197,T197,Bill Glasson,21,12
198,T197,T197,Jay Haas,16,12
199,T197,T197,Bradley Hughes,20,12
200,T197,T197,Skip Kendall,32,12
201,T197,T197,Charlie Wi,23,12
202,T203,T203,Graeme McDowell,14,11
203,T203,T203,Larry Mize,18,11
204,T203,T203,Craig Parry,15,11
205,T203,T203,Ian Poulter,20,11
206,T203,T203,Rob Rashell,25,11
207,T208,T208,Matt Davidson,20,10
208,T208,T208,Jason Gore,8,10
209,T208,T208,Carl Paulson,13,10
210,T208,T208,Hideto Tanihara,20,10
211,T212,T212,John Elliott,25,9
212,T212,T212,Trevor Immelman,14,9
213,T212,T212,Spike McRoy,12,9
214,T212,T212,David Peoples,12,9
215,T216,T216,Ángel Cabrera,11,8
216,T216,T216,Michael Campbell,5,8
217,T216,T216,Richard Green,11,8
218,T216,T216,David Howell,12,8
219,T216,T216,Thomas Levet,20,8
