,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Steve Stricker,62,32.23,78,242
1,2,2,Tiger Woods,76,29.91,70,234
2,3,3,Jeff Maggert,79,28.22,68,241
3,4,4,Doug Barron,70,27.85,83,298
4,T5,T5,Fred Couples,72,27.83,59,212
5,T5,T5,Larry Mize,54,27.83,59,212
6,7,7,Richard Johnson,50,27.64,55,199
7,8,8,Luke Donald,67,27.39,43,157
8,9,9,Jeff Brehaut,71,27.34,73,267
9,10,10,Bart Bryant,91,27.21,83,305
10,11,11,J.P. Hayes,63,27.2,68,250
11,12,12,Chris Anderson,66,27.08,75,277
12,13,13,Dan Forsman,52,27.06,59,218
13,14,14,Scott Verplank,87,26.83,66,246
14,15,15,Glen Hnatiuk,59,26.79,60,224
15,16,16,Stephen Leaney,89,26.73,81,303
16,17,17,Brad Faxon,75,26.67,56,210
17,18,18,Zach Johnson,96,26.6,104,391
18,19,19,Arjun Atwal,65,26.56,68,256
19,20,20,Tim Herron,100,26.51,88,332
20,21,21,Olin Browne,99,26.44,101,382
21,22,22,Chris DiMarco,83,26.42,70,265
22,23,23,Justin Leonard,78,26.41,61,231
23,24,24,Bob Estes,92,26.32,80,304
24,25,25,Gavin Coles,70,26.16,79,302
25,26,26,Bob Heintz,67,26.1,83,318
26,27,27,Omar Uresti,84,25.9,86,332
27,28,28,Vaughn Taylor,99,25.78,108,419
28,29,29,Brian Davis,75,25.72,71,276
29,30,30,Ryuji Imada,78,25.67,67,261
30,31,31,Will MacKenzie,75,25.63,81,316
31,32,32,Freddie Jacobson,72,25.6,64,250
32,33,33,Brett Quigley,96,25.42,91,358
33,34,34,Chad Campbell,95,25.39,81,319
34,35,35,Charlie Wi,67,25.38,67,264
35,36,36,John Huston,90,25.37,86,339
36,37,37,Corey Pavin,77,25.34,56,221
37,38,38,Jonathan Kaye,77,25.33,76,300
38,39,39,Phil Mickelson,81,25.23,54,214
39,40,40,José María Olazábal,55,25.15,43,171
40,41,41,Mark Wilson,74,25.09,68,271
41,42,42,Mark Calcavecchia,92,25.08,80,319
42,43,43,Vijay Singh,111,25.0,102,408
43,44,44,Patrick Sheehan,114,24.94,101,405
44,45,45,Mark O'Meara,66,24.9,61,245
45,46,46,Padraig Harrington,50,24.86,44,177
46,47,47,Stewart Cink,98,24.74,72,291
47,48,48,Billy Mayfair,114,24.72,87,352
48,49,49,Stuart Appleby,84,24.59,75,305
49,50,50,Andrew Magee,82,24.53,79,322
50,51,51,Hank Kuehne,84,24.5,85,347
51,52,52,Geoff Ogilvy,97,24.49,84,343
52,53,53,Heath Slocum,103,24.39,100,410
53,54,54,Fred Funk,102,24.38,89,365
54,55,55,Charles Howell III,95,24.34,74,304
55,56,56,Marco Dawson,82,24.2,91,376
56,57,57,Darron Stiles,78,24.17,80,331
57,58,58,Joe Ogilvie,103,24.07,91,378
58,59,59,Dean Wilson,86,24.03,74,308
59,60,60,Joe Durant,81,24.0,66,275
60,61,61,Billy Andrade,83,23.91,71,297
61,62,62,Steve Elkington,67,23.79,54,227
62,63,63,Tim Clark,92,23.75,71,299
63,64,64,Todd Fischer,99,23.71,92,388
64,65,65,Woody Austin,100,23.65,92,389
65,66,66,Jim Furyk,94,23.57,66,280
66,67,67,John Rollins,97,23.56,86,365
67,68,68,Hunter Mahan,103,23.46,99,422
68,69,69,Lee Janzen,75,23.44,60,256
69,70,70,Brenden Pappas,51,23.31,55,236
70,71,71,Rocco Mediate,73,23.29,68,292
71,72,72,Rob Rashell,65,23.26,50,215
72,73,73,Frank Lickliter II,100,23.24,86,370
73,74,74,Tom Byrum,83,23.23,72,310
74,75,75,Harrison Frazar,105,23.19,96,414
75,T76,T76,Ryan Palmer,101,23.18,83,358
76,T76,T76,Carl Pettersson,109,23.18,89,384
77,78,78,Rod Pampling,89,23.1,79,342
78,T79,T79,Jason Bohn,91,23.08,78,338
79,T79,T79,Alex Cejka,84,23.08,63,273
80,81,81,Len Mattiace,86,23.05,80,347
81,82,82,Jeff Sluman,94,23.03,82,356
82,83,83,Kenny Perry,82,23.02,61,265
83,T84,T84,Kent Jones,99,22.99,86,374
84,T84,T84,Shigeki Maruyama,99,22.99,86,374
85,86,86,Neal Lancaster,95,22.98,91,396
86,87,87,David Toms,87,22.97,65,283
87,88,88,Phillip Price,77,22.92,66,288
88,89,89,Brian Gay,101,22.91,96,419
89,T90,T90,Ben Crane,78,22.82,55,241
90,T90,T90,Jay Haas,54,22.82,34,149
91,T90,T90,Pat Perez,89,22.82,68,298
92,93,93,John Cook,72,22.75,53,233
93,94,94,John Senden,101,22.73,85,374
94,T95,T95,K.J. Choi,78,22.59,54,239
95,T95,T95,Brett Wetterich,76,22.59,75,332
96,97,97,Skip Kendall,80,22.47,71,316
97,98,98,Chris Smith,93,22.42,87,388
98,99,99,Hunter Haas,83,22.41,67,299
99,100,100,Jonathan Byrd,103,22.36,89,398
100,101,101,Tom Lehman,69,22.34,42,188
