,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,Dan Forsman,52,30.3
1,2,2,Sergio Garcia,73,28.0
2,3,3,Vijay Singh,111,27.83
3,4,4,Fred Couples,72,26.83
4,5,5,Geoff Ogilvy,97,26.38
5,6,6,Woody Austin,100,25.08
6,7,7,D.J. Trahan,81,25.0
7,8,8,Bob Heintz,67,24.88
8,9,9,John Cook,72,24.78
9,10,10,Chris Smith,93,24.74
10,11,11,Jonathan Kaye,77,24.66
11,12,12,David Toms,87,24.51
12,13,13,Tim Clark,92,24.5
13,14,14,John Senden,101,24.49
14,15,15,Hunter Haas,83,24.46
15,16,16,Brad Faxon,75,24.41
16,17,17,Tiger Woods,76,24.4
17,18,18,Davis Love III,80,24.26
18,19,19,Brenden Pappas,51,24.07
19,20,20,Corey Pavin,77,23.98
20,21,21,Ben Crane,78,23.92
21,22,22,Scott Verplank,87,23.91
22,23,23,Alex Cejka,84,23.72
23,24,24,Heath Slocum,103,23.58
24,25,25,Adam Scott,72,23.35
25,26,26,John Huston,90,23.28
26,27,27,Kent Jones,99,23.26
27,T28,T28,Cameron Beckman,96,23.13
28,T28,T28,Tag Ridings,93,23.13
29,30,30,Ryan Palmer,101,23.02
30,31,31,Darron Stiles,78,22.93
31,32,32,Scott Hend,75,22.88
32,33,33,Tim Herron,100,22.81
33,34,34,Joe Ogilvie,103,22.73
34,35,35,Patrick Sheehan,114,22.69
35,36,36,Brian Davis,75,22.67
36,37,37,Ian Poulter,62,22.63
37,38,38,Robert Allenby,95,22.61
38,39,39,Hunter Mahan,103,22.51
39,40,40,Justin Bolli,65,22.44
40,41,41,Briny Baird,98,22.35
41,42,42,Padraig Harrington,50,22.09
42,43,43,Chris Anderson,66,22.06
43,44,44,Joey Snyder III,102,21.95
44,45,45,Lucas Glover,88,21.85
45,46,46,Frank Lickliter II,100,21.84
46,47,47,Jeff Brehaut,71,21.82
47,48,48,Vaughn Taylor,99,21.68
48,49,49,Charles Howell III,95,21.54
49,50,50,K.J. Choi,78,21.33
50,51,51,Retief Goosen,71,21.3
51,52,52,Phil Mickelson,81,21.28
52,T53,T53,Harrison Frazar,105,21.25
53,T53,T53,Glen Hnatiuk,59,21.25
54,55,55,Jim Furyk,94,21.18
55,56,56,Lee Janzen,75,21.15
56,57,57,Tom Gillis,77,21.12
57,58,58,Ted Purdy,122,21.11
58,59,59,David Hearn,68,21.03
59,60,60,Bo Van Pelt,112,20.89
60,61,61,Freddie Jacobson,72,20.83
61,62,62,Carl Pettersson,109,20.74
62,63,63,Nick Watney,91,20.73
63,T64,T64,Todd Fischer,99,20.69
64,T64,T64,Steve Stricker,62,20.69
65,66,66,Loren Roberts,54,20.61
66,67,67,Brian Bateman,98,20.54
67,68,68,Jeff Maggert,79,20.44
68,69,69,D.A. Points,94,20.3
69,T70,T70,Bart Bryant,91,20.25
70,T70,T70,Jesper Parnevik,84,20.25
71,72,72,Aaron Baddeley,84,20.24
72,T73,T73,Shigeki Maruyama,99,20.23
73,T73,T73,Mario Tiziani,67,20.23
74,75,75,Bernhard Langer,67,20.2
75,76,76,Paul Azinger,66,20.18
76,77,77,J.P. Hayes,63,20.11
77,78,78,Matt Davidson,53,20.1
78,79,79,Michael Long,72,20.09
79,T80,T80,Steve Flesch,90,20.07
