,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,69.22,1246,18
1,2,2,Omar Uresti,69.38,1110,16
2,T3,T3,Rich Beem,69.43,486,7
3,T3,T3,Glen Hnatiuk,69.43,486,7
4,5,5,Charles Warren,69.47,1042,15
5,6,6,Ben Crane,69.76,1186,17
6,7,7,Dan Forsman,69.78,628,9
7,8,8,Vijay Singh,69.84,1746,25
8,9,9,Jeff Brehaut,69.92,839,12
9,10,10,Bart Bryant,69.95,1329,19
10,11,11,Brenden Pappas,70.0,700,10
11,12,12,Jim Furyk,70.05,1541,22
12,13,13,D.A. Points,70.07,981,14
13,14,14,Bob Estes,70.09,1542,22
14,15,15,John Cook,70.1,701,10
15,16,16,David Toms,70.12,1192,17
16,T17,T17,Robert Allenby,70.13,1122,16
17,T17,T17,Lucas Glover,70.13,1122,16
18,19,19,J.J. Henry,70.15,1403,20
19,20,20,John Elliott,70.17,421,6
20,21,21,Shigeki Maruyama,70.23,1545,22
21,T22,T22,Doug Barron,70.27,773,11
22,T22,T22,Heath Slocum,70.27,1546,22
23,24,24,Loren Roberts,70.3,703,10
24,25,25,Tag Ridings,70.31,1125,16
25,26,26,Tim Herron,70.32,1547,22
26,27,27,Tjaart van der Walt,70.33,633,9
27,28,28,Billy Mayfair,70.35,1829,26
28,T29,T29,Glen Day,70.38,915,13
29,T29,T29,Rocco Mediate,70.38,1126,16
30,T31,T31,Michael Allen,70.4,1056,15
31,T31,T31,Davis Love III,70.4,1056,15
32,33,33,Fred Couples,70.43,986,14
33,34,34,Richard Johnson,70.44,634,9
34,35,35,Vaughn Taylor,70.45,1409,20
35,36,36,Chad Campbell,70.48,1480,21
36,37,37,Olin Browne,70.53,1340,19
37,T38,T38,Justin Bolli,70.6,706,10
38,T38,T38,Kevin Na,70.6,1059,15
39,40,40,Neal Lancaster,70.61,1271,18
40,41,41,Brad Faxon,70.62,918,13
41,T42,T42,Kevin Stadler,70.71,990,14
42,T42,T42,Bob Tway,70.71,1202,17
43,44,44,Hidemichi Tanaka,70.74,1344,19
44,45,45,Tim Petrovic,70.75,1132,16
45,46,46,Bob Heintz,70.78,637,9
46,47,47,Nick Watney,70.79,991,14
47,48,48,Brett Wetterich,70.8,708,10
48,49,49,Justin Rose,70.81,1487,21
49,T50,T50,Jason Bohn,70.83,1275,18
50,T50,T50,Kenny Perry,70.83,1275,18
51,T52,T52,Tom Lehman,70.86,992,14
52,T52,T52,Corey Pavin,70.86,992,14
53,54,54,Duffy Waldorf,70.87,1063,15
54,55,55,Aaron Baddeley,70.88,1134,16
55,56,56,Zach Johnson,70.9,1418,20
56,57,57,Joe Durant,70.94,1135,16
57,58,58,Harrison Frazar,70.95,1419,20
58,T59,T59,Stewart Cink,71.0,1491,21
59,T59,T59,Paul Claxton,71.0,781,11
60,T59,T59,Matt Davidson,71.0,426,6
61,T59,T59,Jonathan Kaye,71.0,1065,15
62,T59,T59,Matt Kuchar,71.0,639,9
63,64,64,Brandt Jobe,71.05,1492,21
64,65,65,Matt Gogel,71.09,782,11
65,66,66,Steve Stricker,71.1,711,10
66,T67,T67,Marco Dawson,71.11,1280,18
67,T67,T67,J.L. Lewis,71.11,1351,19
68,69,69,Steve Elkington,71.13,1067,15
69,70,70,Phil Mickelson,71.17,1281,18
70,T71,T71,Jay Williamson,71.18,783,11
71,T71,T71,Mark Wilson,71.18,783,11
72,73,73,Justin Leonard,71.19,1139,16
73,T74,T74,Charles Howell III,71.21,1353,19
74,T74,T74,John Huston,71.21,997,14
75,T74,T74,Arron Oberholser,71.21,997,14
76,T77,T77,Jeff Sluman,71.25,1425,20
77,T77,T77,Scott Verplank,71.25,1425,20
78,79,79,Luke Donald,71.27,1069,15
79,80,80,Briny Baird,71.28,1283,18
80,81,81,Steve Lowery,71.29,1212,17
81,T82,T82,Brent Geiberger,71.3,713,10
82,T82,T82,Padraig Harrington,71.3,713,10
83,T82,T82,Sean O'Hair,71.3,1640,23
84,85,85,Hunter Haas,71.31,927,13
85,T86,T86,Brian Davis,71.33,1070,15
86,T86,T86,Brian Gay,71.33,1284,18
87,T86,T86,Bradley Hughes,71.33,428,6
88,T89,T89,D.J. Brigman,71.36,785,11
89,T89,T89,James Driscoll,71.36,785,11
