,Back_9_Par_5_Scoring_Average_RANK THIS WEEK,Back_9_Par_5_Scoring_Average_RANK LAST WEEK,Back_9_Par_5_Scoring_Average_PLAYER NAME,Back_9_Par_5_Scoring_Average_ROUNDS,Back_9_Par_5_Scoring_Average_AVG,Back_9_Par_5_Scoring_Average_TOTAL STROKES,Back_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Retief Goosen,71,4.51,437,97
1,2,2,Tiger Woods,76,4.52,556,123
2,3,3,Sergio Garcia,73,4.53,467,103
3,T4,T4,Hunter Mahan,103,4.55,769,169
4,T4,T4,Tag Ridings,93,4.55,724,159
5,6,6,Charles Warren,89,4.56,698,153
6,T7,T7,Billy Andrade,83,4.57,658,144
7,T7,T7,Steve Stricker,62,4.57,466,102
8,9,9,Charles Howell III,95,4.58,700,153
9,T10,T10,Arjun Atwal,65,4.59,491,107
10,T10,T10,Tim Clark,92,4.59,620,135
11,T10,T10,Harrison Frazar,105,4.59,790,172
12,T10,T10,Jim Furyk,94,4.59,675,147
13,T10,T10,Frank Lickliter II,100,4.59,757,165
14,T10,T10,Vijay Singh,111,4.59,826,180
15,T16,T16,Briny Baird,98,4.6,736,160
16,T16,T16,James Driscoll,73,4.6,594,129
17,T16,T16,Mark Hensby,70,4.6,506,110
18,T16,T16,Phil Mickelson,81,4.6,566,123
19,T20,T20,Stuart Appleby,84,4.61,590,128
20,T20,T20,Fred Couples,72,4.61,526,114
21,T22,T22,Greg Owen,84,4.62,638,138
22,T22,T22,Ted Purdy,122,4.62,919,199
23,T22,T22,David Toms,87,4.62,591,128
24,T25,T25,Bart Bryant,91,4.63,658,142
25,T25,T25,K.J. Choi,78,4.63,551,119
26,T25,T25,Brett Quigley,96,4.63,741,160
27,T25,T25,Darron Stiles,78,4.63,606,131
28,T25,T25,Bo Van Pelt,112,4.63,898,194
29,T30,T30,Brian Bateman,98,4.64,757,163
30,T30,T30,Jonathan Byrd,103,4.64,766,165
31,T30,T30,J.J. Henry,102,4.64,807,174
32,T30,T30,Rocco Mediate,73,4.64,543,117
33,T30,T30,Scott Verplank,87,4.64,659,142
34,T35,T35,Woody Austin,100,4.65,791,170
35,T35,T35,Robert Damron,89,4.65,730,157
36,T35,T35,Lee Janzen,75,4.65,581,125
37,T35,T35,Zach Johnson,96,4.65,720,155
38,T35,T35,Neal Lancaster,95,4.65,739,159
39,T35,T35,Billy Mayfair,114,4.65,856,184
40,T35,T35,Adam Scott,72,4.65,502,108
41,T35,T35,Kevin Sutherland,89,4.65,712,153
42,T35,T35,D.J. Trahan,81,4.65,619,133
43,T44,T44,Jason Bohn,91,4.66,689,148
44,T44,T44,Dan Forsman,52,4.66,396,85
45,T44,T44,Carlos Franco,78,4.66,625,134
46,T44,T44,Mathias Grönberg,60,4.66,415,89
47,T44,T44,Brendan Jones,81,4.66,615,132
48,T44,T44,Bernhard Langer,67,4.66,545,117
49,T44,T44,J.L. Lewis,98,4.66,807,173
50,T44,T44,Andrew Magee,82,4.66,625,134
51,T44,T44,D.A. Points,94,4.66,717,154
52,T44,T44,Justin Rose,99,4.66,741,159
53,T44,T44,Heath Slocum,103,4.66,801,172
54,T44,T44,Bob Tway,87,4.66,648,139
55,T44,T44,Duffy Waldorf,86,4.66,681,146
56,T44,T44,Nick Watney,91,4.66,713,153
57,T58,T58,Justin Bolli,65,4.67,514,110
58,T58,T58,Paul Claxton,79,4.67,621,133
59,T58,T58,Lucas Glover,88,4.67,672,144
60,T58,T58,John Huston,90,4.67,677,145
61,T58,T58,Ryuji Imada,78,4.67,617,132
62,T58,T58,Davis Love III,80,4.67,551,118
63,T58,T58,Shigeki Maruyama,99,4.67,738,158
64,T58,T58,Kenny Perry,82,4.67,579,124
65,T58,T58,Carl Pettersson,109,4.67,859,184
66,T58,T58,Phillip Price,77,4.67,630,135
67,T58,T58,John Rollins,97,4.67,715,153
68,T58,T58,John Senden,101,4.67,770,165
69,T58,T58,Chris Smith,93,4.67,756,162
70,T58,T58,Vaughn Taylor,99,4.67,790,169
71,T58,T58,Dean Wilson,86,4.67,686,147
72,T73,T73,Jeff Brehaut,71,4.68,519,111
73,T73,T73,D.J. Brigman,76,4.68,547,117
74,T73,T73,John Daly,78,4.68,608,130
75,T73,T73,Robert Gamez,91,4.68,725,155
76,T73,T73,Scott Gutschewski,86,4.68,651,139
77,T73,T73,Hunter Haas,83,4.68,632,135
78,T73,T73,Padraig Harrington,50,4.68,351,75
79,T73,T73,Bob Heintz,67,4.68,524,112
80,T73,T73,Jonathan Kaye,77,4.68,566,121
81,T73,T73,Michael Long,72,4.68,547,117
82,T73,T73,Joe Ogilvie,103,4.68,787,168
83,T73,T73,Omar Uresti,84,4.68,641,137
84,T73,T73,Mike Weir,71,4.68,534,114
85,T86,T86,Robert Allenby,95,4.69,708,151
86,T86,T86,Brian Davis,75,4.69,642,137
87,T86,T86,Luke Donald,67,4.69,422,90
88,T86,T86,Joe Durant,81,4.69,652,139
89,T86,T86,Steve Lowery,100,4.69,774,165
90,T86,T86,Sean O'Hair,103,4.69,759,162
91,T86,T86,Ryan Palmer,101,4.69,778,166
92,T86,T86,Jesper Parnevik,84,4.69,661,141
93,T86,T86,Corey Pavin,77,4.69,544,116
94,T95,T95,Tom Byrum,83,4.7,606,129
95,T95,T95,Mark Calcavecchia,92,4.7,700,149
96,T95,T95,David Hearn,68,4.7,536,114
97,T95,T95,Tim Herron,100,4.7,799,170
98,T95,T95,Glen Hnatiuk,59,4.7,451,96
99,T95,T95,Jerry Kelly,101,4.7,795,169
100,T95,T95,Scott McCarron,78,4.7,639,136
101,T95,T95,Kevin Na,88,4.7,715,152
102,T95,T95,Geoff Ogilvy,97,4.7,743,158
103,T95,T95,Joey Sindelar,104,4.7,864,184
104,T105,T105,Craig Barlow,81,4.71,636,135
105,T105,T105,Cameron Beckman,96,4.71,739,157
106,T105,T105,Danny Briggs,70,4.71,561,119
107,T105,T105,Steve Elkington,67,4.71,527,112
108,T105,T105,Bob Estes,92,4.71,706,150
109,T105,T105,Todd Fischer,99,4.71,768,163
110,T105,T105,Fred Funk,102,4.71,740,157
111,T105,T105,Richard Johnson,50,4.71,391,83
112,T105,T105,Tom Lehman,69,4.71,509,108
113,T105,T105,Justin Leonard,78,4.71,518,110
114,T105,T105,José María Olazábal,55,4.71,419,89
115,T105,T105,Tim Petrovic,97,4.71,739,157
116,T105,T105,Kevin Stadler,96,4.71,768,163
117,T105,T105,Roland Thatcher,75,4.71,603,128
118,T119,T119,Chad Campbell,95,4.72,699,148
119,T119,T119,Daniel Chopra,108,4.72,841,178
120,T119,T119,Tom Gillis,77,4.72,618,131
121,T119,T119,Peter Lonard,85,4.72,646,137
122,T119,T119,Dennis Paulson,63,4.72,510,108
123,T119,T119,Tom Pernice Jr.,111,4.72,859,182
124,T119,T119,Brett Wetterich,76,4.72,590,125
125,T119,T119,Charlie Wi,67,4.72,543,115
126,T127,T127,Alex Cejka,84,4.73,658,139
127,T127,T127,Chris DiMarco,83,4.73,567,120
128,T127,T127,Steve Flesch,90,4.73,691,146
129,T127,T127,Paul Gow,78,4.73,563,119
130,T127,T127,Kent Jones,99,4.73,809,171
131,T127,T127,Stephen Leaney,89,4.73,728,154
132,T127,T127,Jeff Maggert,79,4.73,577,122
133,T127,T127,Rod Pampling,89,4.73,615,130
134,T127,T127,Pat Perez,89,4.73,686,145
135,T127,T127,Ian Poulter,62,4.73,421,89
136,T127,T127,Loren Roberts,54,4.73,388,82
137,T138,T138,Ben Crane,78,4.74,502,106
138,T138,T138,Marco Dawson,82,4.74,654,138
139,T138,T138,Todd Hamilton,94,4.74,763,161
140,T138,T138,Brandt Jobe,96,4.74,707,149
141,T138,T138,Hank Kuehne,84,4.74,649,137
142,T138,T138,Franklin Langham,91,4.74,687,145
143,T138,T138,Patrick Sheehan,114,4.74,914,193
144,T138,T138,Jay Williamson,53,4.74,455,96
145,T146,T146,Jason Allred,75,4.75,599,126
146,T146,T146,Paul Azinger,66,4.75,541,114
147,T146,T146,Aaron Baddeley,84,4.75,675,142
148,T146,T146,Doug Barron,70,4.75,560,118
149,T146,T146,Brian Gay,101,4.75,802,169
150,T146,T146,Dudley Hart,84,4.75,703,148
151,T146,T146,Arron Oberholser,65,4.75,503,106
152,T153,T153,Steve Allan,102,4.76,762,160
153,T153,T153,Tommy Armour III,103,4.76,828,174
154,T153,T153,Glen Day,80,4.76,605,127
155,T153,T153,Freddie Jacobson,72,4.76,566,119
156,T153,T153,Joey Snyder III,102,4.76,785,165
157,T153,T153,Lee Westwood,50,4.76,333,70
158,T153,T153,Mark Wilson,74,4.76,576,121
159,T160,T160,Chris Anderson,66,4.77,506,106
160,T160,T160,José Coceres,56,4.77,429,90
161,T160,T160,John Cook,72,4.77,549,115
