,First_Tee_Late_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_1_Scoring_Average_AVG,First_Tee_Late_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Arjun Atwal,67.5,270,4
1,2,2,Tiger Woods,68.0,272,4
2,3,3,Joe Durant,68.5,274,4
3,4,4,Retief Goosen,68.63,549,8
4,5,5,Lucas Glover,68.67,618,9
5,6,6,Bob Tway,68.86,482,7
6,7,7,Sean O'Hair,68.89,620,9
7,8,8,James Driscoll,69.0,276,4
8,T9,T9,Ted Purdy,69.1,691,10
9,T9,T9,Brett Wetterich,69.1,691,10
10,11,11,Peter Lonard,69.33,416,6
11,T12,T12,Ben Crane,69.4,347,5
12,T12,T12,Luke Donald,69.4,347,5
13,14,14,Cameron Beckman,69.5,417,6
14,15,15,Omar Uresti,69.56,626,9
15,16,16,Duffy Waldorf,69.57,487,7
16,17,17,Hank Kuehne,69.6,348,5
17,18,18,Marco Dawson,69.71,488,7
18,19,19,Jim Furyk,69.75,558,8
19,20,20,Geoff Ogilvy,69.78,628,9
20,T21,T21,Bart Bryant,69.8,698,10
21,T21,T21,Rod Pampling,69.8,349,5
22,23,23,Darron Stiles,69.83,419,6
23,24,24,Dean Wilson,69.86,489,7
24,T25,T25,Jeff Brehaut,70.0,420,6
25,T25,T25,Dan Forsman,70.0,210,3
26,T25,T25,Brent Geiberger,70.0,210,3
27,T25,T25,Matt Gogel,70.0,350,5
28,T25,T25,Mathias Grönberg,70.0,350,5
29,T25,T25,Kenny Perry,70.0,490,7
30,T25,T25,Loren Roberts,70.0,70,1
31,T25,T25,Vijay Singh,70.0,910,13
32,T25,T25,Kevin Stadler,70.0,560,8
33,T25,T25,Hidemichi Tanaka,70.0,490,7
34,T25,T25,Bo Van Pelt,70.0,700,10
35,36,36,Paul Gow,70.1,701,10
36,37,37,Dudley Hart,70.13,561,8
37,38,38,Ryuji Imada,70.14,491,7
38,39,39,Jeff Maggert,70.17,421,6
39,40,40,Joe Ogilvie,70.22,632,9
40,41,41,Jason Bohn,70.25,281,4
41,T42,T42,Tom Byrum,70.29,492,7
42,T42,T42,David Hearn,70.29,492,7
43,44,44,Brenden Pappas,70.33,211,3
44,45,45,Robert Allenby,70.4,352,5
45,T46,T46,K.J. Choi,70.43,493,7
46,T46,T46,Charles Howell III,70.43,493,7
47,T46,T46,Phil Mickelson,70.43,493,7
48,T49,T49,Todd Hamilton,70.5,846,12
49,T49,T49,Brandt Jobe,70.5,564,8
50,T49,T49,Jesper Parnevik,70.5,141,2
51,52,52,Michael Allen,70.55,776,11
52,53,53,John Senden,70.56,635,9
53,T54,T54,Scott McCarron,70.57,494,7
54,T54,T54,Adam Scott,70.57,494,7
55,T56,T56,Brian Bateman,70.63,565,8
56,T56,T56,Stewart Cink,70.63,565,8
57,T56,T56,Sergio Garcia,70.63,565,8
58,T56,T56,Jeff Sluman,70.63,565,8
59,60,60,Tom Pernice Jr.,70.64,777,11
60,61,61,Aaron Baddeley,70.67,424,6
61,62,62,Heath Slocum,70.7,707,10
62,T63,T63,Fred Couples,70.71,495,7
63,T63,T63,Mark Hensby,70.71,495,7
64,T65,T65,Ian Poulter,70.75,283,4
65,T65,T65,D.J. Trahan,70.75,566,8
66,T67,T67,Harrison Frazar,70.78,637,9
67,T67,T67,Ryan Palmer,70.78,637,9
68,T69,T69,Mark Brooks,70.8,354,5
69,T69,T69,Tom Gillis,70.8,354,5
