,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Luke Donald,67,10.55,21,199
1,2,2,Bob Tway,87,10.95,30,274
2,3,3,Jim Furyk,94,11.34,39,344
3,4,4,J.P. Hayes,63,11.68,25,214
4,5,5,Chris DiMarco,83,11.97,31,259
5,6,6,Chris Anderson,66,12.06,24,199
6,7,7,Larry Mize,54,12.08,18,149
7,8,8,Phil Mickelson,81,12.13,37,305
8,9,9,Arron Oberholser,65,12.38,26,210
9,T10,T10,Neal Lancaster,95,12.54,41,327
10,T10,T10,Stephen Leaney,89,12.54,36,287
11,12,12,Jason Bohn,91,12.7,39,307
12,13,13,Matt Kuchar,60,12.71,23,181
13,14,14,José Coceres,56,12.72,22,173
14,15,15,Carl Pettersson,109,12.77,47,368
15,16,16,Harrison Frazar,105,12.83,49,382
16,17,17,Steve Elkington,67,12.86,27,210
17,18,18,Loren Roberts,54,12.87,22,171
18,19,19,Kenny Perry,82,13.09,39,298
19,T20,T20,Robert Gamez,91,13.17,42,319
20,T20,T20,Mark Wilson,74,13.17,32,243
21,22,22,Fred Funk,102,13.18,39,296
22,23,23,Justin Rose,99,13.24,45,340
23,24,24,Billy Mayfair,114,13.27,54,407
24,25,25,Tim Herron,100,13.62,50,367
25,26,26,Richard Johnson,50,13.66,25,183
26,27,27,Lucas Glover,88,13.74,43,313
27,28,28,Corey Pavin,77,13.81,33,239
28,29,29,Tim Clark,92,13.9,46,331
29,30,30,Craig Barlow,81,13.91,37,266
30,31,31,Dudley Hart,84,14.0,42,300
31,32,32,Tiger Woods,76,14.02,46,328
32,33,33,K.J. Choi,78,14.06,35,249
33,34,34,Bill Glasson,54,14.09,21,149
34,35,35,Stephen Ames,82,14.17,36,254
35,36,36,Kirk Triplett,55,14.2,24,169
36,37,37,Scott Verplank,87,14.29,48,336
37,38,38,Adam Scott,72,14.35,33,230
38,39,39,Gavin Coles,70,14.41,34,236
39,40,40,Jeff Sluman,94,14.42,45,312
40,41,41,Roland Thatcher,75,14.46,35,242
41,42,42,Daniel Chopra,108,14.52,54,372
42,43,43,Ryuji Imada,78,14.55,39,268
43,44,44,Bo Van Pelt,112,14.6,59,404
44,45,45,Arjun Atwal,65,14.62,37,253
45,46,46,J.J. Henry,102,14.63,48,328
46,47,47,Joe Durant,81,14.65,40,273
47,48,48,Hidemichi Tanaka,106,14.66,51,348
48,49,49,Glen Hnatiuk,59,14.69,26,177
49,50,50,Doug Barron,70,14.72,34,231
50,T51,T51,Jonathan Byrd,103,14.73,52,353
51,T51,T51,Kevin Sutherland,89,14.73,43,292
52,53,53,Mathias Grönberg,60,14.8,29,196
53,54,54,Pat Perez,89,14.85,45,303
54,55,55,Jay Williamson,53,14.88,25,168
55,56,56,Zach Johnson,96,14.97,50,334
56,57,57,John Senden,101,15.07,52,345
57,58,58,Shigeki Maruyama,99,15.11,50,331
58,59,59,Jerry Kelly,101,15.12,49,324
59,60,60,Jeff Brehaut,71,15.13,36,238
60,61,61,Sergio Garcia,73,15.16,37,244
61,62,62,Duffy Waldorf,86,15.22,44,289
62,63,63,Joey Snyder III,102,15.27,51,334
63,64,64,Olin Browne,99,15.29,50,327
64,65,65,Paul Claxton,79,15.35,37,241
65,66,66,Darron Stiles,78,15.36,41,267
66,67,67,Paul Azinger,66,15.42,35,227
67,68,68,Ben Crane,78,15.44,42,272
68,69,69,Mario Tiziani,67,15.53,32,206
69,T70,T70,Franklin Langham,91,15.54,39,251
70,T70,T70,Phillip Price,77,15.54,39,251
71,72,72,Geoff Ogilvy,97,15.56,54,347
72,73,73,Joey Sindelar,104,15.62,57,365
73,T74,T74,Will MacKenzie,75,15.69,40,255
74,T74,T74,John Rollins,97,15.69,51,325
75,76,76,Joe Ogilvie,103,15.71,55,350
76,77,77,Brian Gay,101,15.77,50,317
77,78,78,Ian Poulter,62,15.79,27,171
78,79,79,Retief Goosen,71,15.81,34,215
79,80,80,Stuart Appleby,84,15.88,44,277
80,81,81,Tom Gillis,77,15.9,38,239
81,82,82,Kevin Stadler,96,15.92,53,333
82,83,83,Tim Petrovic,97,15.93,47,295
83,84,84,Brian Davis,75,15.97,42,263
84,85,85,Mark Brooks,72,16.0,32,200
85,86,86,Heath Slocum,103,16.02,54,337
86,87,87,Kent Jones,99,16.03,55,343
87,88,88,Jim Carter,62,16.11,24,149
88,89,89,Nick Watney,91,16.13,50,310
89,90,90,Vijay Singh,111,16.15,68,421
90,T91,T91,Sean O'Hair,103,16.18,55,340
91,T91,T91,Dean Wilson,86,16.18,50,309
92,93,93,Dan Forsman,52,16.28,28,172
93,94,94,Aaron Baddeley,84,16.38,48,293
94,95,95,David Toms,87,16.39,49,299
95,96,96,Mark O'Meara,66,16.4,31,189
96,97,97,Steve Allan,102,16.41,54,329
97,T98,T98,Freddie Jacobson,72,16.45,38,231
98,T98,T98,Skip Kendall,80,16.45,38,231
99,T98,T98,Steve Stricker,62,16.45,38,231
100,101,101,Mark Calcavecchia,92,16.46,54,328
101,T102,T102,José María Olazábal,55,16.48,30,182
102,T102,T102,Tom Pernice Jr.,111,16.48,58,352
103,T104,T104,Justin Bolli,65,16.5,34,206
104,T104,T104,Danny Briggs,70,16.5,33,200
105,106,106,Tag Ridings,93,16.53,59,357
106,107,107,D.J. Trahan,81,16.54,44,266
107,108,108,Brandt Jobe,96,16.56,54,326
108,109,109,Bob Heintz,67,16.6,42,253
109,110,110,Omar Uresti,84,16.67,47,282
110,111,111,Ted Purdy,122,16.75,69,412
111,112,112,Vaughn Taylor,99,16.76,61,364
112,113,113,Tommy Armour III,103,16.77,54,322
113,114,114,Kevin Na,88,16.79,47,280
114,115,115,Brad Faxon,75,16.87,42,249
115,116,116,Rod Pampling,89,16.89,51,302
116,117,117,Hunter Haas,83,16.91,47,278
117,118,118,Bart Bryant,91,16.97,56,330
118,119,119,Robert Allenby,95,16.98,54,318
119,120,120,John Huston,90,16.99,53,312
120,121,121,Jonathan Kaye,77,17.05,45,264
121,T122,T122,Carlos Franco,78,17.06,43,252
122,T122,T122,Bernhard Langer,67,17.06,36,211
123,124,124,Chad Campbell,95,17.09,54,316
124,125,125,Brent Geiberger,61,17.34,30,173
125,126,126,Chris Smith,93,17.47,58,332
126,127,127,Bob Estes,92,17.48,54,309
127,T128,T128,Woody Austin,100,17.55,63,359
128,T128,T128,Scott Gutschewski,86,17.55,53,302
129,130,130,Brendan Jones,81,17.56,46,262
130,131,131,Stewart Cink,98,17.59,54,307
131,132,132,Briny Baird,98,17.61,59,335
132,133,133,Glen Day,80,17.67,44,249
133,T134,T134,Justin Leonard,78,17.74,44,248
134,T134,T134,Scott McCarron,78,17.74,44,248
135,136,136,Robert Damron,89,17.75,49,276
136,137,137,Tom Lehman,69,17.84,38,213
137,138,138,Todd Fischer,99,17.87,57,319
138,139,139,Peter Lonard,85,17.95,49,273
139,140,140,J.L. Lewis,98,17.96,58,323
140,141,141,Greg Owen,84,18.01,49,272
141,142,142,Marco Dawson,82,18.03,53,294
142,143,143,Jay Haas,54,18.13,29,160
