,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Phil Mickelson,68.88,2824,41
1,2,2,Tiger Woods,68.9,2756,40
2,3,3,Ben Crane,69.56,2852,41
3,4,4,Vijay Singh,69.63,4108,59
4,5,5,Jim Furyk,69.7,3694,53
5,6,6,Arjun Atwal,69.74,2441,35
6,7,7,Sergio Garcia,69.75,2511,36
7,8,8,Luke Donald,69.82,2304,33
8,9,9,Kevin Sutherland,69.85,3702,53
9,10,10,John Senden,69.95,4127,59
10,11,11,Retief Goosen,69.97,2239,32
11,12,12,Billy Mayfair,70.0,4340,62
12,13,13,Tim Clark,70.04,3572,51
13,T14,T14,Dudley Hart,70.06,3433,49
14,T14,T14,Scott Verplank,70.06,3433,49
15,16,16,Dean Wilson,70.11,3786,54
16,17,17,Kenny Perry,70.15,3227,46
17,18,18,Justin Rose,70.18,3930,56
18,19,19,Brandt Jobe,70.23,3722,53
19,20,20,Bob Estes,70.24,3512,50
20,21,21,Mark Calcavecchia,70.25,3723,53
21,22,22,Tim Herron,70.26,4005,57
22,23,23,Olin Browne,70.29,4147,59
23,24,24,Stewart Cink,70.32,3516,50
24,25,25,Mathias Grönberg,70.38,2604,37
25,T26,T26,Marco Dawson,70.39,3238,46
26,T26,T26,Richard Johnson,70.39,2323,33
27,28,28,Justin Leonard,70.41,3239,46
28,T29,T29,Geoff Ogilvy,70.42,3662,52
29,T29,T29,José María Olazábal,70.42,2183,31
30,T29,T29,Jeff Sluman,70.42,4014,57
31,32,32,Briny Baird,70.43,4437,63
32,33,33,Ted Purdy,70.45,5002,71
33,34,34,Harrison Frazar,70.47,4369,62
34,35,35,Bo Van Pelt,70.48,4863,69
35,36,36,David Toms,70.52,3103,44
36,37,37,Sean O'Hair,70.53,3879,55
37,38,38,Jason Bohn,70.54,4021,57
38,39,39,Joey Sindelar,70.55,4233,60
39,T40,T40,Steve Elkington,70.56,2893,41
40,T40,T40,Adam Scott,70.56,2540,36
41,T40,T40,Bob Tway,70.56,3669,52
42,43,43,Davis Love III,70.57,3317,47
43,T44,T44,Tommy Armour III,70.58,4235,60
44,T44,T44,J.J. Henry,70.58,4517,64
45,46,46,Jerry Kelly,70.61,4378,62
46,47,47,Brett Quigley,70.64,4309,61
47,48,48,Lee Westwood,70.66,2049,29
48,T49,T49,Bart Bryant,70.67,3816,54
49,T49,T49,Jesper Parnevik,70.67,3463,49
50,T49,T49,Loren Roberts,70.67,2544,36
51,52,52,Tom Pernice Jr.,70.72,4597,65
52,53,53,Shigeki Maruyama,70.73,3961,56
53,54,54,Steve Stricker,70.74,3042,43
54,55,55,Jonathan Byrd,70.75,4245,60
55,56,56,Dan Forsman,70.76,2335,33
56,T57,T57,K.J. Choi,70.77,3114,44
57,T57,T57,Scott Gutschewski,70.77,3751,53
58,T57,T57,Tom Lehman,70.77,2760,39
59,T57,T57,Corey Pavin,70.77,3326,47
60,T61,T61,Woody Austin,70.78,4247,60
61,T61,T61,Charles Howell III,70.78,3893,55
62,T61,T61,Heath Slocum,70.78,4105,58
63,T64,T64,Chad Campbell,70.79,3681,52
64,T64,T64,Pat Perez,70.79,3964,56
65,66,66,Carl Pettersson,70.8,4885,69
66,T67,T67,Ryuji Imada,70.81,3682,52
67,T67,T67,Greg Owen,70.81,3328,47
68,T69,T69,Rocco Mediate,70.82,3187,45
69,T69,T69,Arron Oberholser,70.82,2762,39
70,T71,T71,Stuart Appleby,70.83,3258,46
71,T71,T71,Craig Barlow,70.83,3754,53
72,T73,T73,Billy Andrade,70.85,3897,55
73,T73,T73,Chris DiMarco,70.85,3259,46
74,T73,T73,Robert Gamez,70.85,4180,59
75,T76,T76,J.P. Hayes,70.86,3047,43
76,T76,T76,Kent Jones,70.86,4606,65
77,T76,T76,Phillip Price,70.86,3543,50
78,T79,T79,Jeff Brehaut,70.89,3119,44
79,T79,T79,Tag Ridings,70.89,4395,62
80,T79,T79,Nick Watney,70.89,4466,63
81,T82,T82,Fred Funk,70.9,4325,61
82,T82,T82,Joey Snyder III,70.9,4325,61
83,T84,T84,Zach Johnson,70.91,4113,58
84,T84,T84,Jeff Maggert,70.91,3333,47
85,86,86,Darron Stiles,70.92,3617,51
86,87,87,Bernhard Langer,70.93,2837,40
87,88,88,Hidemichi Tanaka,70.94,4753,67
88,89,89,Peter Lonard,70.96,3832,54
89,T90,T90,Robert Allenby,70.98,4259,60
90,T90,T90,Brian Davis,70.98,3407,48
91,T90,T90,Charlie Wi,70.98,3123,44
92,93,93,Patrick Sheehan,70.99,5040,71
93,T94,T94,Daniel Chopra,71.0,4899,69
94,T94,T94,Lucas Glover,71.0,3905,55
95,T94,T94,Stephen Leaney,71.0,4047,57
96,T94,T94,Hunter Mahan,71.0,4757,67
97,T98,T98,J.L. Lewis,71.05,4476,63
98,T98,T98,Mario Tiziani,71.05,3126,44
99,100,100,Ryan Palmer,71.06,4548,64
100,101,101,Vaughn Taylor,71.07,4335,61
101,T102,T102,Joe Ogilvie,71.08,4336,61
102,T102,T102,Chris Smith,71.08,4691,66
103,104,104,Duffy Waldorf,71.09,3910,55
104,T105,T105,Brenden Pappas,71.1,2204,31
