,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Tiger Woods,76,2.401,132.041,95.788,36.251999999999995,55
1,2,2,Vijay Singh,111,2.189,192.64,178.607,14.03,88
2,3,3,Jim Furyk,94,1.8459999999999999,132.944,107.984,24.956999999999997,72
3,4,4,Luke Donald,67,1.796,71.837,57.343999999999994,14.491,40
4,5,5,Kenny Perry,82,1.672,100.294,110.12899999999999,-9.834,60
5,6,6,Phil Mickelson,81,1.525,76.245,63.06100000000001,13.183,50
6,7,7,Sergio Garcia,73,1.5130000000000001,78.682,92.205,-13.525,52
7,8,8,Tim Herron,100,1.247,97.287,62.159,35.126999999999995,78
8,9,9,David Toms,87,1.226,78.485,58.99,19.493,64
9,10,10,Shigeki Maruyama,99,1.182,100.43799999999999,78.21600000000001,22.218000000000004,85
10,T11,T11,Davis Love III,80,1.14,64.997,53.86,11.137,57
11,T11,T11,José María Olazábal,55,1.14,46.74,19.975,26.764,41
12,13,13,Bart Bryant,91,1.07,82.39,59.477,22.91,77
13,14,14,Adam Scott,72,1.047,54.425,53.574,0.847,52
14,15,15,Charles Howell III,95,0.988,71.138,50.736000000000004,20.398,72
15,16,16,Scott Verplank,87,0.9740000000000001,64.3,68.751,-4.452,66
16,17,17,Loren Roberts,54,0.96,46.09,20.159000000000002,25.928,48
17,18,18,Ben Crane,78,0.9390000000000001,61.058,0.012,61.044,65
18,19,19,Arjun Atwal,65,0.927,56.543,16.477999999999998,40.064,61
19,20,20,Zach Johnson,96,0.922,76.486,49.06100000000001,27.421999999999997,83
20,21,21,Bob Estes,92,0.905,72.426,58.941,13.482999999999999,80
21,22,22,Billy Mayfair,114,0.904,92.223,100.375,-8.154,102
22,23,23,Brad Faxon,75,0.855,49.56100000000001,3.218,46.343,58
23,24,24,Stewart Cink,98,0.823,58.44,19.764,38.674,71
24,25,25,Rod Pampling,89,0.8220000000000001,57.545,48.138999999999996,9.404,70
25,26,26,Chris DiMarco,83,0.815,48.107,34.861,13.245,59
26,27,27,Stephen Ames,82,0.802,48.924,22.921,26.000999999999998,61
27,28,28,Bob Tway,87,0.785,51.836999999999996,3.2539999999999996,48.582,66
28,29,29,Richard Johnson,50,0.7659999999999999,35.253,8.823,26.428,46
29,30,30,Brett Quigley,96,0.757,64.319,36.311,28.006,85
30,T31,T31,Brian Davis,75,0.736,47.118,71.687,-24.572,64
31,T31,T31,Jerry Kelly,101,0.736,55.931999999999995,56.50899999999999,-0.578,76
32,33,33,Tom Pernice Jr.,111,0.7240000000000001,64.473,37.056,27.414,89
33,34,34,Justin Rose,99,0.7190000000000001,64.013,85.804,-21.794,89
34,35,35,Mark Calcavecchia,92,0.718,55.291000000000004,56.248000000000005,-0.956,77
35,36,36,Stuart Appleby,84,0.7120000000000001,44.827,49.357,-4.532,63
