,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,76,4.57,338,74
1,2,2,Phil Mickelson,81,4.41,326,74
2,3,3,Arjun Atwal,65,4.06,264,65
3,4,4,Scott Verplank,87,4.05,348,86
4,5,5,David Toms,87,4.04,311,77
5,T6,T6,Brenden Pappas,51,4.0,204,51
6,T6,T6,Tag Ridings,93,4.0,364,91
7,8,8,Vijay Singh,111,3.96,432,109
8,9,9,Ryan Palmer,101,3.92,380,97
9,T10,T10,Tim Clark,92,3.91,340,87
10,T10,T10,Tim Herron,100,3.91,387,99
11,12,12,Geoff Ogilvy,97,3.88,361,93
12,13,13,Harrison Frazar,105,3.87,391,101
13,T14,T14,Scott Gutschewski,86,3.85,316,82
14,T14,T14,Steve Stricker,62,3.85,239,62
15,T16,T16,Bob Heintz,67,3.84,257,67
16,T16,T16,Richard Johnson,50,3.84,192,50
17,18,18,Kenny Perry,82,3.83,306,80
18,19,19,Jim Furyk,94,3.82,355,93
19,T20,T20,Vaughn Taylor,99,3.8,376,99
20,T20,T20,Charles Warren,89,3.8,331,87
21,T22,T22,Fred Couples,72,3.79,258,68
22,T22,T22,Bo Van Pelt,112,3.79,425,112
23,24,24,Ben Crane,78,3.78,280,74
24,25,25,Brett Wetterich,76,3.77,279,74
25,T26,T26,Marco Dawson,82,3.76,308,82
26,T26,T26,Dan Forsman,52,3.76,188,50
27,28,28,Retief Goosen,71,3.75,229,61
28,T29,T29,Mark Calcavecchia,92,3.74,337,90
29,T29,T29,Sergio Garcia,73,3.74,254,68
30,T29,T29,Hunter Mahan,103,3.74,378,101
31,T29,T29,Joe Ogilvie,103,3.74,370,99
32,T29,T29,Rod Pampling,89,3.74,314,84
33,T34,T34,Woody Austin,100,3.73,373,100
34,T34,T34,Zach Johnson,96,3.73,354,95
35,T34,T34,Jonathan Kaye,77,3.73,276,74
36,T34,T34,Davis Love III,80,3.73,280,75
37,T34,T34,Billy Mayfair,114,3.73,410,110
38,T39,T39,Billy Andrade,83,3.72,309,83
39,T39,T39,John Huston,90,3.72,320,86
40,T41,T41,John Daly,78,3.71,282,76
41,T41,T41,Kent Jones,99,3.71,360,97
42,T41,T41,Darron Stiles,78,3.71,282,76
43,T41,T41,Duffy Waldorf,86,3.71,304,82
44,T45,T45,Robert Allenby,95,3.7,329,89
45,T45,T45,Jeff Brehaut,71,3.7,248,67
46,T45,T45,Joey Sindelar,104,3.7,385,104
47,T45,T45,Chris Smith,93,3.7,344,93
48,49,49,Dean Wilson,86,3.69,317,86
49,T50,T50,Bart Bryant,91,3.68,335,91
50,T50,T50,Dudley Hart,84,3.68,309,84
51,T50,T50,Justin Rose,99,3.68,350,95
52,T50,T50,Patrick Sheehan,114,3.68,405,110
53,T54,T54,Robert Gamez,91,3.67,334,91
54,T54,T54,Lucas Glover,88,3.67,316,86
55,T54,T54,Frank Lickliter II,100,3.67,352,96
56,T57,T57,Brad Faxon,75,3.65,259,71
57,T57,T57,Hunter Haas,83,3.65,288,79
58,T57,T57,Brett Quigley,96,3.65,336,92
59,T60,T60,Daniel Chopra,108,3.64,379,104
60,T60,T60,Carl Pettersson,109,3.64,382,105
61,62,62,Brandt Jobe,96,3.63,334,92
62,T63,T63,Aaron Baddeley,84,3.62,297,82
63,T63,T63,Kevin Stadler,96,3.62,333,92
64,T65,T65,Neal Lancaster,95,3.61,343,95
65,T65,T65,Steve Lowery,100,3.61,347,96
66,T65,T65,John Senden,101,3.61,357,99
67,T68,T68,Cameron Beckman,96,3.6,331,92
68,T68,T68,Will MacKenzie,75,3.6,263,73
69,T68,T68,José María Olazábal,55,3.6,191,53
70,T71,T71,Olin Browne,99,3.59,341,95
71,T71,T71,Jonathan Byrd,103,3.59,355,99
72,T71,T71,Chad Campbell,95,3.59,330,92
73,T71,T71,Sean O'Hair,103,3.59,355,99
74,T71,T71,Phillip Price,77,3.59,262,73
75,T71,T71,Mark Wilson,74,3.59,251,70
76,T77,T77,Scott Hend,75,3.58,261,73
77,T77,T77,Ted Purdy,122,3.58,437,122
78,T79,T79,Briny Baird,98,3.57,343,96
79,T79,T79,Justin Leonard,78,3.57,268,75
80,T79,T79,John Rollins,97,3.57,339,95
81,T79,T79,Hidemichi Tanaka,106,3.57,364,102
82,T83,T83,Craig Barlow,81,3.56,274,77
83,T83,T83,Pat Perez,89,3.56,317,89
