,Early_Round_2_Scoring_Average_RANK THIS WEEK,Early_Round_2_Scoring_Average_RANK LAST WEEK,Early_Round_2_Scoring_Average_PLAYER NAME,Early_Round_2_Scoring_Average_AVG,Early_Round_2_Scoring_Average_TOTAL STROKES,Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Phil Mickelson,67.5,540,8
1,2,2,Arjun Atwal,68.14,477,7
2,3,3,Luke Donald,68.63,549,8
3,4,4,John Senden,68.69,893,13
4,5,5,Shigeki Maruyama,68.73,756,11
5,6,6,Kevin Sutherland,68.8,688,10
6,7,7,Billy Mayfair,68.81,1101,16
7,8,8,Retief Goosen,68.86,482,7
8,T9,T9,Tim Herron,68.88,1171,17
9,T9,T9,David Toms,68.88,551,8
10,11,11,Loren Roberts,69.0,483,7
11,T12,T12,Mark Calcavecchia,69.18,761,11
12,T12,T12,Tom Lehman,69.18,761,11
13,14,14,Rocco Mediate,69.23,900,13
14,15,15,Scott Verplank,69.27,762,11
15,T16,T16,Dean Wilson,69.33,832,12
16,T16,T16,Tiger Woods,69.33,208,3
17,18,18,Jim Furyk,69.38,1110,16
18,19,19,Craig Barlow,69.42,833,12
19,20,20,Brandt Jobe,69.44,1111,16
20,21,21,Bob Tway,69.45,764,11
21,22,22,Stuart Appleby,69.54,904,13
22,23,23,Ryuji Imada,69.64,975,14
23,24,24,Ben Crane,69.67,836,12
24,T25,T25,Tim Clark,69.69,906,13
25,T25,T25,Kent Jones,69.69,1115,16
26,T25,T25,Justin Rose,69.69,1115,16
27,T25,T25,Heath Slocum,69.69,906,13
28,T25,T25,Brett Wetterich,69.69,1115,16
29,T30,T30,Jerry Kelly,69.7,697,10
30,T30,T30,Corey Pavin,69.7,697,10
31,32,32,Joey Snyder III,69.72,1255,18
32,33,33,Bo Van Pelt,69.73,1534,22
33,34,34,J.P. Hayes,69.75,837,12
34,35,35,Adam Scott,69.78,628,9
35,36,36,Charles Howell III,69.86,978,14
36,37,37,Harrison Frazar,69.87,1048,15
37,38,38,Patrick Sheehan,69.89,1258,18
38,T39,T39,John Daly,69.92,839,12
39,T39,T39,Davis Love III,69.92,839,12
40,T39,T39,Jeff Maggert,69.92,839,12
41,42,42,Vijay Singh,69.94,1189,17
42,T43,T43,Tommy Armour III,70.0,980,14
43,T43,T43,Bob Estes,70.0,910,13
44,T43,T43,Richard Johnson,70.0,490,7
45,T43,T43,Will MacKenzie,70.0,910,13
46,T43,T43,Lee Westwood,70.0,560,8
47,48,48,Dudley Hart,70.09,771,11
48,T49,T49,Sergio Garcia,70.1,701,10
49,T49,T49,Peter Lonard,70.1,701,10
50,51,51,Hunter Haas,70.15,912,13
51,52,52,Jeff Brehaut,70.17,842,12
52,53,53,Daniel Chopra,70.18,1193,17
53,54,54,Briny Baird,70.19,1123,16
54,T55,T55,Padraig Harrington,70.2,702,10
55,T55,T55,José María Olazábal,70.2,351,5
56,57,57,Stephen Leaney,70.21,983,14
57,58,58,K.J. Choi,70.22,632,9
58,59,59,Len Mattiace,70.23,913,13
59,60,60,Dan Forsman,70.25,562,8
60,61,61,Scott McCarron,70.31,914,13
61,62,62,Olin Browne,70.33,844,12
62,63,63,Jeff Sluman,70.36,985,14
63,T64,T64,Jay Haas,70.38,563,8
64,T64,T64,Neal Lancaster,70.38,1126,16
65,66,66,Lucas Glover,70.42,845,12
66,67,67,Roland Thatcher,70.45,775,11
67,68,68,Chris Smith,70.47,1057,15
68,T69,T69,Robert Allenby,70.5,987,14
69,T69,T69,Scott Gutschewski,70.5,1128,16
70,T69,T69,Arron Oberholser,70.5,564,8
71,T69,T69,Greg Owen,70.5,705,10
72,T69,T69,Kenny Perry,70.5,564,8
73,T69,T69,Brett Quigley,70.5,987,14
74,75,75,Kevin Stadler,70.53,1058,15
75,T76,T76,Glen Day,70.54,917,13
76,T76,T76,Steve Flesch,70.54,917,13
77,78,78,Frank Lickliter II,70.58,847,12
78,79,79,Chris DiMarco,70.6,706,10
79,T80,T80,Jonathan Byrd,70.62,918,13
80,T80,T80,Brad Faxon,70.62,918,13
81,T82,T82,Stewart Cink,70.63,565,8
82,T82,T82,Bernhard Langer,70.63,565,8
83,T84,T84,James Driscoll,70.64,777,11
84,T84,T84,Michael Long,70.64,989,14
85,T84,T84,Geoff Ogilvy,70.64,989,14
86,T84,T84,Steve Stricker,70.64,777,11
87,T84,T84,Mario Tiziani,70.64,989,14
88,T89,T89,Paul Azinger,70.67,848,12
89,T89,T89,Fred Couples,70.67,848,12
90,T89,T89,Ryan Palmer,70.67,1060,15
91,T89,T89,Ted Purdy,70.67,1484,21
92,T93,T93,Bill Glasson,70.7,707,10
93,T93,T93,Charlie Wi,70.7,707,10
94,95,95,Chad Campbell,70.73,778,11
95,T96,T96,Stephen Ames,70.75,849,12
96,T96,T96,Zach Johnson,70.75,849,12
97,T96,T96,Matt Kuchar,70.75,566,8
98,T96,T96,Hank Kuehne,70.75,849,12
99,T100,T100,Billy Andrade,70.79,991,14
100,T100,T100,Bob Heintz,70.79,991,14
101,T100,T100,Steve Lowery,70.79,991,14
102,T100,T100,Pat Perez,70.79,991,14
103,T104,T104,Mark Brooks,70.82,779,11
104,T104,T104,Tom Pernice Jr.,70.82,1204,17
105,T104,T104,Rory Sabbatini,70.82,779,11
106,107,107,Tag Ridings,70.84,1346,19
107,108,108,Sean O'Hair,70.87,1063,15
108,109,109,Justin Leonard,70.9,709,10
109,110,110,Alex Cejka,70.92,851,12
110,T111,T111,Carl Pettersson,70.93,1064,15
111,T111,T111,Phillip Price,70.93,993,14
112,113,113,Paul Gow,70.94,1135,16
113,T114,T114,Robert Gamez,71.0,1136,16
114,T114,T114,Franklin Langham,71.0,1136,16
115,T114,T114,Hunter Mahan,71.0,1207,17
116,T114,T114,Kevin Na,71.0,923,13
117,T114,T114,D.J. Trahan,71.0,852,12
118,T114,T114,Jay Williamson,71.0,426,6
119,T120,T120,Bart Bryant,71.07,1066,15
120,T120,T120,Duffy Waldorf,71.07,995,14
121,122,122,Vaughn Taylor,71.08,853,12
122,T123,T123,Mathias Grönberg,71.09,782,11
123,T123,T123,Bradley Hughes,71.09,782,11
124,125,125,Woody Austin,71.12,1209,17
125,126,126,J.J. Henry,71.14,996,14
126,T127,T127,Brian Davis,71.18,783,11
127,T127,T127,Lee Janzen,71.18,783,11
128,129,129,Nick Watney,71.19,1139,16
129,130,130,Joey Sindelar,71.21,997,14
130,131,131,Tom Gillis,71.23,926,13
131,T132,T132,Tom Byrum,71.25,1140,16
132,T132,T132,Steve Elkington,71.25,570,8
133,T134,T134,Joe Durant,71.27,784,11
134,T134,T134,Mark O'Meara,71.27,784,11
135,T136,T136,Jason Bohn,71.31,927,13
136,T136,T136,Paul Claxton,71.31,927,13
137,T136,T136,Darron Stiles,71.31,927,13
138,139,139,Mike Weir,71.33,642,9
139,T140,T140,Brent Geiberger,71.4,714,10
140,T140,T140,Skip Kendall,71.4,1071,15
141,T142,T142,Doug Barron,71.42,857,12
142,T142,T142,Danny Briggs,71.42,857,12
143,T142,T142,D.J. Brigman,71.42,857,12
144,T142,T142,John Huston,71.42,857,12
145,146,146,Tjaart van der Walt,71.44,643,9
146,T147,T147,Todd Hamilton,71.47,1072,15
147,T147,T147,Omar Uresti,71.47,1072,15
148,T149,T149,John Elliott,71.5,572,8
149,T149,T149,Rod Pampling,71.5,715,10
150,T149,T149,Brenden Pappas,71.5,429,6
151,T152,T152,Chris Anderson,71.55,787,11
152,T152,T152,Marco Dawson,71.55,787,11
153,154,154,Brian Bateman,71.57,1002,14
154,155,155,Mark Hensby,71.6,716,10
155,156,156,Cameron Beckman,71.61,1289,18
156,157,157,John Rollins,71.62,931,13
157,158,158,Shaun Micheel,71.64,788,11
158,159,159,Glen Hnatiuk,71.67,860,12
159,T160,T160,Fred Funk,71.71,1219,17
160,T160,T160,Brian Gay,71.71,1004,14
161,T160,T160,Scott Hend,71.71,1004,14
162,163,163,John Cook,71.73,789,11
163,164,164,Mark Wilson,71.75,861,12
164,T165,T165,Carlos Franco,71.85,934,13
165,T165,T165,Freddie Jacobson,71.85,934,13
166,167,167,Joe Ogilvie,71.89,1366,19
167,T168,T168,Michael Allen,72.0,1296,18
168,T168,T168,Jonathan Kaye,72.0,504,7
169,T168,T168,Charles Warren,72.0,1224,17
170,171,171,Brendan Jones,72.13,1082,15
171,172,172,Rich Beem,72.14,505,7
172,173,173,Hidemichi Tanaka,72.16,1371,19
173,174,174,Justin Bolli,72.17,866,12
174,175,175,Jim Carter,72.18,794,11
175,T176,T176,Jason Allred,72.21,1372,19
176,T176,T176,David Hearn,72.21,1011,14
177,T176,T176,Andrew Magee,72.21,1011,14
178,T179,T179,Jeff Hart,72.22,650,9
179,T179,T179,Larry Mize,72.22,650,9
180,181,181,Kirk Triplett,72.25,578,8
181,T182,T182,J.L. Lewis,72.27,795,11
182,T182,T182,Jesper Parnevik,72.27,795,11
183,184,184,Robert Damron,72.36,1013,14
184,185,185,Aaron Baddeley,72.38,941,13
185,186,186,Steve Allan,72.47,1087,15
186,187,187,Dennis Paulson,72.53,1088,15
187,188,188,Craig Perks,72.55,798,11
188,189,189,Tim Petrovic,72.57,1016,14
189,190,190,D.A. Points,72.59,1234,17
190,191,191,Todd Fischer,72.69,945,13
191,T192,T192,Gavin Coles,72.7,727,10
192,T192,T192,Ben Curtis,72.7,727,10
193,194,194,Rob Rashell,72.73,1091,15
194,195,195,Steve Jones,72.75,582,8
195,196,196,Ian Poulter,73.0,657,9
196,197,197,Matt Gogel,73.08,877,12
197,198,198,Matt Davidson,73.11,658,9
198,199,199,Hideto Tanihara,73.33,660,9
199,200,200,Chris Riley,73.45,808,11
200,201,201,José Coceres,74.0,740,10
201,202,202,Thomas Levet,75.67,454,6
