,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Vijay Singh,30,2.12,231,109
1,2,2,Tiger Woods,21,2.2,163,74
2,3,3,Jim Furyk,26,2.22,206,93
3,4,4,Richard Johnson,16,2.24,112,50
4,5,5,Kevin Sutherland,26,2.26,197,87
5,T6,T6,Jeff Brehaut,23,2.28,153,67
6,T6,T6,José María Olazábal,16,2.28,121,53
7,8,8,Dudley Hart,29,2.32,195,84
8,9,9,Luke Donald,18,2.33,140,60
9,T10,T10,Phillip Price,25,2.34,171,73
10,T10,T10,Heath Slocum,29,2.34,232,99
11,T12,T12,Olin Browne,29,2.39,227,95
12,T12,T12,Harrison Frazar,31,2.39,241,101
13,T14,T14,Doug Barron,24,2.4,168,70
14,T14,T14,Chris DiMarco,24,2.4,180,75
15,T16,T16,Justin Rose,28,2.41,229,95
16,T16,T16,Joey Sindelar,29,2.41,251,104
17,T18,T18,Carl Pettersson,34,2.42,254,105
18,T18,T18,Bob Tway,26,2.42,201,83
19,T20,T20,Steve Elkington,20,2.43,163,67
20,T20,T20,Phil Mickelson,21,2.43,180,74
21,T20,T20,Jay Williamson,16,2.43,129,53
22,T23,T23,Dan Forsman,17,2.44,122,50
23,T23,T23,Nick Watney,31,2.44,217,89
24,25,25,Billy Mayfair,31,2.45,269,110
25,T26,T26,John Senden,29,2.47,245,99
26,T26,T26,Jeff Sluman,28,2.47,232,94
27,T26,T26,Steve Stricker,21,2.47,153,62
28,29,29,Lucas Glover,28,2.48,213,86
29,T30,T30,Marco Dawson,23,2.49,204,82
30,T30,T30,Sergio Garcia,20,2.49,169,68
31,T32,T32,Fred Funk,30,2.5,252,101
32,T32,T32,Shigeki Maruyama,29,2.5,245,98
33,34,34,Loren Roberts,18,2.51,133,53
34,35,35,Dean Wilson,27,2.52,217,86
35,T36,T36,Zach Johnson,30,2.53,240,95
36,T36,T36,Davis Love III,24,2.53,190,75
37,T38,T38,Darron Stiles,26,2.54,193,76
38,T38,T38,Kirk Triplett,18,2.54,132,52
39,T40,T40,Daniel Chopra,34,2.55,265,104
40,T40,T40,Jerry Kelly,31,2.55,252,99
41,T42,T42,Stewart Cink,26,2.56,230,90
42,T42,T42,Mark Wilson,25,2.56,179,70
43,T44,T44,Brian Gay,33,2.57,254,99
44,T44,T44,Arron Oberholser,21,2.57,162,63
45,T44,T44,Pat Perez,28,2.57,229,89
46,T44,T44,Brett Quigley,31,2.57,236,92
