,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,76,34.55,2557,74
1,2,2,Jim Furyk,94,34.76,3233,93
2,3,3,Loren Roberts,54,34.92,1851,53
3,4,4,Retief Goosen,71,35.05,2138,61
4,5,5,Vijay Singh,111,35.13,3829,109
5,T6,T6,J.J. Henry,102,35.17,3517,100
6,T6,T6,Heath Slocum,103,35.17,3482,99
7,8,8,Phil Mickelson,81,35.18,2603,74
8,9,9,Justin Rose,99,35.19,3343,95
9,10,10,Davis Love III,80,35.2,2640,75
10,11,11,Olin Browne,99,35.21,3345,95
11,12,12,John Senden,101,35.22,3487,99
12,13,13,Bart Bryant,91,35.24,3207,91
13,14,14,Jason Bohn,91,35.25,3208,91
14,15,15,Scott Verplank,87,35.26,3032,86
15,16,16,Fred Couples,72,35.29,2400,68
16,17,17,Vaughn Taylor,99,35.3,3495,99
17,T18,T18,Arjun Atwal,65,35.31,2295,65
18,T18,T18,Steve Stricker,62,35.31,2189,62
19,20,20,Jonathan Kaye,77,35.32,2614,74
20,T21,T21,Jeff Brehaut,71,35.33,2367,67
21,T21,T21,Corey Pavin,77,35.33,2579,73
22,T21,T21,Bob Tway,87,35.33,2932,83
23,T24,T24,Bob Estes,92,35.34,3251,92
24,T24,T24,Richard Johnson,50,35.34,1767,50
25,T24,T24,John Rollins,97,35.34,3357,95
26,T24,T24,Darron Stiles,78,35.34,2686,76
27,T28,T28,Chad Campbell,95,35.35,3252,92
28,T28,T28,Ben Crane,78,35.35,2616,74
29,T28,T28,Kenny Perry,82,35.35,2828,80
30,31,31,Briny Baird,98,35.36,3395,96
31,32,32,Kevin Sutherland,89,35.37,3077,87
32,T33,T33,Sergio Garcia,73,35.38,2406,68
33,T33,T33,Bo Van Pelt,112,35.38,3963,112
34,35,35,Justin Leonard,78,35.4,2655,75
35,T36,T36,Dan Forsman,52,35.42,1771,50
36,T36,T36,Tag Ridings,93,35.42,3223,91
37,T38,T38,Fred Funk,102,35.43,3578,101
38,T38,T38,Jeff Maggert,79,35.43,2622,74
39,T38,T38,Joey Sindelar,104,35.43,3685,104
40,T41,T41,Harrison Frazar,105,35.44,3579,101
41,T41,T41,Charles Howell III,95,35.44,3190,90
42,T41,T41,Shigeki Maruyama,99,35.44,3473,98
43,T41,T41,Billy Mayfair,114,35.44,3898,110
44,T45,T45,Luke Donald,67,35.45,2127,60
45,T45,T45,José María Olazábal,55,35.45,1879,53
46,T45,T45,Mario Tiziani,67,35.45,2304,65
47,T45,T45,D.J. Trahan,81,35.45,2730,77
48,T49,T49,Tim Clark,92,35.46,3085,87
49,T49,T49,Dudley Hart,84,35.46,2979,84
50,T49,T49,Tim Herron,100,35.46,3511,99
51,T49,T49,Kirk Triplett,55,35.46,1844,52
52,53,53,Robert Allenby,95,35.48,3158,89
53,T54,T54,Mathias Grönberg,60,35.5,2059,58
54,T54,T54,Hunter Mahan,103,35.5,3585,101
55,T54,T54,Tom Pernice Jr.,111,35.5,3799,107
56,T54,T54,Adam Scott,72,35.5,2414,68
57,T54,T54,Joey Snyder III,102,35.5,3479,98
58,59,59,K.J. Choi,78,35.51,2592,73
59,T60,T60,Sean O'Hair,103,35.52,3516,99
60,T60,T60,Roland Thatcher,75,35.52,2593,73
61,T60,T60,David Toms,87,35.52,2735,77
62,T60,T60,Charles Warren,89,35.52,3090,87
63,T60,T60,Dean Wilson,86,35.52,3055,86
64,65,65,Jeff Sluman,94,35.53,3340,94
65,T66,T66,Zach Johnson,96,35.54,3376,95
66,T66,T66,Tom Lehman,69,35.54,2381,67
67,T68,T68,Doug Barron,70,35.56,2489,70
68,T68,T68,Rocco Mediate,73,35.56,2596,73
69,T68,T68,Geoff Ogilvy,97,35.56,3307,93
70,T71,T71,Jerry Kelly,101,35.57,3521,99
71,T71,T71,Pat Perez,89,35.57,3166,89
72,T71,T71,Carl Pettersson,109,35.57,3735,105
73,T74,T74,Bernhard Langer,67,35.58,2384,67
74,T74,T74,Brett Quigley,96,35.58,3273,92
75,T76,T76,John Cook,72,35.59,2491,70
76,T76,T76,Brandt Jobe,96,35.59,3274,92
77,T76,T76,Neal Lancaster,95,35.59,3381,95
78,T76,T76,Arron Oberholser,65,35.59,2242,63
79,T76,T76,Greg Owen,84,35.59,2847,80
80,T76,T76,Hidemichi Tanaka,106,35.59,3630,102
81,82,82,Michael Allen,90,35.6,3204,90
82,83,83,Tjaart van der Walt,56,35.61,1994,56
83,T84,T84,Daniel Chopra,108,35.62,3704,104
