,First_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_2_Scoring_Average_AVG,First_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,John Senden,68.2,341,5
1,2,2,Joey Sindelar,68.33,410,6
2,3,3,Ben Crane,68.4,342,5
3,4,4,José María Olazábal,68.5,274,4
4,5,5,Tiger Woods,68.69,1099,16
5,6,6,Justin Rose,68.75,550,8
6,T7,T7,Jesper Parnevik,68.8,344,5
7,T7,T7,Vijay Singh,68.8,688,10
8,9,9,Arjun Atwal,68.86,482,7
9,10,10,Tim Herron,68.88,551,8
10,11,11,Phil Mickelson,69.0,276,4
11,12,12,Neal Lancaster,69.14,484,7
12,T13,T13,Steve Elkington,69.2,346,5
13,T13,T13,Paul Gow,69.2,346,5
14,15,15,Scott Verplank,69.33,624,9
15,T16,T16,Doug Barron,69.4,347,5
16,T16,T16,Bart Bryant,69.4,347,5
17,T16,T16,Chad Campbell,69.4,694,10
18,T16,T16,Zach Johnson,69.4,694,10
19,T20,T20,Jay Haas,69.5,139,2
20,T20,T20,Nick Watney,69.5,278,4
21,T20,T20,Lee Westwood,69.5,139,2
22,23,23,Mark Wilson,69.56,626,9
23,24,24,Kevin Sutherland,69.63,557,8
24,25,25,Sean O'Hair,69.67,627,9
25,26,26,Sergio Garcia,69.71,488,7
26,T27,T27,Kent Jones,69.8,349,5
27,T27,T27,Kirk Triplett,69.8,349,5
28,T29,T29,Harrison Frazar,69.83,419,6
29,T29,T29,Ted Purdy,69.83,419,6
30,T31,T31,Chris Anderson,70.0,490,7
31,T31,T31,Daniel Chopra,70.0,350,5
32,T31,T31,Todd Fischer,70.0,1050,15
33,T31,T31,Retief Goosen,70.0,280,4
34,T31,T31,Bob Heintz,70.0,210,3
35,T31,T31,Joe Ogilvie,70.0,350,5
36,T31,T31,Tag Ridings,70.0,700,10
37,T31,T31,D.J. Trahan,70.0,420,6
38,T31,T31,Bob Tway,70.0,420,6
39,40,40,Aaron Baddeley,70.13,561,8
40,T41,T41,Steve Allan,70.14,491,7
41,T41,T41,Jonathan Byrd,70.14,491,7
42,T41,T41,Will MacKenzie,70.14,491,7
43,T44,T44,Robert Damron,70.17,421,6
44,T44,T44,Charles Warren,70.17,421,6
45,46,46,David Hearn,70.2,351,5
46,47,47,Jerry Kelly,70.3,703,10
47,48,48,Hunter Mahan,70.31,914,13
48,T49,T49,Glen Day,70.33,422,6
49,T49,T49,Robert Gamez,70.33,422,6
50,T49,T49,Jonathan Kaye,70.33,422,6
51,T49,T49,Arron Oberholser,70.33,211,3
