,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Tiger Woods,76,26.13,348,1332
1,2,2,Phil Mickelson,81,24.77,330,1332
2,3,3,Brenden Pappas,51,23.64,217,918
3,4,4,Arjun Atwal,65,23.25,272,1170
4,5,5,David Toms,87,23.09,320,1386
5,6,6,Tag Ridings,93,22.89,375,1638
6,7,7,Scott Verplank,87,22.74,352,1548
7,8,8,Vijay Singh,111,22.68,445,1962
8,9,9,Harrison Frazar,105,22.33,406,1818
9,T10,T10,Tim Clark,92,22.22,348,1566
10,T10,T10,Scott Gutschewski,86,22.22,328,1476
11,12,12,Ryan Palmer,101,22.11,386,1746
12,13,13,Geoff Ogilvy,97,22.04,369,1674
13,14,14,Tim Herron,100,21.94,391,1782
14,15,15,Ben Crane,78,21.85,291,1332
15,T16,T16,Fred Couples,72,21.81,267,1224
16,T16,T16,Bob Heintz,67,21.81,263,1206
17,18,18,Steve Stricker,62,21.77,243,1116
18,19,19,Kenny Perry,82,21.74,313,1440
19,20,20,Bo Van Pelt,112,21.63,436,2016
20,21,21,Jim Furyk,94,21.62,362,1674
21,22,22,Richard Johnson,50,21.56,194,900
22,T23,T23,Vaughn Taylor,99,21.55,384,1782
23,T23,T23,Brett Wetterich,76,21.55,287,1332
24,25,25,Charles Warren,89,21.52,337,1566
25,26,26,Davis Love III,80,21.48,290,1350
26,27,27,Billy Mayfair,114,21.46,425,1980
27,28,28,Retief Goosen,71,21.4,235,1098
28,29,29,Joe Ogilvie,103,21.38,381,1782
29,30,30,Woody Austin,100,21.33,384,1800
30,31,31,Sergio Garcia,73,21.32,261,1224
31,32,32,Mark Calcavecchia,92,21.3,345,1620
32,33,33,Marco Dawson,82,21.27,314,1476
33,34,34,Kevin Stadler,96,21.26,352,1656
34,35,35,Dan Forsman,52,21.22,191,900
35,36,36,Robert Allenby,95,21.16,339,1602
36,37,37,John Daly,78,21.13,289,1368
37,38,38,Lucas Glover,88,21.12,327,1548
38,39,39,Jonathan Kaye,77,21.1,281,1332
39,40,40,Billy Andrade,83,21.08,315,1494
40,41,41,Hunter Mahan,103,21.07,383,1818
41,42,42,John Huston,90,21.06,326,1548
42,43,43,Chris Smith,93,21.03,352,1674
43,44,44,Bart Bryant,91,21.0,344,1638
44,45,45,Darron Stiles,78,20.98,287,1368
45,T46,T46,Dudley Hart,84,20.97,317,1512
46,T46,T46,Rod Pampling,89,20.97,317,1512
47,48,48,Hunter Haas,83,20.96,298,1422
48,49,49,Jeff Brehaut,71,20.9,252,1206
49,50,50,Steve Lowery,100,20.89,361,1728
50,T51,T51,Aaron Baddeley,84,20.87,308,1476
51,T51,T51,Duffy Waldorf,86,20.87,308,1476
52,T51,T51,Dean Wilson,86,20.87,323,1548
53,54,54,Frank Lickliter II,100,20.83,360,1728
54,T55,T55,Zach Johnson,96,20.82,356,1710
55,T55,T55,Justin Rose,99,20.82,356,1710
56,57,57,Kent Jones,99,20.79,363,1746
57,58,58,Brian Davis,75,20.74,280,1350
58,59,59,Patrick Sheehan,114,20.71,410,1980
59,60,60,Joey Sindelar,104,20.67,387,1872
60,61,61,Brad Faxon,75,20.66,264,1278
61,62,62,Brandt Jobe,96,20.65,342,1656
62,63,63,Robert Gamez,91,20.63,338,1638
63,64,64,Daniel Chopra,108,20.62,386,1872
64,65,65,D.J. Trahan,81,20.56,285,1386
65,T66,T66,Jonathan Byrd,103,20.54,366,1782
66,T66,T66,Sean O'Hair,103,20.54,366,1782
67,T66,T66,John Senden,101,20.54,366,1782
68,69,69,John Rollins,97,20.53,351,1710
69,70,70,Mark Hensby,70,20.51,251,1224
70,71,71,Craig Barlow,81,20.49,284,1386
71,72,72,Carl Pettersson,109,20.48,387,1890
72,73,73,Scott Hend,75,20.47,269,1314
73,74,74,Neal Lancaster,95,20.41,349,1710
74,75,75,Briny Baird,98,20.37,352,1728
75,T76,T76,Cameron Beckman,96,20.35,337,1656
76,T76,T76,Brett Quigley,96,20.35,337,1656
77,T76,T76,Nick Watney,91,20.35,326,1602
78,79,79,José María Olazábal,55,20.34,194,954
79,80,80,Shigeki Maruyama,99,20.29,358,1764
80,81,81,Adam Scott,72,20.26,248,1224
81,T82,T82,Will MacKenzie,75,20.24,266,1314
82,T82,T82,Phillip Price,77,20.24,266,1314
83,T82,T82,Mark Wilson,74,20.24,255,1260
84,85,85,Ted Purdy,122,20.22,444,2196
85,86,86,Chad Campbell,95,20.17,334,1656
86,87,87,Hidemichi Tanaka,106,20.15,370,1836
87,88,88,Greg Owen,84,20.14,290,1440
88,89,89,Olin Browne,99,20.12,344,1710
89,90,90,Justin Leonard,78,20.07,271,1350
90,T91,T91,Brian Bateman,98,20.04,339,1692
91,T91,T91,Pat Perez,89,20.04,321,1602
92,T93,T93,Jason Bohn,91,20.02,328,1638
93,T93,T93,Mathias Grönberg,60,20.02,209,1044
94,T93,T93,J.P. Hayes,63,20.02,227,1134
95,96,96,Rory Sabbatini,81,20.01,281,1404
96,97,97,Paul Azinger,66,19.95,237,1188
97,98,98,Ryuji Imada,78,19.94,280,1404
98,T99,T99,Chris DiMarco,83,19.93,269,1350
99,T99,T99,Hank Kuehne,84,19.93,287,1440
100,101,101,Heath Slocum,103,19.92,355,1782
101,102,102,Jeff Maggert,79,19.89,265,1332
102,103,103,Stewart Cink,98,19.88,322,1620
103,104,104,Stuart Appleby,84,19.86,286,1440
104,T105,T105,J.L. Lewis,98,19.84,350,1764
105,T105,T105,Joey Snyder III,102,19.84,350,1764
106,107,107,Tom Pernice Jr.,111,19.78,381,1926
107,108,108,Doug Barron,70,19.76,249,1260
108,109,109,Bob Tway,87,19.75,295,1494
109,T110,T110,K.J. Choi,78,19.71,259,1314
110,T110,T110,Omar Uresti,84,19.71,298,1512
111,T112,T112,Michael Allen,90,19.69,319,1620
