,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Tiger Woods,76,+2.67,69.11,71.78
1,2,2,Vijay Singh,111,+2.24,69.59,71.83
2,3,3,Phil Mickelson,81,+1.86,69.86,71.72
3,4,4,Jim Furyk,94,+1.84,69.68,71.52
4,5,5,Luke Donald,67,+1.55,70.27,71.82
5,6,6,Sergio Garcia,73,+1.53,70.24,71.77
6,7,7,Kenny Perry,82,+1.45,70.04,71.49
7,8,8,David Toms,87,+1.41,70.05,71.46
8,9,9,Davis Love III,80,+1.27,70.45,71.72
9,10,10,José María Olazábal,55,+1.23,70.66,71.89
10,11,11,Retief Goosen,71,+1.16,70.54,71.7
11,12,12,Tim Herron,100,+1.13,70.36,71.49
12,13,13,Scott Verplank,87,+1.10,70.23,71.33
13,14,14,Tim Clark,92,+1.06,70.49,71.55
14,15,15,Loren Roberts,54,+1.02,70.55,71.57
15,16,16,Adam Scott,72,+1.01,70.87,71.88
16,17,17,Ben Crane,78,+1.00,69.89,70.89
17,18,18,Shigeki Maruyama,99,+.94,70.55,71.49
18,19,19,Geoff Ogilvy,97,+.93,70.51,71.44
19,T20,T20,Charles Howell III,95,+.91,70.72,71.63
20,T20,T20,Billy Mayfair,114,+.91,70.36,71.27
21,T22,T22,Bart Bryant,91,+.90,70.24,71.14
22,T22,T22,Stewart Cink,98,+.90,70.62,71.52
23,T22,T22,Bob Estes,92,+.90,70.41,71.31
24,25,25,Fred Couples,72,+.86,70.94,71.8
25,26,26,Chris DiMarco,83,+.85,70.77,71.62
26,T27,T27,Justin Leonard,78,+.84,70.53,71.37
27,T27,T27,Justin Rose,99,+.84,70.48,71.32
28,29,29,Zach Johnson,96,+.82,70.81,71.63
29,30,30,Arjun Atwal,65,+.80,70.4,71.2
30,T31,T31,Dudley Hart,84,+.76,70.54,71.3
31,T31,T31,Arron Oberholser,65,+.76,70.68,71.44
32,33,33,Bernhard Langer,67,+.75,71.09,71.84
33,34,34,Chad Campbell,95,+.74,70.67,71.41
34,35,35,Steve Elkington,67,+.73,70.64,71.37
35,T36,T36,Brandt Jobe,96,+.72,70.73,71.45
36,T36,T36,Richard Johnson,50,+.72,70.28,71.0
37,T38,T38,K.J. Choi,78,+.71,71.12,71.83
38,T38,T38,Tom Pernice Jr.,111,+.71,70.95,71.66
39,40,40,Jason Bohn,91,+.68,70.44,71.12
40,T41,T41,Mark Calcavecchia,92,+.66,70.76,71.42
41,T41,T41,Fred Funk,102,+.66,70.89,71.55
42,T43,T43,Brad Faxon,75,+.65,70.94,71.59
43,T43,T43,Brett Quigley,96,+.65,70.85,71.5
44,T45,T45,Greg Owen,84,+.64,71.14,71.78
45,T45,T45,Kevin Sutherland,89,+.64,70.7,71.34
46,47,47,John Senden,101,+.63,70.6,71.23
47,T48,T48,Stuart Appleby,84,+.61,70.83,71.44
48,T48,T48,Jerry Kelly,101,+.61,70.99,71.6
49,T50,T50,Rod Pampling,89,+.60,71.15,71.75
50,T50,T50,Bob Tway,87,+.60,70.77,71.37
51,T52,T52,Robert Allenby,95,+.59,70.89,71.48
52,T52,T52,Sean O'Hair,103,+.59,70.85,71.44
53,T54,T54,Vaughn Taylor,99,+.57,70.76,71.33
54,T54,T54,Bo Van Pelt,112,+.57,70.67,71.24
55,56,56,Stephen Ames,82,+.55,71.22,71.77
56,57,57,Brian Davis,75,+.53,71.07,71.6
57,T58,T58,Olin Browne,99,+.52,70.43,70.95
58,T58,T58,Tom Lehman,69,+.52,71.07,71.59
59,T60,T60,Lucas Glover,88,+.51,70.94,71.45
60,T60,T60,Carl Pettersson,109,+.51,70.7,71.21
61,T62,T62,Woody Austin,100,+.50,70.94,71.44
62,T62,T62,Joe Ogilvie,103,+.50,71.31,71.81
63,T62,T62,Jesper Parnevik,84,+.50,71.09,71.59
64,65,65,Dean Wilson,86,+.49,70.7,71.19
65,66,66,Harrison Frazar,105,+.48,70.54,71.02
66,T67,T67,J.L. Lewis,98,+.47,71.0,71.47
67,T67,T67,Heath Slocum,103,+.47,70.56,71.03
68,69,69,J.J. Henry,102,+.46,70.69,71.15
69,70,70,Corey Pavin,77,+.43,70.81,71.24
70,71,71,Joe Durant,81,+.42,71.01,71.43
71,T72,T72,Billy Andrade,83,+.41,71.12,71.53
72,T72,T72,Jeff Brehaut,71,+.41,70.54,70.95
73,T72,T72,Pat Perez,89,+.41,71.11,71.52
74,75,75,Mathias Grönberg,60,+.40,70.6,71.0
75,76,76,Scott Gutschewski,86,+.39,70.79,71.18
76,77,77,Padraig Harrington,50,+.35,71.52,71.87
77,T78,T78,Carlos Franco,78,+.34,71.07,71.41
78,T78,T78,Freddie Jacobson,72,+.34,71.44,71.78
79,T78,T78,Peter Lonard,85,+.34,71.31,71.65
