,Late_Par_3_Scoring_Average_RANK THIS WEEK,Late_Par_3_Scoring_Average_RANK LAST WEEK,Late_Par_3_Scoring_Average_PLAYER NAME,Late_Par_3_Scoring_Average_ROUNDS,Late_Par_3_Scoring_Average_AVG,Late_Par_3_Scoring_Average_TOTAL STROKES,Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Chad Campbell,95,2.94,529,180
1,T2,T2,Tom Byrum,83,2.97,463,156
2,T2,T2,Ben Crane,78,2.97,478,161
3,T2,T2,Brad Faxon,75,2.97,425,143
4,T2,T2,José María Olazábal,55,2.97,327,110
5,T6,T6,Stewart Cink,98,2.98,497,167
6,T6,T6,Jim Furyk,94,2.98,668,224
7,T6,T6,Brenden Pappas,51,2.98,274,92
8,T9,T9,Luke Donald,67,2.99,371,124
9,T9,T9,Fred Funk,102,2.99,545,182
10,T9,T9,Corey Pavin,77,2.99,457,153
11,T9,T9,Loren Roberts,54,2.99,353,118
12,T9,T9,Duffy Waldorf,86,2.99,446,149
13,T14,T14,Kenny Perry,82,3.0,613,204
14,T14,T14,Jay Williamson,53,3.0,318,106
15,T16,T16,Jeff Brehaut,71,3.01,446,148
16,T16,T16,Mark Brooks,72,3.01,367,122
17,T16,T16,Bill Glasson,54,3.01,280,93
18,T16,T16,Mathias Grönberg,60,3.01,376,125
19,T16,T16,Jerry Kelly,101,3.01,630,209
20,T16,T16,Stephen Leaney,89,3.01,547,182
21,T16,T16,Rocco Mediate,73,3.01,410,136
22,T16,T16,Pat Perez,89,3.01,578,192
23,T16,T16,Hidemichi Tanaka,106,3.01,547,182
24,T16,T16,Kirk Triplett,55,3.01,352,117
25,T26,T26,Jeff Hart,63,3.02,366,121
26,T26,T26,J.J. Henry,102,3.02,556,184
27,T26,T26,Thomas Levet,54,3.02,293,97
28,T26,T26,Phillip Price,77,3.02,372,123
29,T30,T30,Stephen Ames,82,3.03,412,136
30,T30,T30,Woody Austin,100,3.03,599,198
31,T30,T30,Craig Barlow,81,3.03,458,151
32,T30,T30,Olin Browne,99,3.03,610,201
33,T30,T30,Lucas Glover,88,3.03,478,158
34,T30,T30,Dudley Hart,84,3.03,573,189
35,T30,T30,J.L. Lewis,98,3.03,581,192
36,T30,T30,Ryan Palmer,101,3.03,536,177
37,T30,T30,D.A. Points,94,3.03,539,178
38,T30,T30,Justin Rose,99,3.03,603,199
39,T30,T30,Bo Van Pelt,112,3.03,658,217
40,T41,T41,Aaron Baddeley,84,3.04,517,170
41,T41,T41,Jason Bohn,91,3.04,629,207
42,T41,T41,Mark Calcavecchia,92,3.04,483,159
43,T41,T41,Fred Couples,72,3.04,365,120
44,T41,T41,James Driscoll,73,3.04,441,145
45,T41,T41,Todd Fischer,99,3.04,593,195
46,T41,T41,Jonathan Kaye,77,3.04,417,137
47,T41,T41,Arron Oberholser,65,3.04,444,146
48,T41,T41,John Senden,101,3.04,548,180
