,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Tiger Woods,76,1.96,348,178
1,2,2,Vijay Singh,111,1.79,445,249
2,3,3,Jim Furyk,94,1.65,362,220
3,4,4,Phil Mickelson,81,1.62,330,204
4,5,5,Richard Johnson,50,1.49,194,130
5,6,6,David Toms,87,1.43,320,224
6,T7,T7,Jeff Brehaut,71,1.42,252,177
7,T7,T7,Dudley Hart,84,1.42,317,223
8,T9,T9,Harrison Frazar,105,1.4,406,289
9,T9,T9,Sergio Garcia,73,1.4,261,186
10,T9,T9,Billy Mayfair,114,1.4,425,304
11,T9,T9,José María Olazábal,55,1.4,194,139
12,T9,T9,Justin Rose,99,1.4,356,254
13,T9,T9,Scott Verplank,87,1.4,352,252
14,T15,T15,Olin Browne,99,1.38,344,249
15,T15,T15,Dan Forsman,52,1.38,191,138
16,T15,T15,Tim Herron,100,1.38,391,283
17,T15,T15,Kenny Perry,82,1.38,313,226
18,T19,T19,Geoff Ogilvy,97,1.36,369,272
19,T19,T19,Heath Slocum,103,1.36,355,261
20,T19,T19,Kevin Sutherland,89,1.36,308,226
21,T22,T22,Bart Bryant,91,1.35,344,255
22,T22,T22,Carl Pettersson,109,1.35,387,286
23,T22,T22,Phillip Price,77,1.35,266,197
24,T22,T22,John Senden,101,1.35,366,272
25,T22,T22,Joey Sindelar,104,1.35,387,287
26,T27,T27,Marco Dawson,82,1.34,315,235
27,T27,T27,Davis Love III,80,1.34,290,217
28,T27,T27,Steve Stricker,62,1.34,243,182
29,T30,T30,Darron Stiles,78,1.33,287,216
30,T30,T30,Bo Van Pelt,112,1.33,436,328
31,T32,T32,Arjun Atwal,65,1.32,272,206
32,T32,T32,Luke Donald,67,1.32,210,159
33,T32,T32,Bob Tway,87,1.32,295,224
34,T35,T35,Retief Goosen,71,1.31,235,180
35,T35,T35,Scott Gutschewski,86,1.31,328,251
36,T35,T35,Dean Wilson,86,1.31,324,247
37,T38,T38,Doug Barron,70,1.3,249,191
38,T38,T38,Tim Clark,92,1.3,348,267
39,T38,T38,Ben Crane,78,1.3,291,223
40,T38,T38,Brett Quigley,96,1.3,337,260
41,T42,T42,Stewart Cink,98,1.29,322,250
42,T42,T42,Chris DiMarco,83,1.29,269,208
43,T42,T42,Lucas Glover,88,1.29,327,254
44,T42,T42,Zach Johnson,96,1.29,356,276
45,T42,T42,Shigeki Maruyama,99,1.29,358,277
46,T47,T47,Jason Bohn,91,1.28,328,256
47,T47,T47,Tag Ridings,93,1.28,376,293
48,T49,T49,Daniel Chopra,108,1.27,386,305
49,T49,T49,Loren Roberts,54,1.27,183,144
50,T49,T49,Mark Wilson,74,1.27,255,201
51,T52,T52,Briny Baird,98,1.26,352,280
52,T52,T52,Bob Estes,92,1.26,322,256
53,T52,T52,J.J. Henry,102,1.26,352,280
54,T52,T52,Nick Watney,91,1.26,326,259
55,T56,T56,Jeff Sluman,94,1.25,325,261
56,T56,T56,Hidemichi Tanaka,106,1.25,370,295
57,T56,T56,Vaughn Taylor,99,1.25,384,306
58,T59,T59,Robert Allenby,95,1.24,339,273
59,T59,T59,Steve Elkington,67,1.24,223,180
60,T59,T59,Justin Leonard,78,1.24,271,218
61,T59,T59,Brenden Pappas,51,1.24,217,175
62,T59,T59,Tom Pernice Jr.,111,1.24,381,308
63,T64,T64,Stuart Appleby,84,1.23,286,232
64,T64,T64,Chad Campbell,95,1.23,334,271
65,T64,T64,Ryan Palmer,101,1.23,386,313
66,T64,T64,Brett Wetterich,76,1.23,287,234
67,T68,T68,Fred Couples,72,1.22,267,219
68,T68,T68,Ryuji Imada,78,1.22,280,229
69,T68,T68,Jonathan Kaye,77,1.22,281,230
70,T68,T68,Neal Lancaster,95,1.22,349,287
71,T68,T68,Sean O'Hair,103,1.22,366,300
72,T68,T68,Arron Oberholser,65,1.22,220,181
73,T74,T74,Mark Calcavecchia,92,1.21,345,284
74,T74,T74,Brian Davis,75,1.21,280,232
75,T74,T74,Joe Durant,81,1.21,287,238
76,T74,T74,Mathias Grönberg,60,1.21,210,173
77,T74,T74,Charles Howell III,95,1.21,319,264
78,T74,T74,Greg Owen,84,1.21,290,240
79,T80,T80,Corey Pavin,77,1.2,252,210
80,T80,T80,Omar Uresti,84,1.2,298,249
81,T82,T82,Billy Andrade,83,1.19,315,265
82,T82,T82,Aaron Baddeley,84,1.19,308,259
83,T82,T82,Hunter Haas,83,1.19,298,250
84,T82,T82,Brandt Jobe,96,1.19,342,287
85,T82,T82,Jerry Kelly,101,1.19,343,288
86,T82,T82,Stephen Leaney,89,1.19,301,254
87,T82,T82,Pat Perez,89,1.19,321,269
88,T82,T82,Adam Scott,72,1.19,248,209
89,T82,T82,Kirk Triplett,55,1.19,184,154
90,T91,T91,Woody Austin,100,1.18,384,325
91,T91,T91,Brad Faxon,75,1.18,264,223
92,T91,T91,Carlos Franco,78,1.18,267,226
93,T91,T91,Bob Heintz,67,1.18,263,222
94,T91,T91,Duffy Waldorf,86,1.18,308,262
95,T96,T96,Robert Gamez,91,1.17,338,290
96,T96,T96,Kent Jones,99,1.17,363,310
