,First_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_2_Scoring_Average_AVG,First_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Retief Goosen,67.0,67,1
1,2,2,Billy Mayfair,67.11,604,9
2,T3,T3,Arjun Atwal,67.67,203,3
3,T3,T3,Steve Stricker,67.67,203,3
4,5,5,Phil Mickelson,67.75,271,4
5,6,6,Kevin Sutherland,67.8,339,5
6,T7,T7,Dan Forsman,68.0,272,4
7,T7,T7,Jerry Kelly,68.0,204,3
8,T7,T7,Frank Lickliter II,68.0,204,3
9,T7,T7,David Toms,68.0,272,4
10,11,11,Dean Wilson,68.2,341,5
11,12,12,Olin Browne,68.25,273,4
12,13,13,Jeff Maggert,68.4,342,5
13,14,14,Peter Lonard,68.5,411,6
14,15,15,Heath Slocum,68.6,343,5
15,16,16,Lee Westwood,68.67,206,3
16,17,17,Jim Furyk,68.7,687,10
17,18,18,Paul Azinger,68.75,275,4
18,19,19,Loren Roberts,68.83,413,6
19,20,20,Stephen Leaney,68.86,482,7
20,21,21,Tim Herron,68.91,758,11
21,T22,T22,Luke Donald,69.0,207,3
22,T22,T22,Richard Johnson,69.0,345,5
23,24,24,Craig Barlow,69.13,553,8
24,25,25,Tjaart van der Walt,69.17,415,6
25,26,26,Jim Carter,69.25,277,4
26,27,27,J.P. Hayes,69.29,485,7
27,T28,T28,K.J. Choi,69.33,208,3
28,T28,T28,Scott McCarron,69.33,416,6
29,T28,T28,Roland Thatcher,69.33,416,6
30,31,31,Patrick Sheehan,69.36,763,11
31,32,32,John Daly,69.38,555,8
32,T33,T33,Davis Love III,69.4,347,5
33,T33,T33,Adam Scott,69.4,347,5
34,35,35,Paul Gow,69.43,486,7
35,36,36,Bo Van Pelt,69.54,904,13
36,37,37,Scott Verplank,69.57,487,7
37,T38,T38,Stuart Appleby,69.67,627,9
38,T38,T38,Ben Crane,69.67,627,9
39,T38,T38,Brad Faxon,69.67,418,6
40,T38,T38,Scott Gutschewski,69.67,418,6
41,T38,T38,Zach Johnson,69.67,418,6
42,T38,T38,Jay Williamson,69.67,209,3
43,T44,T44,Kent Jones,69.7,697,10
44,T44,T44,Justin Rose,69.7,697,10
45,46,46,Tommy Armour III,69.71,488,7
46,T47,T47,Doug Barron,69.75,279,4
47,T47,T47,Mark Brooks,69.75,558,8
48,T47,T47,Jay Haas,69.75,279,4
49,50,50,Steve Flesch,69.78,628,9
50,51,51,Mark Calcavecchia,69.83,419,6
51,52,52,Hunter Mahan,69.89,629,9
52,T53,T53,Stewart Cink,70.0,210,3
53,T53,T53,Marco Dawson,70.0,280,4
54,T53,T53,Ryuji Imada,70.0,560,8
55,T53,T53,Tom Lehman,70.0,350,5
56,T53,T53,Greg Owen,70.0,350,5
57,T53,T53,Corey Pavin,70.0,490,7
58,T53,T53,Ted Purdy,70.0,840,12
59,T53,T53,Jeff Sluman,70.0,420,6
60,T53,T53,Joey Snyder III,70.0,770,11
61,T53,T53,Charlie Wi,70.0,280,4
62,63,63,Steve Lowery,70.1,701,10
63,T64,T64,Bob Estes,70.13,561,8
64,T64,T64,Vijay Singh,70.13,561,8
65,T66,T66,Tim Clark,70.14,491,7
66,T66,T66,Rod Pampling,70.14,491,7
67,T68,T68,Lucas Glover,70.2,351,5
68,T68,T68,Bob Tway,70.2,351,5
69,T70,T70,Robert Allenby,70.22,632,9
70,T70,T70,Daniel Chopra,70.22,632,9
71,T72,T72,D.J. Brigman,70.25,281,4
72,T72,T72,Padraig Harrington,70.25,281,4
73,T72,T72,Bob Heintz,70.25,562,8
74,T72,T72,Rory Sabbatini,70.25,281,4
75,76,76,Brandt Jobe,70.3,703,10
76,T77,T77,Danny Briggs,70.33,211,3
77,T77,T77,Harrison Frazar,70.33,422,6
78,T77,T77,Sergio Garcia,70.33,422,6
79,T77,T77,Hunter Haas,70.33,422,6
80,T77,T77,Glen Hnatiuk,70.33,422,6
81,T77,T77,Shigeki Maruyama,70.33,422,6
82,83,83,Mario Tiziani,70.38,563,8
