,Top_5_Final_Round_Performance_RANK THIS WEEK,Top_5_Final_Round_Performance_RANK LAST WEEK,Top_5_Final_Round_Performance_PLAYER NAME,Top_5_Final_Round_Performance_EVENTS,Top_5_Final_Round_Performance_% TIMES IMPROVED,Top_5_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Aaron Baddeley,27,100.0,1.0
1,T1,T1,Doug Barron,24,100.0,2.0
2,T1,T1,Rich Beem,26,100.0,2.0
3,T1,T1,Jason Bohn,28,100.0,3.0
4,T1,T1,Bart Bryant,26,100.0,2.0
5,T1,T1,Stewart Cink,26,100.0,1.0
6,T1,T1,Fred Couples,22,100.0,1.0
7,T1,T1,Ben Crane,21,100.0,1.0
8,T1,T1,Ben Curtis,24,100.0,2.0
9,T1,T1,John Daly,25,100.0,1.0
10,T1,T1,Robert Damron,28,100.0,1.0
11,T1,T1,Joe Durant,25,100.0,1.0
12,T1,T1,Todd Fischer,35,100.0,1.0
13,T1,T1,Steve Flesch,30,100.0,1.0
14,T1,T1,Carlos Franco,25,100.0,1.0
15,T1,T1,Fred Funk,30,100.0,2.0
16,T1,T1,Brian Gay,33,100.0,1.0
17,T1,T1,Padraig Harrington,15,100.0,1.0
18,T1,T1,J.P. Hayes,22,100.0,1.0
19,T1,T1,Bob Heintz,24,100.0,1.0
20,T1,T1,J.J. Henry,32,100.0,1.0
21,T1,T1,Mark Hensby,21,100.0,1.0
22,T1,T1,Charles Howell III,29,100.0,2.0
23,T1,T1,Brendan Jones,28,100.0,1.0
24,T1,T1,Jerry Kelly,31,100.0,2.0
25,T1,T1,Hank Kuehne,30,100.0,1.0
26,T1,T1,Tom Lehman,20,100.0,1.0
27,T1,T1,Justin Leonard,24,100.0,2.0
28,T1,T1,J.L. Lewis,30,100.0,1.0
29,T1,T1,Shigeki Maruyama,29,100.0,2.0
30,T1,T1,Kevin Na,32,100.0,2.0
31,T1,T1,Joe Ogilvie,30,100.0,2.0
32,T1,T1,Greg Owen,24,100.0,2.0
33,T1,T1,Ryan Palmer,32,100.0,1.0
34,T1,T1,Ted Purdy,34,100.0,2.0
35,T1,T1,Adam Scott,19,100.0,2.0
36,T1,T1,Heath Slocum,29,100.0,2.0
37,T1,T1,Jeff Sluman,28,100.0,2.0
38,T1,T1,Chris Smith,32,100.0,1.0
39,T1,T1,Vaughn Taylor,32,100.0,1.0
40,T1,T1,Tjaart van der Walt,19,100.0,1.0
41,42,42,Tiger Woods,21,90.0,9.0
42,43,43,Phil Mickelson,21,83.3,5.0
43,44,44,Davis Love III,24,80.0,4.0
44,T45,T45,Jim Furyk,26,75.0,3.0
45,T45,T45,Sergio Garcia,20,75.0,3.0
46,T45,T45,Peter Lonard,27,75.0,3.0
47,T48,T48,Mark Calcavecchia,27,66.7,2.0
48,T48,T48,Chris DiMarco,24,66.7,2.0
49,T48,T48,Zach Johnson,30,66.7,2.0
50,T48,T48,Jonathan Kaye,24,66.7,2.0
51,T48,T48,Tom Pernice Jr.,32,66.7,2.0
52,T48,T48,Loren Roberts,18,66.7,2.0
53,T48,T48,Scott Verplank,25,66.7,2.0
54,55,55,Vijay Singh,30,62.5,5.0
55,T56,T56,Retief Goosen,18,60.0,3.0
56,T56,T56,José María Olazábal,16,60.0,3.0
57,T56,T56,Carl Pettersson,34,60.0,3.0
58,T59,T59,Arjun Atwal,17,50.0,1.0
59,T59,T59,Olin Browne,29,50.0,1.0
60,T59,T59,Tim Clark,26,50.0,2.0
61,T59,T59,Brian Davis,23,50.0,1.0
62,T59,T59,Luke Donald,18,50.0,2.0
63,T59,T59,Steve Elkington,20,50.0,1.0
64,T59,T59,Brad Faxon,23,50.0,1.0
65,T59,T59,Harrison Frazar,31,50.0,1.0
66,T59,T59,Robert Gamez,28,50.0,1.0
67,T59,T59,Lucas Glover,28,50.0,1.0
68,T59,T59,Brandt Jobe,27,50.0,1.0
69,T59,T59,Steve Lowery,32,50.0,1.0
70,T59,T59,Billy Mayfair,31,50.0,1.0
71,T59,T59,Sean O'Hair,29,50.0,1.0
72,T59,T59,Geoff Ogilvy,26,50.0,2.0
73,T59,T59,Jesper Parnevik,24,50.0,1.0
74,T59,T59,Pat Perez,28,50.0,1.0
75,T59,T59,Kenny Perry,23,50.0,3.0
76,T59,T59,Tim Petrovic,32,50.0,1.0
77,T59,T59,John Rollins,30,50.0,1.0
