,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,76,68.655,5114,- 33.517,74
1,2,2,Vijay Singh,111,69.04,7585,- 59.646,109
2,3,3,Jim Furyk,94,69.274,6480,- 37.549,93
3,4,4,Luke Donald,67,69.329,4216,- 56.256,60
4,5,5,Phil Mickelson,81,69.38600000000001,5170,- 35.411,74
5,6,6,Kenny Perry,82,69.477,5603,- 44.869,80
6,7,7,Sergio Garcia,73,69.639,4776,- 40.574,68
7,8,8,David Toms,87,69.66,5394,- 30.213,77
8,9,9,Ben Crane,78,69.7,5172,- 14.174,74
9,10,10,Davis Love III,80,69.839,5284,- 46.107,75
10,11,11,Scott Verplank,87,69.985,6040,- 21.280,86
11,12,12,Retief Goosen,71,70.055,4303,- 29.616,61
12,13,13,Tim Clark,92,70.067,6133,- 37.211,87
13,14,14,Loren Roberts,54,70.07600000000001,3739,- 24.961,53
14,15,15,Tim Herron,100,70.10600000000001,6966,- 25.528,99
15,16,16,Bob Estes,92,70.11,6478,- 27.878,92
16,17,17,José María Olazábal,55,70.111,3745,- 29.143,53
17,18,18,Justin Leonard,78,70.168,5290,- 27.387,75
18,19,19,Shigeki Maruyama,99,70.176,6914,- 36.716,98
19,20,20,Bart Bryant,91,70.187,6392,- 4.983,91
20,21,21,Adam Scott,72,70.19800000000001,4819,- 45.518,68
21,22,22,Chad Campbell,95,70.295,6502,- 34.863,92
22,23,23,Arron Oberholser,65,70.317,4453,- 23.006,63
23,24,24,Stewart Cink,98,70.32,6356,- 27.233,90
24,25,25,Steve Elkington,67,70.321,4733,- 21.465,67
25,26,26,Billy Mayfair,114,70.335,7740,- 3.174,110
26,27,27,Geoff Ogilvy,97,70.365,6557,- 13.037,93
27,28,28,Charles Howell III,95,70.367,6365,- 31.995,90
28,29,29,Fred Funk,102,70.375,7160,- 52.116,101
29,30,30,Zach Johnson,96,70.38,6727,- 40.912,95
30,31,31,Arjun Atwal,65,70.4,4576,.001,65
31,32,32,Chris DiMarco,83,70.405,5308,- 27.611,75
32,33,33,Brandt Jobe,96,70.43,6507,- 27.486,92
33,34,34,K.J. Choi,78,70.439,5192,- 49.975,73
34,35,35,Jason Bohn,91,70.475,6410,3.199,91
35,36,36,Mark Calcavecchia,92,70.49,6368,- 23.878,90
36,37,37,Fred Couples,72,70.502,4824,- 29.836,68
37,38,38,Richard Johnson,50,70.50399999999999,3514,11.186,50
38,39,39,Bernhard Langer,67,70.506,4763,- 39.099,67
39,40,40,Stephen Ames,82,70.507,5626,- 55.972,79
40,41,41,Justin Rose,99,70.514,6696,2.795,95
41,42,42,Stuart Appleby,84,70.543,5666,- 22.528,80
42,43,43,Brad Faxon,75,70.57,5037,- 26.559,71
43,44,44,Dudley Hart,84,70.59,5925,4.530,84
44,45,45,Jerry Kelly,101,70.594,7028,- 39.200,99
45,46,46,Sean O'Hair,103,70.613,7014,- 23.318,99
46,47,47,Rod Pampling,89,70.634,5977,- 43.752,84
47,48,48,Tom Pernice Jr.,111,70.637,7592,- 33.812,107
48,49,49,Tom Lehman,69,70.639,4762,- 29.209,67
49,50,50,Lee Westwood,50,70.657,3448,- 56.487,48
50,51,51,Bob Tway,87,70.66199999999999,5874,- 9.021,83
51,52,52,Kevin Sutherland,89,70.679,6151,- 1.969,87
52,53,53,John Senden,101,70.688,6989,9.144,99
53,54,54,Olin Browne,99,70.691,6691,24.619,95
54,55,55,Mathias Grönberg,60,70.714,4095,6.403,58
55,56,56,Corey Pavin,77,70.721,5169,- 6.348,73
56,57,57,Woody Austin,100,70.725,7094,- 21.531,100
57,58,58,Brett Quigley,96,70.73100000000001,6518,- 10.718,92
58,59,59,Heath Slocum,103,70.733,6985,17.532,99
59,60,60,Jesper Parnevik,84,70.742,5829,- 28.126,82
60,61,61,Rory Sabbatini,81,70.748,5570,- 51.654,78
61,62,62,J.L. Lewis,98,70.757,6958,- 23.783,98
62,63,63,Vaughn Taylor,99,70.765,7005,.763,99
63,64,64,Robert Allenby,95,70.766,6309,- 10.859,89
64,65,65,Bo Van Pelt,112,70.767,7915,10.921,112
65,66,66,Dean Wilson,86,70.796,6080,8.493,86
66,67,67,Pat Perez,89,70.798,6329,- 27.981,89
67,68,68,Greg Owen,84,70.811,5691,- 26.085,80
68,69,69,J.J. Henry,102,70.815,7069,12.515,100
69,70,70,Ted Purdy,122,70.831,8690,- 48.671,122
70,71,71,Lucas Glover,88,70.833,6101,- 9.400,86
71,72,72,Padraig Harrington,50,70.843,3433,- 32.526,48
72,73,73,Joe Ogilvie,103,70.852,7060,- 45.609,99
73,74,74,Harrison Frazar,105,70.858,7125,31.675,101
74,75,75,Rocco Mediate,73,70.861,5185,- 12.145,73
75,T76,T76,Carl Pettersson,109,70.877,7423,19.114,105
76,T76,T76,John Rollins,97,70.877,6754,- 20.682,95
77,78,78,Peter Lonard,85,70.878,5990,- 36.255,84
