,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Luke Donald,67,67.0,268,4
1,2,2,Sergio Garcia,73,68.0,476,7
2,3,3,Steve Stricker,62,68.6,686,10
3,4,4,Vijay Singh,111,68.63,549,8
4,5,5,Scott Verplank,87,68.89,620,9
5,6,6,Dudley Hart,84,69.09,760,11
6,T7,T7,Brandt Jobe,96,69.2,692,10
7,T7,T7,Richard Johnson,50,69.2,692,10
8,9,9,Thomas Levet,54,69.29,485,7
9,10,10,Tim Clark,92,69.33,832,12
10,11,11,Jim Furyk,94,69.42,833,12
11,T12,T12,Phil Mickelson,81,69.5,695,10
12,T12,T12,Kenny Perry,82,69.5,556,8
13,14,14,Kevin Sutherland,89,69.56,1113,16
14,15,15,Stewart Cink,98,69.6,696,10
15,16,16,Woody Austin,100,69.67,1463,21
16,17,17,Hidemichi Tanaka,106,69.68,1324,19
17,18,18,Jeff Brehaut,71,69.69,906,13
18,T19,T19,Paul Azinger,66,69.71,488,7
19,T19,T19,Jeff Sluman,94,69.71,976,14
20,21,21,Fred Funk,102,69.73,767,11
21,22,22,Olin Browne,99,69.8,1396,20
22,23,23,Carl Pettersson,109,69.85,1397,20
23,24,24,Marco Dawson,82,69.86,978,14
24,25,25,Sean O'Hair,103,69.88,559,8
25,26,26,Lee Janzen,75,69.9,699,10
26,27,27,Briny Baird,98,69.92,839,12
27,28,28,Brian Davis,75,69.93,979,14
28,29,29,Bob Estes,92,69.94,1189,17
29,T30,T30,Mark Calcavecchia,92,70.0,1050,15
30,T30,T30,Brett Quigley,96,70.0,1050,15
31,T30,T30,Kirk Triplett,55,70.0,490,7
32,33,33,Billy Mayfair,114,70.06,1261,18
33,34,34,Davis Love III,80,70.11,631,9
34,35,35,Gavin Coles,70,70.13,1052,15
35,36,36,Jonathan Kaye,77,70.14,982,14
36,37,37,Vaughn Taylor,99,70.15,1403,20
37,38,38,Jonathan Byrd,103,70.21,1334,19
38,39,39,Heath Slocum,103,70.25,843,12
39,40,40,J.L. Lewis,98,70.26,1616,23
40,41,41,Jay Williamson,53,70.27,773,11
41,T42,T42,Steve Allan,102,70.29,1195,17
42,T42,T42,Brendan Jones,81,70.29,1195,17
43,44,44,Robert Allenby,95,70.36,985,14
44,45,45,Justin Leonard,78,70.38,915,13
45,T46,T46,Darron Stiles,78,70.4,1056,15
46,T46,T46,Nick Watney,91,70.4,1408,20
47,48,48,Phillip Price,77,70.42,845,12
48,49,49,Stephen Leaney,89,70.45,775,11
49,T50,T50,Brian Gay,101,70.47,1339,19
50,T50,T50,Duffy Waldorf,86,70.47,1198,17
51,T52,T52,Tommy Armour III,103,70.5,1410,20
52,T52,T52,Pat Perez,89,70.5,1128,16
53,T52,T52,Ian Poulter,62,70.5,564,8
54,55,55,Corey Pavin,77,70.56,1129,16
55,56,56,Chad Campbell,95,70.58,847,12
56,T57,T57,Scott Gutschewski,86,70.6,706,10
57,T57,T57,Brenden Pappas,51,70.6,353,5
58,T57,T57,Tom Pernice Jr.,111,70.6,1059,15
59,60,60,Dan Forsman,52,70.67,848,12
60,61,61,Bo Van Pelt,112,70.69,1131,16
61,62,62,Retief Goosen,71,70.71,495,7
62,T63,T63,Joe Durant,81,70.75,1132,16
63,T63,T63,Zach Johnson,96,70.75,849,12
64,T63,T63,Tim Petrovic,97,70.75,1698,24
65,66,66,Stuart Appleby,84,70.77,920,13
66,67,67,D.A. Points,94,70.78,1628,23
67,T68,T68,J.J. Henry,102,70.79,991,14
68,T68,T68,John Huston,90,70.79,1345,19
69,T70,T70,Todd Fischer,99,70.8,1062,15
70,T70,T70,Tim Herron,100,70.8,708,10
71,T72,T72,Brent Geiberger,61,70.82,1204,17
72,T72,T72,John Senden,101,70.82,1204,17
73,T74,T74,Arjun Atwal,65,70.83,425,6
74,T74,T74,Bill Glasson,54,70.83,850,12
75,T74,T74,Mathias Grönberg,60,70.83,850,12
76,T74,T74,Ryan Palmer,101,70.83,850,12
77,T74,T74,Loren Roberts,54,70.83,850,12
78,79,79,Joey Sindelar,104,70.84,1771,25
79,80,80,Geoff Ogilvy,97,70.85,921,13
80,T81,T81,Stephen Ames,82,70.88,567,8
81,T81,T81,K.J. Choi,78,70.88,567,8
82,T81,T81,Jesper Parnevik,84,70.88,1134,16
83,T84,T84,Rod Pampling,89,70.9,709,10
84,T84,T84,Patrick Sheehan,114,70.9,1418,20
85,T86,T86,Billy Andrade,83,70.92,851,12
86,T86,T86,Justin Bolli,65,70.92,851,12
87,88,88,Jerry Kelly,101,70.93,1064,15
88,T89,T89,Arron Oberholser,65,70.94,1135,16
89,T89,T89,Joey Snyder III,102,70.94,1135,16
90,91,91,Jason Bohn,91,70.95,1419,20
91,T92,T92,Fred Couples,72,71.0,497,7
92,T92,T92,Ben Crane,78,71.0,781,11
93,T92,T92,Neal Lancaster,95,71.0,923,13
94,T92,T92,Bernhard Langer,67,71.0,781,11
95,T92,T92,José María Olazábal,55,71.0,568,8
96,T92,T92,Lee Westwood,50,71.0,639,9
97,98,98,Mario Tiziani,67,71.06,1208,17
98,99,99,Steve Elkington,67,71.08,853,12
99,100,100,Matt Gogel,78,71.13,1138,16
100,101,101,Justin Rose,99,71.14,996,14
101,T102,T102,Kevin Na,88,71.15,925,13
102,T102,T102,Dean Wilson,86,71.15,925,13
103,104,104,Aaron Baddeley,84,71.16,1352,19
104,105,105,Lucas Glover,88,71.18,783,11
105,106,106,Chris DiMarco,83,71.2,1068,15
106,107,107,Robert Damron,89,71.24,1211,17
107,T108,T108,Harrison Frazar,105,71.29,1212,17
108,T108,T108,David Hearn,68,71.29,998,14
109,T108,T108,Tag Ridings,93,71.29,1212,17
110,T111,T111,Charles Howell III,95,71.31,927,13
