,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Tiger Woods,76,53.42,125,234
1,2,2,Retief Goosen,71,52.13,98,188
2,3,3,Vijay Singh,111,50.72,177,349
3,4,4,Charles Howell III,95,50.0,147,294
4,5,5,Tim Clark,92,49.44,133,269
5,6,6,Phil Mickelson,81,49.15,115,234
6,7,7,Billy Andrade,83,48.28,140,290
7,8,8,Sergio Garcia,73,48.04,98,204
8,9,9,Woody Austin,100,47.85,156,326
9,10,10,Scott Verplank,87,47.53,125,263
10,11,11,James Driscoll,73,47.2,118,250
11,12,12,Adam Scott,72,47.14,99,210
12,13,13,Billy Mayfair,114,47.11,171,363
13,14,14,Bo Van Pelt,112,46.95,177,377
14,15,15,Kevin Sutherland,89,46.58,136,292
15,16,16,Frank Lickliter II,100,46.53,154,331
16,17,17,Briny Baird,98,46.37,147,317
17,18,18,Harrison Frazar,105,46.36,159,343
18,19,19,Scott Gutschewski,86,46.35,127,274
19,20,20,David Toms,87,46.22,110,238
20,21,21,Geoff Ogilvy,97,46.2,140,303
21,22,22,D.J. Trahan,81,46.15,120,260
22,23,23,Tag Ridings,93,45.91,146,318
23,24,24,Kevin Stadler,96,45.73,150,328
24,25,25,Greg Owen,84,45.71,128,280
25,26,26,Brenden Pappas,51,45.66,79,173
26,27,27,Scott Hend,75,45.56,113,248
27,28,28,Dean Wilson,86,45.55,133,292
28,T29,T29,Arjun Atwal,65,45.54,97,213
29,T29,T29,Fred Couples,72,45.54,102,224
30,31,31,Jonathan Byrd,103,45.43,149,328
31,32,32,Davis Love III,80,45.34,107,236
32,33,33,Rod Pampling,89,45.21,118,261
33,34,34,Nick Watney,91,45.1,138,306
34,35,35,Mark Calcavecchia,92,45.07,128,284
35,36,36,Charles Warren,89,44.97,134,298
36,37,37,Mathias Grönberg,60,44.92,84,187
37,38,38,Joe Ogilvie,103,44.85,148,330
38,39,39,Bart Bryant,91,44.77,124,277
39,40,40,Brett Quigley,96,44.69,143,320
