,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Jim Furyk,94,68.6,1715,25
1,2,2,Phil Mickelson,81,68.74,1306,19
2,3,3,Richard Johnson,50,68.82,757,11
3,4,4,Scott Verplank,87,69.25,1662,24
4,5,5,Olin Browne,99,69.32,1733,25
5,6,6,Billy Mayfair,114,69.49,2571,37
6,7,7,Tiger Woods,76,69.5,556,8
7,8,8,Stephen Leaney,89,69.57,1461,21
8,T9,T9,Dan Forsman,52,69.63,1114,16
9,T9,T9,Vijay Singh,111,69.63,1323,19
10,11,11,Dudley Hart,84,69.64,1532,22
11,12,12,Stuart Appleby,84,69.65,1393,20
12,13,13,Justin Rose,99,69.68,1951,28
13,T14,T14,Luke Donald,67,69.76,1186,17
14,T14,T14,Heath Slocum,103,69.76,2372,34
15,16,16,Adam Scott,72,69.78,1256,18
16,17,17,Tim Herron,100,69.85,2375,34
17,18,18,Hunter Haas,83,69.86,1537,22
18,T19,T19,Jeff Brehaut,71,69.89,1258,18
19,T19,T19,Brian Gay,101,69.89,1957,28
20,21,21,Bob Estes,92,69.94,2448,35
21,22,22,Davis Love III,80,69.95,1329,19
22,23,23,Bart Bryant,91,69.97,2309,33
23,24,24,Jason Bohn,91,70.0,1680,24
24,25,25,Briny Baird,98,70.12,1823,26
25,26,26,Steve Elkington,67,70.13,1613,23
26,27,27,David Toms,87,70.16,1333,19
27,28,28,Brian Bateman,98,70.17,2105,30
28,T29,T29,Kevin Sutherland,89,70.18,1965,28
29,T29,T29,Bo Van Pelt,112,70.18,2386,34
30,31,31,Tim Clark,92,70.19,1825,26
31,32,32,Harrison Frazar,105,70.21,1966,28
32,33,33,Brett Wetterich,76,70.24,1194,17
33,34,34,Doug Barron,70,70.29,1687,24
34,35,35,Ben Crane,78,70.33,1688,24
35,T36,T36,Justin Leonard,78,70.35,1407,20
36,T36,T36,Greg Owen,84,70.35,1618,23
37,T36,T36,Dean Wilson,86,70.35,1407,20
38,T39,T39,Robert Allenby,95,70.38,1830,26
39,T39,T39,Glen Hnatiuk,59,70.38,1478,21
40,T41,T41,Brian Davis,75,70.39,1619,23
41,T41,T41,Mathias Grönberg,60,70.39,1267,18
42,43,43,Tom Lehman,69,70.4,1760,25
43,T44,T44,Chris DiMarco,83,70.46,1691,24
44,T44,T44,Shigeki Maruyama,99,70.46,1832,26
45,46,46,Carl Pettersson,109,70.47,2114,30
46,47,47,Brad Faxon,75,70.48,1621,23
47,48,48,Stewart Cink,98,70.5,1974,28
48,T49,T49,John Daly,78,70.52,1763,25
49,T49,T49,Brett Quigley,96,70.52,1763,25
50,51,51,John Senden,101,70.53,2539,36
51,T52,T52,Charles Howell III,95,70.56,1905,27
52,T52,T52,Loren Roberts,54,70.56,1129,16
53,54,54,Ryuji Imada,78,70.58,1835,26
54,55,55,Zach Johnson,96,70.59,2047,29
55,56,56,Tommy Armour III,103,70.62,2754,39
56,T57,T57,Danny Briggs,70,70.64,989,14
57,T57,T57,Scott Gutschewski,86,70.64,1978,28
58,59,59,Kenny Perry,82,70.69,1131,16
59,60,60,Peter Lonard,85,70.72,1768,25
60,61,61,J.P. Hayes,63,70.75,1415,20
61,62,62,Hunter Mahan,103,70.76,2335,33
62,63,63,Steve Lowery,100,70.77,2477,35
63,64,64,Rory Sabbatini,81,70.78,1628,23
64,T65,T65,J.J. Henry,102,70.79,2053,29
65,T65,T65,Tjaart van der Walt,56,70.79,1699,24
66,67,67,Kent Jones,99,70.8,2478,35
67,68,68,Mario Tiziani,67,70.81,1841,26
68,T69,T69,Freddie Jacobson,72,70.83,1275,18
69,T69,T69,Duffy Waldorf,86,70.83,2125,30
70,71,71,Steve Stricker,62,70.84,1346,19
71,T72,T72,Fred Funk,102,70.86,2480,35
72,T72,T72,Bob Heintz,67,70.86,1488,21
73,T72,T72,Darron Stiles,78,70.86,1488,21
74,75,75,Lucas Glover,88,70.88,2339,33
75,76,76,Robert Gamez,91,70.91,2269,32
76,77,77,Matt Kuchar,60,70.93,993,14
77,78,78,José María Olazábal,55,70.94,1135,16
78,79,79,Daniel Chopra,108,70.95,2838,40
79,80,80,Corey Pavin,77,70.96,1774,25
80,T81,T81,Chad Campbell,95,71.0,2201,31
81,T81,T81,Neal Lancaster,95,71.0,2201,31
82,T81,T81,Tag Ridings,93,71.0,1846,26
83,T81,T81,John Rollins,97,71.0,1775,25
84,T85,T85,Woody Austin,100,71.02,3054,43
85,T85,T85,Mark Calcavecchia,92,71.02,2912,41
86,T87,T87,Jeff Sluman,94,71.03,2060,29
87,T87,T87,Omar Uresti,84,71.03,2060,29
88,89,89,Chris Smith,93,71.04,1634,23
89,90,90,Craig Barlow,81,71.05,1563,22
90,91,91,Mark Wilson,74,71.06,1279,18
91,92,92,Frank Lickliter II,100,71.07,2061,29
92,93,93,Carlos Franco,78,71.08,1706,24
93,94,94,Joey Sindelar,104,71.1,2062,29
94,T95,T95,Justin Bolli,65,71.11,1280,18
95,T95,T95,Nick Watney,91,71.11,1991,28
96,T97,T97,Arjun Atwal,65,71.13,1636,23
97,T97,T97,Gavin Coles,70,71.13,1707,24
98,T97,T97,Tom Pernice Jr.,111,71.13,2774,39
99,T97,T97,Kevin Stadler,96,71.13,2205,31
100,T101,T101,Geoff Ogilvy,97,71.14,1992,28
