,Early_Round_1_Scoring_Average_RANK THIS WEEK,Early_Round_1_Scoring_Average_RANK LAST WEEK,Early_Round_1_Scoring_Average_PLAYER NAME,Early_Round_1_Scoring_Average_AVG,Early_Round_1_Scoring_Average_TOTAL STROKES,Early_Round_1_Scoring_Average_TOTAL ROUNDS
129,T130,T130,Glen Day,71.75,861,12
130,T130,T130,Retief Goosen,71.75,574,8
131,T132,T132,Stephen Leaney,71.77,933,13
132,T132,T132,Charles Warren,71.77,933,13
133,134,134,Craig Barlow,71.79,1005,14
134,135,135,Kirk Triplett,71.8,718,10
135,136,136,Patrick Sheehan,71.81,1149,16
136,137,137,Brandt Jobe,71.83,862,12
137,138,138,Frank Lickliter II,71.84,1365,19
138,139,139,Tom Gillis,71.86,1006,14
139,T140,T140,Michael Long,71.91,791,11
140,T140,T140,Will MacKenzie,71.91,791,11
141,142,142,Duffy Waldorf,71.92,935,13
142,143,143,Kevin Na,71.93,1079,15
143,144,144,Chris Smith,71.94,1223,17
144,T145,T145,Lee Janzen,72.0,1008,14
145,T145,T145,Jeff Maggert,72.0,792,11
146,T145,T145,Larry Mize,72.0,648,9
147,T145,T145,Ian Poulter,72.0,792,11
148,T145,T145,Tag Ridings,72.0,792,11
149,150,150,Rory Sabbatini,72.07,1009,14
150,151,151,Tim Herron,72.08,865,12
151,152,152,Mike Weir,72.09,793,11
152,153,153,Jason Allred,72.11,649,9
153,T154,T154,Sean O'Hair,72.14,1010,14
154,T154,T154,D.A. Points,72.14,1010,14
155,T154,T154,Nick Watney,72.14,1010,14
156,T157,T157,Stephen Ames,72.2,722,10
157,T157,T157,Todd Hamilton,72.2,1083,15
158,T157,T157,Loren Roberts,72.2,722,10
159,160,160,Danny Briggs,72.21,1011,14
160,161,161,Roland Thatcher,72.23,939,13
161,162,162,Matt Kuchar,72.25,867,12
162,163,163,Joe Durant,72.29,1012,14
163,164,164,Hideto Tanihara,72.3,723,10
164,165,165,Shaun Micheel,72.35,1230,17
165,166,166,Franklin Langham,72.36,1013,14
166,T167,T167,Steve Stricker,72.4,724,10
167,T167,T167,Brett Wetterich,72.4,724,10
168,169,169,Matt Gogel,72.44,1159,16
169,170,170,Chris Anderson,72.45,797,11
170,171,171,Chris Riley,72.46,942,13
171,T172,T172,Jim Carter,72.5,870,12
172,T172,T172,Bill Glasson,72.5,725,10
173,T172,T172,Glen Hnatiuk,72.5,580,8
174,175,175,Scott McCarron,72.64,799,11
175,T176,T176,Jeff Brehaut,72.67,654,9
176,T176,T176,Jay Haas,72.67,436,6
177,178,178,Scott Hend,72.69,945,13
178,179,179,Fred Couples,72.7,727,10
179,T180,T180,Matt Davidson,72.73,800,11
180,T180,T180,Neal Lancaster,72.73,1091,15
181,182,182,Paul Gow,72.78,655,9
182,183,183,Jay Williamson,72.8,728,10
183,T184,T184,Paul Azinger,72.82,801,11
184,T184,T184,Rich Beem,72.82,1238,17
185,T184,T184,Brent Geiberger,72.82,801,11
186,187,187,D.J. Brigman,72.85,947,13
187,188,188,Ben Curtis,72.93,1094,15
188,T189,T189,Jeff Hart,73.0,803,11
189,T189,T189,Rocco Mediate,73.0,584,8
190,T189,T189,Rob Rashell,73.0,730,10
191,T189,T189,Kevin Stadler,73.0,1314,18
192,193,193,Steve Allan,73.31,1173,16
193,194,194,Dennis Paulson,73.44,661,9
194,T195,T195,John Elliott,73.6,1104,15
195,T195,T195,Len Mattiace,73.6,1472,20
196,197,197,James Driscoll,73.71,1032,14
197,198,198,Thomas Levet,73.73,811,11
198,199,199,Bradley Hughes,73.78,664,9
199,T200,T200,Hank Kuehne,73.88,1256,17
200,T200,T200,Craig Perks,73.88,1182,16
201,202,202,Mark Brooks,74.38,1190,16
