,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Tiger Woods,76,69.15,3734,54
1,2,2,Vijay Singh,111,69.5,5004,72
2,3,3,Ben Crane,78,69.54,2712,39
3,4,4,Jim Furyk,94,69.91,3915,56
4,5,5,Sergio Garcia,73,69.93,3077,44
5,6,6,Kenny Perry,82,70.04,3572,51
6,7,7,Steve Stricker,62,70.1,2173,31
7,8,8,Jeff Brehaut,71,70.14,2525,36
8,9,9,David Toms,87,70.16,3087,44
9,10,10,Brandt Jobe,96,70.21,2949,42
10,11,11,Sean O'Hair,103,70.22,3160,45
11,12,12,Arjun Atwal,65,70.28,2038,29
12,13,13,Marco Dawson,82,70.29,2671,38
13,14,14,Phil Mickelson,81,70.39,3097,44
14,15,15,Scott Verplank,87,70.41,3239,46
15,16,16,Retief Goosen,71,70.42,2324,33
16,17,17,Jonathan Kaye,77,70.43,2465,35
17,18,18,J.J. Henry,102,70.47,3171,45
18,T19,T19,Aaron Baddeley,84,70.48,2960,42
19,T19,T19,Darron Stiles,78,70.48,2819,40
20,21,21,Heath Slocum,103,70.49,3031,43
21,22,22,Brenden Pappas,51,70.52,1622,23
22,T23,T23,Tim Clark,92,70.53,3315,47
23,T23,T23,Vaughn Taylor,99,70.53,3456,49
24,25,25,Geoff Ogilvy,97,70.54,3527,50
25,T26,T26,Justin Leonard,78,70.55,3104,44
26,T26,T26,José María Olazábal,55,70.55,2046,29
27,28,28,Lucas Glover,88,70.56,2752,39
28,29,29,David Hearn,68,70.58,2188,31
29,30,30,Olin Browne,99,70.59,3459,49
30,31,31,Bart Bryant,91,70.6,3318,47
31,32,32,Joe Durant,81,70.61,2895,41
32,T33,T33,J.L. Lewis,98,70.62,3319,47
33,T33,T33,Loren Roberts,54,70.62,2048,29
34,T35,T35,Steve Allan,102,70.64,3320,47
35,T35,T35,Omar Uresti,84,70.64,2543,36
36,37,37,Jason Bohn,91,70.65,3603,51
37,T38,T38,Rod Pampling,89,70.68,2827,40
38,T38,T38,Mark Wilson,74,70.68,2615,37
39,T40,T40,Arron Oberholser,65,70.69,2545,36
40,T40,T40,Hidemichi Tanaka,106,70.69,3181,45
41,T42,T42,Chad Campbell,95,70.73,3183,45
42,T42,T42,Billy Mayfair,114,70.73,3890,55
43,T44,T44,Stewart Cink,98,70.74,3042,43
44,T44,T44,Bob Estes,92,70.74,2759,39
45,46,46,Bob Tway,87,70.76,2972,42
46,47,47,Richard Johnson,50,70.77,2123,30
47,T48,T48,Harrison Frazar,105,70.78,3822,54
48,T48,T48,Tim Petrovic,97,70.78,3256,46
49,50,50,Joe Ogilvie,103,70.79,3327,47
50,T51,T51,K.J. Choi,78,70.8,2832,40
51,T51,T51,Fred Funk,102,70.8,3186,45
52,T53,T53,Fred Couples,72,70.81,2195,31
53,T53,T53,Davis Love III,80,70.81,3045,43
54,T53,T53,Jeff Maggert,79,70.81,2549,36
55,T56,T56,Matt Gogel,78,70.83,2479,35
56,T56,T56,Carl Pettersson,109,70.83,3754,53
57,T56,T56,Phillip Price,77,70.83,2125,30
58,T56,T56,Charles Warren,89,70.83,2975,42
59,T60,T60,Woody Austin,100,70.84,3471,49
60,T60,T60,John Senden,101,70.84,3117,44
61,T60,T60,Joey Sindelar,104,70.84,3896,55
62,T60,T60,Nick Watney,91,70.84,3117,44
63,64,64,Robert Allenby,95,70.86,3047,43
64,T65,T65,Mark Calcavecchia,92,70.87,2764,39
65,T65,T65,Corey Pavin,77,70.87,2693,38
