,Lowest_Round_RANK THIS WEEK,Lowest_Round_RANK LAST WEEK,Lowest_Round_PLAYER NAME,Lowest_Round_ROUNDS,Lowest_Round_VALUE,Lowest_Round_TOURN/COURSE,Lowest_Round_ROUND
0,1,1,Phil Mickelson,81,60,FBR Open/TPC Sc,2
1,T2,T2,Brad Faxon,75,61,Buick Champ/TPC,4
2,T2,T2,Davis Love III,80,61,Bob Hope Chrysl,3
3,T2,T2,Carl Pettersson,109,61,FUNAI-Disney/Pa,2
4,T2,T2,Tiger Woods,76,61,Buick Open/Warw,2
5,T6,T6,Briny Baird,98,62,Las Vegas/TPC S,1
6,T6,T6,Bart Bryant,91,62,THE TOUR Champ/,1
7,T6,T6,Ben Crane,78,62,Milwaukee/Brown,1
8,T6,T6,Ernie Els,44,62,Sony Open/Waial,4
9,T6,T6,Harrison Frazar,105,62,B.C. Open/En-Jo,4
10,T6,T6,Robert Gamez,91,62,Texas Open/LaCa,1
11,T6,T6,Bill Glasson,54,62,Reno-Tahoe Open,2
12,T6,T6,Freddie Jacobson,72,62,Bob Hope Chrysl,2
13,T6,T6,Brandt Jobe,96,62,FUNAI-Disney/Pa,2
14,T6,T6,Tom Lehman,69,62,Buick Invitatio,1
15,T6,T6,Justin Leonard,78,62,FedEx St. Jude/,1
16,T6,T6,Peter Lonard,85,62,MCI Heritage/Ha,1
17,T6,T6,Ryan Palmer,101,62,Las Vegas/TPC C,1
18,T6,T6,Tom Pernice Jr.,111,62,FUNAI-Disney/Pa,2
19,T6,T6,Patrick Sheehan,114,62,Colonial/Coloni,1
20,T6,T6,Marcel Siem,4,62,Deutsche Bank/T,2
21,T6,T6,Joey Sindelar,104,62,Buick Champ/TPC,2
22,T6,T6,Scott Verplank,87,62,Bob Hope Chrysl,4
23,T6,T6,Charles Warren,89,62,Greensboro/Fore,1
24,T6,T6,Dean Wilson,86,62,Texas Open/LaCa,2
25,T26,T26,Michael Allen,90,63,B.C. Open/En-Jo,3
26,T26,T26,Billy Andrade,83,63,AT&T Pebble/Peb,3
27,T26,T26,Stuart Appleby,84,63,EDS B. Nelson/T,1
28,T26,T26,Woody Austin,100,63,Texas Open/LaCa,1
29,T26,T26,Aaron Baddeley,84,63,Las Vegas/TPC C,2
30,T26,T26,Rich Beem,66,63,FUNAI-Disney/Ma,3
31,T26,T26,Thomas Bjørn,24,63,PGA Championshi,3
32,T26,T26,Glen Day,80,63,B.C. Open/En-Jo,1
33,T26,T26,Jay Delsing,37,63,Texas Open/LaCa,4
34,T26,T26,Joe Durant,81,63,Colonial/Coloni,2
35,T26,T26,David Edwards,25,63,B.C. Open/En-Jo,2
36,T26,T26,Lucas Glover,88,63,Honda Classic/C,4
37,T26,T26,Matt Gogel,78,63,Booz Allen/Cong,1
38,T26,T26,Hunter Haas,83,63,FUNAI-Disney/Pa,1
39,T26,T26,Padraig Harrington,50,63,Honda Classic/C,4
40,T26,T26,Matt Hendrix,4,63,B.C. Open/En-Jo,1
41,T26,T26,Charles Howell III,95,63,Las Vegas/TPC S,1
42,T26,T26,Zach Johnson,96,63,Buick Champ/TPC,2
43,T26,T26,Kent Jones,99,63,Deutsche Bank/T,3
44,T26,T26,J.L. Lewis,98,63,FUNAI-Disney/Pa,2
45,T26,T26,Jeff Maggert,79,63,Texas Open/LaCa,1
46,T26,T26,Hunter Mahan,103,63,John Deere Clas,1
47,T26,T26,Shigeki Maruyama,99,63,John Deere Clas,2
48,T26,T26,Billy Mayfair,114,63,EDS B. Nelson/C,2
49,T26,T26,Ryan Moore,48,63,Las Vegas/TPC C,2
50,T26,T26,Joe Ogilvie,103,63,Bob Hope Chrysl,2
51,T26,T26,Kenny Perry,82,63,Buick Champ/TPC,4
52,T26,T26,D.A. Points,94,63,Reno-Tahoe Open,2
53,T26,T26,Ian Poulter,62,63,Bob Hope Chrysl,4
54,T26,T26,Michael Putnam,16,63,Buick Champ/TPC,4
55,T26,T26,John Rollins,97,63,Deutsche Bank/T,3
56,T26,T26,Justin Rose,99,63,Buick Champ/TPC,2
57,T26,T26,John Senden,101,63,Texas Open/LaCa,1
58,T26,T26,Vijay Singh,111,63,Buick Open/Warw,3
59,T26,T26,Chris Smith,93,63,Tucson/Tucson N,2
60,T26,T26,Kevin Stadler,96,63,John Deere Clas,2
61,T26,T26,Darron Stiles,78,63,Buick Champ/TPC,3
62,T26,T26,Kevin Sutherland,89,63,Tucson/Tucson N,2
63,T26,T26,Mario Tiziani,67,63,Tucson/Tucson N,1
64,T26,T26,David Toms,87,63,FedEx St. Jude/,4
65,T26,T26,Mike Weir,71,63,Mercedes Champ/,2
66,T26,T26,Lee Westwood,50,63,WGC-NEC Invit'l,3
67,T26,T26,Mark Wilson,74,63,FUNAI-Disney/Ma,3
68,T69,T69,Stephen Ames,82,64,WGC-Am Express/,2
69,T69,T69,Arjun Atwal,65,64,BellSouth Class,3
70,T69,T69,Craig Barlow,81,64,FUNAI-Disney/Pa,2
71,T69,T69,Brian Bateman,98,64,Colonial/Coloni,1
72,T69,T69,Cameron Beckman,96,64,FUNAI-Disney/Pa,2
73,T69,T69,Jason Bohn,91,64,B.C. Open/En-Jo,1
74,T69,T69,Michael Bradley,12,64,B.C. Open/En-Jo,3
75,T69,T69,Jeff Brehaut,71,64,So. Farm Bureau,3
76,T69,T69,Danny Briggs,70,64,Tucson/Tucson N,2
77,T69,T69,Jaxon Brigman,8,64,EDS B. Nelson/T,3
78,T69,T69,Olin Browne,99,64,Texas Open/LaCa,4
79,T69,T69,Jonathan Byrd,103,64,John Deere Clas,4
80,T69,T69,Mark Calcavecchia,92,64,FUNAI-Disney/Pa,1
81,T69,T69,Chad Campbell,95,64,Honda Classic/C,1
82,T69,T69,K.J. Choi,78,64,Greensboro/Fore,1
83,T69,T69,Tim Clark,92,64,Colonial/Coloni,2
84,T69,T69,Ben Curtis,65,64,Buick Champ/TPC,1
85,T69,T69,John Daly,78,64,EDS B. Nelson/C,1
86,T69,T69,Robert Damron,89,64,Bob Hope Chrysl,1
87,T69,T69,Matt Davidson,53,64,Milwaukee/Brown,3
88,T69,T69,Brian Davis,75,64,Ford Champ/Dora,1
89,T69,T69,Marco Dawson,82,64,Ford Champ/Dora,1
90,T69,T69,Steve Elkington,67,64,Milwaukee/Brown,3
