,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Tiger Woods,76,69.11,5114,74
1,2,2,Vijay Singh,111,69.59,7585,109
2,3,3,Jim Furyk,94,69.68,6480,93
3,4,4,Phil Mickelson,81,69.86,5170,74
4,5,5,Ben Crane,78,69.89,5172,74
5,6,6,Kenny Perry,82,70.04,5603,80
6,7,7,David Toms,87,70.05,5394,77
7,8,8,Scott Verplank,87,70.23,6040,86
8,T9,T9,Bart Bryant,91,70.24,6392,91
9,T9,T9,Sergio Garcia,73,70.24,4776,68
10,11,11,Luke Donald,67,70.27,4216,60
11,12,12,Richard Johnson,50,70.28,3514,50
12,T13,T13,Tim Herron,100,70.36,6966,99
13,T13,T13,Billy Mayfair,114,70.36,7740,110
14,15,15,Arjun Atwal,65,70.4,4576,65
15,16,16,Bob Estes,92,70.41,6478,92
16,17,17,Olin Browne,99,70.43,6691,95
17,18,18,Jason Bohn,91,70.44,6410,91
18,19,19,Davis Love III,80,70.45,5284,75
19,20,20,Justin Rose,99,70.48,6696,95
20,21,21,Tim Clark,92,70.49,6133,87
21,22,22,Geoff Ogilvy,97,70.51,6557,93
22,23,23,Justin Leonard,78,70.53,5290,75
23,T24,T24,Jeff Brehaut,71,70.54,4726,67
24,T24,T24,Harrison Frazar,105,70.54,7125,101
25,T24,T24,Retief Goosen,71,70.54,4303,61
26,T24,T24,Dudley Hart,84,70.54,5925,84
27,T28,T28,Shigeki Maruyama,99,70.55,6914,98
28,T28,T28,Loren Roberts,54,70.55,3739,53
29,30,30,Heath Slocum,103,70.56,6985,99
30,31,31,Dan Forsman,52,70.58,3529,50
31,T32,T32,Mathias Grönberg,60,70.6,4095,58
32,T32,T32,John Senden,101,70.6,6989,99
33,34,34,Stewart Cink,98,70.62,6356,90
34,35,35,Steve Elkington,67,70.64,4733,67
35,36,36,José María Olazábal,55,70.66,3745,53
36,T37,T37,Chad Campbell,95,70.67,6502,92
37,T37,T37,Darron Stiles,78,70.67,5371,76
38,T37,T37,Bo Van Pelt,112,70.67,7915,112
39,40,40,Arron Oberholser,65,70.68,4453,63
40,41,41,J.J. Henry,102,70.69,7069,100
41,T42,T42,Carl Pettersson,109,70.7,7423,105
42,T42,T42,Kevin Sutherland,89,70.7,6151,87
43,T42,T42,Dean Wilson,86,70.7,6080,86
44,45,45,Charles Howell III,95,70.72,6365,90
45,T46,T46,Briny Baird,98,70.73,6790,96
46,T46,T46,Brandt Jobe,96,70.73,6507,92
47,T48,T48,Mark Calcavecchia,92,70.76,6368,90
48,T48,T48,Steve Stricker,62,70.76,4387,62
49,T48,T48,Vaughn Taylor,99,70.76,7005,99
50,T51,T51,Marco Dawson,82,70.77,5803,82
51,T51,T51,Chris DiMarco,83,70.77,5308,75
52,T51,T51,Bob Tway,87,70.77,5874,83
53,54,54,Scott Gutschewski,86,70.79,5805,82
54,T55,T55,Zach Johnson,96,70.81,6727,95
