,Birdie_or_Better_Percentage_-_125-150_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_125-150_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_125-150_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_125-150_ya_ROUNDS,Birdie_or_Better_Percentage_-_125-150_ya_%,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL HOLES
0,1,1,Brad Faxon,75,25.16,39,155
1,2,2,Paul Gow,78,25.13,49,195
2,3,3,Rory Sabbatini,81,24.88,52,209
3,4,4,Aaron Baddeley,84,24.54,53,216
4,5,5,Phil Mickelson,81,24.14,35,145
5,6,6,David Toms,87,23.53,44,187
6,7,7,Tim Clark,92,23.42,37,158
7,8,8,Adam Scott,72,23.39,40,171
8,9,9,Geoff Ogilvy,97,22.87,51,223
9,10,10,Scott Verplank,87,22.73,45,198
10,11,11,John Cook,72,22.6,33,146
11,12,12,Jim Furyk,94,22.57,51,226
12,13,13,Bob Tway,87,22.5,45,200
13,14,14,Hidemichi Tanaka,106,22.46,62,276
14,15,15,Cameron Beckman,96,22.35,57,255
15,16,16,Matt Gogel,78,22.22,40,180
16,17,17,Mario Tiziani,67,22.16,41,185
17,18,18,Jay Haas,54,22.03,26,118
18,19,19,Dan Forsman,52,21.99,31,141
19,20,20,Ben Crane,78,21.93,41,187
20,21,21,Luke Donald,67,21.85,26,119
21,22,22,Jonathan Kaye,77,21.76,42,193
22,23,23,Doug Barron,70,21.67,39,180
23,24,24,Mark Wilson,74,21.61,43,199
24,T25,T25,Shigeki Maruyama,99,21.6,54,250
25,T25,T25,Larry Mize,54,21.6,27,125
26,27,27,Stewart Cink,98,21.5,46,214
27,28,28,Steve Stricker,62,21.43,42,196
28,29,29,Robert Allenby,95,21.36,44,206
29,30,30,Kenny Perry,82,21.08,39,185
30,T31,T31,Kevin Na,88,21.0,46,219
31,T31,T31,Darron Stiles,78,21.0,42,200
32,33,33,Tjaart van der Walt,56,20.98,30,143
33,34,34,Ian Poulter,62,20.91,23,110
34,35,35,Scott Gutschewski,86,20.89,47,225
35,36,36,Corey Pavin,77,20.83,30,144
36,37,37,Steve Allan,102,20.79,63,303
37,38,38,Justin Leonard,78,20.75,33,159
38,39,39,Tim Herron,100,20.7,53,256
39,40,40,Robert Gamez,91,20.44,46,225
40,41,41,Tom Pernice Jr.,111,20.43,48,235
41,42,42,Richard Johnson,50,20.39,31,152
42,43,43,Todd Hamilton,94,20.29,42,207
43,44,44,Tommy Armour III,103,20.22,54,267
44,T45,T45,Gavin Coles,70,20.13,31,154
45,T45,T45,Brenden Pappas,51,20.13,32,159
46,47,47,Sean O'Hair,103,20.0,55,275
47,48,48,Franklin Langham,91,19.92,47,236
48,T49,T49,Paul Claxton,79,19.8,39,197
49,T49,T49,Bo Van Pelt,112,19.8,58,293
50,51,51,Carl Pettersson,109,19.79,57,288
51,52,52,Rich Beem,66,19.7,26,132
52,53,53,K.J. Choi,78,19.65,34,173
53,54,54,Chris DiMarco,83,19.63,32,163
54,55,55,Frank Lickliter II,100,19.56,53,271
55,T56,T56,Kent Jones,99,19.48,52,267
56,T56,T56,Chris Smith,93,19.48,52,267
57,58,58,Glen Day,80,19.47,37,190
58,59,59,Duffy Waldorf,86,19.31,39,202
59,60,60,Brandt Jobe,96,19.26,47,244
60,61,61,Kevin Sutherland,89,19.25,46,239
61,62,62,Stephen Ames,82,19.23,35,182
62,T63,T63,Tom Lehman,69,19.18,28,146
63,T63,T63,Pat Perez,89,19.18,42,219
64,65,65,Peter Lonard,85,19.17,37,193
65,66,66,Vaughn Taylor,99,19.11,43,225
66,67,67,Danny Briggs,70,19.08,29,152
67,68,68,Arjun Atwal,65,19.07,37,194
68,69,69,Hunter Haas,83,18.93,39,206
69,70,70,Brett Wetterich,76,18.78,37,197
70,T71,T71,Billy Andrade,83,18.75,42,224
