,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Scott Gutschewski,86,22.18,61,275
1,2,2,Phil Mickelson,81,21.95,45,205
2,3,3,Joe Durant,81,21.03,41,195
3,4,4,Kevin Na,88,20.63,59,286
4,5,5,Arjun Atwal,65,20.1,41,204
5,6,6,Heath Slocum,103,19.38,50,258
6,7,7,Steve Stricker,62,19.1,51,267
7,8,8,Mark Calcavecchia,92,19.03,47,247
8,9,9,Vijay Singh,111,19.01,65,342
9,10,10,Phillip Price,77,18.84,39,207
10,11,11,Justin Rose,99,18.83,61,324
11,12,12,Darron Stiles,78,18.81,38,202
12,13,13,Brett Wetterich,76,18.69,54,289
13,14,14,Tiger Woods,76,18.62,46,247
14,15,15,Hunter Haas,83,18.52,50,270
15,16,16,Steve Lowery,100,18.35,49,267
16,17,17,Doug Barron,70,18.32,35,191
17,18,18,Geoff Ogilvy,97,18.25,52,285
18,19,19,Brenden Pappas,51,18.18,36,198
19,20,20,Retief Goosen,71,18.07,30,166
20,21,21,Daniel Chopra,108,18.02,69,383
21,22,22,Steve Allan,102,17.76,57,321
22,23,23,Ryan Palmer,101,17.75,49,276
23,24,24,Ted Purdy,122,17.74,55,310
24,25,25,Kenny Perry,82,17.59,35,199
25,26,26,Glen Hnatiuk,59,17.42,31,178
26,27,27,Mario Tiziani,67,17.37,37,213
27,28,28,Charles Warren,89,17.34,47,271
28,29,29,Fred Couples,72,17.14,30,175
29,30,30,Aaron Baddeley,84,17.01,58,341
30,31,31,D.J. Brigman,76,16.99,35,206
31,32,32,Dan Forsman,52,16.96,29,171
32,33,33,David Toms,87,16.92,33,195
33,34,34,Charles Howell III,95,16.89,50,296
34,35,35,Billy Mayfair,114,16.84,48,285
35,36,36,Stuart Appleby,84,16.81,40,238
36,37,37,Bernhard Langer,67,16.56,26,157
37,38,38,Kevin Sutherland,89,16.54,43,260
38,39,39,Joey Snyder III,102,16.43,46,280
39,40,40,Bo Van Pelt,112,16.38,57,348
40,41,41,Tag Ridings,93,16.36,53,324
41,42,42,Marco Dawson,82,16.34,42,257
42,43,43,Tim Herron,100,16.3,44,270
43,44,44,Hidemichi Tanaka,106,16.04,43,268
44,45,45,Briny Baird,98,16.02,41,256
45,46,46,Roland Thatcher,75,16.0,36,225
46,47,47,Harrison Frazar,105,15.97,50,313
47,48,48,Gavin Coles,70,15.96,30,188
48,49,49,Tom Pernice Jr.,111,15.92,50,314
49,50,50,Larry Mize,54,15.91,21,132
50,51,51,Lucas Glover,88,15.77,47,298
51,52,52,Matt Davidson,53,15.76,26,165
52,53,53,Jason Allred,75,15.74,51,324
53,54,54,John Senden,101,15.73,45,286
54,55,55,Kirk Triplett,55,15.56,21,135
55,56,56,Will MacKenzie,75,15.55,37,238
56,T57,T57,Todd Fischer,99,15.41,43,279
57,T57,T57,Hunter Mahan,103,15.41,51,331
58,59,59,Hank Kuehne,84,15.38,50,325
59,60,60,Justin Leonard,78,15.34,27,176
60,61,61,Scott McCarron,78,15.32,34,222
61,62,62,Jeff Brehaut,71,15.29,26,170
62,63,63,Scott Hend,75,15.25,52,341
63,64,64,John Elliott,58,15.21,33,217
64,65,65,Michael Allen,90,15.19,48,316
65,66,66,José Coceres,56,15.17,22,145
66,67,67,Danny Briggs,70,15.12,26,172
67,T68,T68,Rocco Mediate,73,15.09,35,232
68,T68,T68,Mike Weir,71,15.09,24,159
69,70,70,Nick Watney,91,15.0,45,300
70,71,71,Glen Day,80,14.94,39,261
71,72,72,Craig Barlow,81,14.92,27,181
72,T73,T73,Rich Beem,66,14.89,28,188
73,T73,T73,Jason Bohn,91,14.89,42,282
74,75,75,Zach Johnson,96,14.88,36,242
75,76,76,Jonathan Byrd,103,14.83,51,344
76,77,77,Jesper Parnevik,84,14.8,37,250
77,78,78,Jeff Maggert,79,14.74,23,156
78,79,79,Woody Austin,100,14.68,48,327
79,T80,T80,Arron Oberholser,65,14.63,24,164
80,T80,T80,Chris Smith,93,14.63,43,294
81,82,82,Dean Wilson,86,14.62,38,260
82,83,83,Carl Pettersson,109,14.6,46,315
83,84,84,Sergio Garcia,73,14.55,32,220
84,85,85,Davis Love III,80,14.54,33,227
85,86,86,J.P. Hayes,63,14.53,26,179
86,T87,T87,D.J. Trahan,81,14.52,36,248
87,T87,T87,Duffy Waldorf,86,14.52,27,186
88,89,89,Chris Anderson,66,14.5,29,200
89,90,90,Neal Lancaster,95,14.47,46,318
90,91,91,Kevin Stadler,96,14.43,43,298
91,92,92,Jeff Hart,63,14.41,16,111
92,93,93,Rod Pampling,89,14.4,37,257
93,94,94,Brent Geiberger,61,14.38,23,160
94,T95,T95,Freddie Jacobson,72,14.35,33,230
95,T95,T95,Dennis Paulson,63,14.35,33,230
96,T97,T97,Billy Andrade,83,14.29,34,238
97,T97,T97,Lee Janzen,75,14.29,31,217
98,T97,T97,John Rollins,97,14.29,40,280
99,T100,T100,Tim Clark,92,14.22,30,211
100,T100,T100,Peter Lonard,85,14.22,32,225
101,102,102,Jonathan Kaye,77,14.15,29,205
102,103,103,Brett Quigley,96,14.11,45,319
103,104,104,Padraig Harrington,50,14.04,24,171
104,105,105,Robert Allenby,95,13.92,33,237
105,106,106,Ryuji Imada,78,13.9,36,259
106,107,107,D.A. Points,94,13.89,35,252
107,108,108,Cameron Beckman,96,13.88,39,281
108,109,109,John Huston,90,13.81,37,268
109,110,110,Bob Heintz,67,13.79,32,232
110,T111,T111,Tjaart van der Walt,56,13.71,24,175
111,T111,T111,Scott Verplank,87,13.71,24,175
112,113,113,Bob Estes,92,13.67,35,256
113,114,114,Bob Tway,87,13.64,30,220
114,115,115,Michael Long,72,13.62,29,213
115,116,116,Franklin Langham,91,13.56,40,295
116,117,117,Olin Browne,99,13.55,29,214
117,118,118,Pat Perez,89,13.52,38,281
118,119,119,Skip Kendall,80,13.51,25,185
119,T120,T120,Richard Johnson,50,13.48,19,141
120,T120,T120,Stephen Leaney,89,13.48,31,230
121,122,122,Omar Uresti,84,13.44,25,186
122,T123,T123,Brandt Jobe,96,13.43,45,335
123,T123,T123,Len Mattiace,86,13.43,38,283
124,125,125,J.J. Henry,102,13.42,40,298
125,126,126,Shaun Micheel,81,13.33,28,210
126,127,127,José María Olazábal,55,13.29,21,158
127,128,128,Ian Poulter,62,13.24,18,136
128,129,129,Kent Jones,99,13.23,34,257
