,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Jason Day,76,1.13,61.042,54
1,2,2,Jordan Spieth,80,0.758,43.95399999999999,58
2,3,3,Kevin Kisner,97,0.667,48.67,73
3,4,4,Andrew Landry,53,0.654,21.59,33
4,5,5,Steve Stricker,53,0.62,27.895,45
5,T6,T6,Harris English,97,0.5920000000000001,42.599,72
6,T6,T6,Daniel Summerhays,99,0.5920000000000001,46.746,79
7,8,8,Aaron Baddeley,93,0.581,43.001999999999995,74
8,9,9,Phil Mickelson,75,0.565,33.335,59
9,10,10,Martin Piller,59,0.562,25.861,46
10,11,11,Bryce Molder,80,0.5529999999999999,37.063,67
11,12,12,Adam Hadwin,93,0.529,46.041000000000004,87
12,13,13,Jonas Blixt,79,0.52,34.859,67
13,14,14,Peter Malnati,85,0.491,36.351,74
14,15,15,Brian Harman,104,0.485,44.148,91
15,16,16,Freddie Jacobson,86,0.478,33.964,71
16,T17,T17,Retief Goosen,55,0.462,22.156999999999996,48
17,T17,T17,Brendon Todd,66,0.462,24.939,54
18,19,19,Patton Kizzire,93,0.46,34.033,74
19,20,20,Brooks Koepka,75,0.445,26.680999999999997,60
20,21,21,Billy Hurley III,66,0.433,25.52,59
21,22,22,Jon Curran,99,0.40700000000000003,34.204,84
22,23,23,Ernie Els,66,0.405,22.658,56
23,24,24,Luke Guthrie,57,0.40399999999999997,18.168,45
24,25,25,Zach Johnson,90,0.395,28.815,73
25,26,26,Ricky Barnes,97,0.386,30.840999999999998,80
26,27,27,Colt Knost,90,0.384,26.875999999999998,70
27,28,28,Matt Kuchar,100,0.381,29.355999999999998,77
28,29,29,William McGirt,98,0.36,31.666,88
29,30,30,Derek Fathauer,94,0.353,26.493000000000002,75
30,31,31,K.J. Choi,73,0.35200000000000004,23.263,66
31,32,32,Ryan Moore,86,0.35100000000000003,22.831,65
32,33,33,Brandt Snedeker,93,0.34299999999999997,25.351,74
33,34,34,Tim Wilkinson,72,0.336,16.789,50
34,35,35,John Senden,88,0.32899999999999996,25.684,78
35,36,36,Dustin Johnson,87,0.32799999999999996,20.361,62
36,37,37,Andrew Loupe,75,0.301,19.855999999999998,66
37,38,38,Wes Roach,59,0.299,12.877,43
38,39,39,Hunter Mahan,61,0.29100000000000004,14.235999999999999,49
39,40,40,Patrick Reed,105,0.28,21.805,78
40,41,41,Michael Kim,100,0.27699999999999997,23.564,85
41,42,42,Johnson Wagner,86,0.273,20.741999999999997,76
42,43,43,Mark Hubbard,101,0.272,22.56,83
43,44,44,Marc Leishman,89,0.252,16.349,65
44,45,45,Troy Merritt,77,0.244,15.827,65
45,46,46,Jimmy Walker,85,0.243,16.994,70
46,47,47,Ben Crane,80,0.21600000000000003,14.046,65
47,48,48,David Hearn,95,0.214,17.577,82
48,49,49,Fabián Gómez,82,0.213,15.53,73
49,T50,T50,Morgan Hoffmann,71,0.20800000000000002,12.29,59
50,T50,T50,Sean O'Hair,89,0.20800000000000002,17.488,84
51,T52,T52,Hudson Swafford,104,0.203,18.438,91
52,T52,T52,Camilo Villegas,83,0.203,14.392000000000001,71
53,54,54,Stuart Appleby,71,0.20199999999999999,13.302999999999999,66
54,55,55,Zac Blair,99,0.195,15.82,81
55,56,56,Russell Henley,76,0.193,13.341,69
56,57,57,Sung Kang,89,0.18600000000000003,13.605,73
57,58,58,Kelly Kraft,63,0.185,8.118,44
58,59,59,Seung-Yul Noh,85,0.17600000000000002,12.116,69
59,60,60,Daniel Berger,92,0.175,12.627,72
60,61,61,Martin Laird,82,0.157,10.978,70
61,62,62,Brendon de Jonge,83,0.156,10.14,65
62,63,63,Hiroshi Iwata,85,0.154,10.162,66
63,T64,T64,Rickie Fowler,80,0.153,9.807,64
64,T64,T64,Steve Wheatcroft,85,0.153,10.738,70
65,66,66,Chris Stroud,82,0.15,10.379000000000001,69
66,67,67,Luke Donald,81,0.14800000000000002,8.76,59
67,68,68,Dicky Pride,55,0.14400000000000002,5.9,41
68,69,69,Jamie Lovemark,91,0.142,11.61,82
69,70,70,Ben Martin,92,0.14,11.200999999999999,80
70,71,71,Smylie Kaufman,91,0.134,9.497,71
71,72,72,Charles Howell III,91,0.133,10.378,78
72,73,73,David Toms,62,0.132,7.145,54
73,74,74,Steven Bowditch,71,0.131,7.212000000000001,55
74,75,75,Paul Casey,77,0.11199999999999999,6.3839999999999995,57
75,76,76,Kyle Reifers,115,0.102,9.746,96
76,77,77,Jhonattan Vegas,97,0.098,7.872999999999999,80
77,78,78,Billy Horschel,73,0.076,4.273,56
78,79,79,Kevin Na,96,0.07400000000000001,5.138999999999999,69
79,80,80,Jim Furyk,52,0.067,2.964,44
80,T81,T81,Shane Lowry,57,0.06,2.165,36
81,T81,T81,Sam Saunders,69,0.06,3.0810000000000004,51
