,3_Putts_per_Round_RANK THIS WEEK,3_Putts_per_Round_RANK LAST WEEK,3_Putts_per_Round_PLAYER NAME,3_Putts_per_Round_ROUNDS,3_Putts_per_Round_AVG,3_Putts_per_Round_TOTAL 3+ PUTTS,3_Putts_per_Round_TOTAL ROUNDS
0,1,1,Rory Sabbatini,57,0.11,6,54
1,2,2,Sergio Garcia,54,0.06,3,51
2,T3,T3,Alex Cejka,71,0.04,3,67
3,T3,T3,Lucas Glover,75,0.04,3,75
4,T3,T3,D.H. Lee,61,0.04,2,57
5,T6,T6,Stuart Appleby,71,0.03,2,69
6,T6,T6,Paul Casey,77,0.03,2,74
7,T6,T6,Andres Gonzales,80,0.03,2,78
8,T6,T6,Chesson Hadley,81,0.03,2,79
9,T6,T6,Russell Henley,76,0.03,2,76
10,T6,T6,Morgan Hoffmann,71,0.03,2,67
11,T6,T6,Tom Hoge,81,0.03,2,77
12,T6,T6,Whee Kim,82,0.03,2,78
13,T6,T6,Russell Knox,92,0.03,3,89
14,T6,T6,Luke List,79,0.03,2,77
15,T6,T6,Steve Marino,72,0.03,2,68
16,T6,T6,Sam Saunders,69,0.03,2,65
17,T6,T6,Cameron Smith,73,0.03,2,69
18,T6,T6,Jordan Spieth,80,0.03,2,76
19,T6,T6,Chris Stroud,82,0.03,2,80
20,T6,T6,Hudson Swafford,104,0.03,3,104
21,T6,T6,Michael Thompson,71,0.03,2,68
22,T23,T23,Thomas Aiken,70,0.02,1,66
23,T23,T23,Scott Brown,88,0.02,2,88
24,T23,T23,Graham DeLaet,70,0.02,1,66
25,T23,T23,Jason Dufner,105,0.02,2,102
26,T23,T23,Ernie Els,66,0.02,1,66
27,T23,T23,Derek Ernst,59,0.02,1,57
28,T23,T23,Derek Fathauer,94,0.02,2,94
29,T23,T23,Robert Garrigus,69,0.02,1,65
30,T23,T23,Rhein Gibson,58,0.02,1,54
31,T23,T23,Bill Haas,86,0.02,2,82
32,T23,T23,J.J. Henry,68,0.02,1,66
33,T23,T23,Hiroshi Iwata,85,0.02,2,83
34,T23,T23,Matt Kuchar,100,0.02,2,96
35,T23,T23,Andrew Landry,53,0.02,1,49
36,T23,T23,Scott Langley,65,0.02,1,63
37,T23,T23,Jamie Lovemark,91,0.02,2,91
38,T23,T23,Hunter Mahan,61,0.02,1,61
39,T23,T23,Rory McIlroy,69,0.02,1,62
40,T23,T23,George McNeill,51,0.02,1,51
41,T23,T23,Kevin Na,96,0.02,2,93
42,T23,T23,Geoff Ogilvy,63,0.02,1,59
43,T23,T23,Louis Oosthuizen,63,0.02,1,56
44,T23,T23,Rob Oppenheim,67,0.02,1,63
45,T23,T23,Greg Owen,85,0.02,2,81
46,T23,T23,Rod Pampling,54,0.02,1,50
47,T23,T23,D.A. Points,55,0.02,1,51
48,T23,T23,Dicky Pride,55,0.02,1,53
49,T23,T23,Kevin Streelman,82,0.02,2,82
50,T23,T23,Brian Stuard,66,0.02,1,66
51,T23,T23,Harold Varner III,92,0.02,2,92
52,T23,T23,Gary Woodland,95,0.02,2,91
53,T54,T54,Tyler Aldridge,83,0.01,1,79
54,T54,T54,Keegan Bradley,82,0.01,1,82
55,T54,T54,Jon Curran,99,0.01,1,99
56,T54,T54,Jason Day,76,0.01,1,69
57,T54,T54,Brendon de Jonge,83,0.01,1,81
58,T54,T54,Tony Finau,95,0.01,1,95
59,T54,T54,Fabián Gómez,82,0.01,1,79
60,T54,T54,Emiliano Grillo,93,0.01,1,90
61,T54,T54,Adam Hadwin,93,0.01,1,93
62,T54,T54,James Hahn,85,0.01,1,85
63,T54,T54,Brian Harman,104,0.01,1,104
64,T54,T54,Billy Horschel,73,0.01,1,70
65,T54,T54,John Huh,86,0.01,1,85
66,T54,T54,Zach Johnson,90,0.01,1,86
67,T54,T54,Sung Kang,89,0.01,1,87
68,T54,T54,Jerry Kelly,76,0.01,1,76
69,T54,T54,Colt Knost,90,0.01,1,86
70,T54,T54,Jason Kokrak,89,0.01,1,89
71,T54,T54,Anirban Lahiri,72,0.01,1,69
72,T54,T54,Danny Lee,93,0.01,1,90
73,T54,T54,David Lingmerth,84,0.01,1,81
74,T54,T54,Will MacKenzie,84,0.01,1,80
75,T54,T54,Ben Martin,92,0.01,1,88
76,T54,T54,William McGirt,98,0.01,1,98
77,T54,T54,Ryan Palmer,86,0.01,1,86
78,T54,T54,Patrick Reed,105,0.01,1,101
79,T54,T54,Charl Schwartzel,73,0.01,1,70
80,T54,T54,John Senden,88,0.01,1,86
81,T54,T54,Webb Simpson,70,0.01,1,70
82,T54,T54,Vijay Singh,72,0.01,1,72
83,T54,T54,Shawn Stefani,91,0.01,1,87
84,T54,T54,Justin Thomas,99,0.01,1,96
85,T54,T54,Cameron Tringale,81,0.01,1,77
86,T54,T54,Tyrone Van Aswegen,105,0.01,1,102
87,T54,T54,Jimmy Walker,85,0.01,1,82
88,T54,T54,Boo Weekley,83,0.01,1,83
