,Putts_per_Round_-_Round_1_RANK THIS WEEK,Putts_per_Round_-_Round_1_RANK LAST WEEK,Putts_per_Round_-_Round_1_PLAYER NAME,Putts_per_Round_-_Round_1_AVG,Putts_per_Round_-_Round_1_TOTAL PUTTS,Putts_per_Round_-_Round_1_TOTAL ROUNDS
0,1,1,Dustin Johnson,27.43,576,21
1,2,2,Retief Goosen,27.69,443,16
2,3,3,Andrew Loupe,27.7,748,27
3,4,4,Alex Cejka,27.76,583,21
4,5,5,Bryce Molder,27.84,696,25
5,6,6,Ben Crane,27.92,698,25
6,7,7,Steve Stricker,27.93,419,15
7,T8,T8,Harris English,27.96,755,27
8,T8,T8,Charles Howell III,27.96,699,25
9,10,10,Peter Malnati,28.03,897,32
10,11,11,Michael Kim,28.04,785,28
11,12,12,Aaron Baddeley,28.07,758,27
12,13,13,Jordan Spieth,28.1,562,20
13,14,14,Jonas Blixt,28.12,703,25
14,15,15,Phil Mickelson,28.14,591,21
15,16,16,Jimmy Walker,28.21,677,24
16,17,17,Patrick Reed,28.22,762,27
17,T18,T18,Kevin Kisner,28.23,734,26
18,T18,T18,Hideki Matsuyama,28.23,621,22
19,T20,T20,Brian Harman,28.26,876,31
20,T20,T20,Jamie Lovemark,28.26,763,27
21,T22,T22,Vaughn Taylor,28.29,679,24
22,T22,T22,Brendon Todd,28.29,792,28
23,24,24,Derek Fathauer,28.33,850,30
24,25,25,Mark Hubbard,28.34,822,29
25,T26,T26,Ricky Barnes,28.36,794,28
26,T26,T26,Si Woo Kim,28.36,936,33
27,28,28,Luke Donald,28.39,653,23
28,29,29,Marc Leishman,28.42,682,24
29,30,30,Adam Hadwin,28.44,768,27
30,31,31,Camilo Villegas,28.46,740,26
31,32,32,David Hearn,28.48,826,29
32,T33,T33,Zach Johnson,28.52,656,23
33,T33,T33,Ryan Palmer,28.52,656,23
34,T33,T33,Sam Saunders,28.52,656,23
35,T36,T36,Chesson Hadley,28.54,742,26
36,T36,T36,Brandt Snedeker,28.54,742,26
37,T38,T38,Stuart Appleby,28.55,628,22
38,T38,T38,Billy Hurley III,28.55,571,20
39,T40,T40,Martin Laird,28.57,657,23
40,T40,T40,Tyrone Van Aswegen,28.57,857,30
41,T40,T40,Tim Wilkinson,28.57,600,21
42,T43,T43,Danny Lee,28.59,772,27
43,T43,T43,David Lingmerth,28.59,629,22
44,45,45,Kevin Na,28.6,715,25
45,46,46,Jason Day,28.63,544,19
46,47,47,Ryan Moore,28.64,630,22
47,48,48,Rod Pampling,28.65,487,17
48,49,49,Jon Curran,28.67,860,30
49,50,50,Ángel Cabrera,28.71,603,21
50,T51,T51,Daniel Berger,28.75,690,24
51,T51,T51,Hiroshi Iwata,28.75,805,28
52,T51,T51,Daniel Summerhays,28.75,805,28
53,T54,T54,Charley Hoffman,28.76,719,25
54,T54,T54,Steve Wheatcroft,28.76,719,25
55,56,56,Zac Blair,28.83,865,30
56,57,57,Colt Knost,28.84,721,25
57,T58,T58,Tyler Aldridge,28.85,779,27
58,T58,T58,Scott Brown,28.85,779,27
59,60,60,Martin Piller,28.86,606,21
60,61,61,Steve Marino,28.87,664,23
61,T62,T62,Steven Bowditch,28.88,751,26
62,T62,T62,Freddie Jacobson,28.88,751,26
63,T62,T62,Jhonattan Vegas,28.88,751,26
64,T65,T65,Billy Horschel,28.89,549,19
65,T65,T65,Francesco Molinari,28.89,520,18
66,T67,T67,Dicky Pride,28.9,578,20
67,T67,T67,Hudson Swafford,28.9,867,30
68,T69,T69,Jerry Kelly,28.91,665,23
69,T69,T69,Willy Wilcox,28.91,636,22
70,71,71,Matt Kuchar,28.92,723,25
71,72,72,Justin Rose,28.94,492,17
72,T73,T73,D.H. Lee,28.95,608,21
73,T73,T73,Henrik Norlander,28.95,579,20
74,T75,T75,Bronson Burgoon,28.96,753,26
75,T75,T75,Scott Piercy,28.96,666,23
76,T77,T77,Paul Casey,29.0,609,21
77,T77,T77,Roberto Castro,29.0,783,27
78,T77,T77,Erik Compton,29.0,638,22
79,T77,T77,Luke Guthrie,29.0,522,18
80,T77,T77,Morgan Hoffmann,29.0,696,24
81,T77,T77,Andrew Landry,29.0,493,17
82,T77,T77,Brian Stuard,29.0,580,20
83,T84,T84,Fabián Gómez,29.04,726,25
84,T84,T84,Patton Kizzire,29.04,755,26
85,T84,T84,Troy Merritt,29.04,755,26
86,T84,T84,Justin Thomas,29.04,784,27
87,T84,T84,Gary Woodland,29.04,726,25
88,89,89,Rob Oppenheim,29.05,581,20
89,90,90,Spencer Levin,29.06,901,31
90,T91,T91,Cameron Tringale,29.08,698,24
91,T91,T91,Dawie van der Walt,29.08,698,24
92,93,93,George McNeill,29.09,640,22
93,94,94,Ben Martin,29.11,786,27
94,T95,T95,Blayne Barber,29.12,757,26
95,T95,T95,Nick Taylor,29.12,728,25
96,97,97,Sergio Garcia,29.14,408,14
97,T98,T98,Chris Kirk,29.15,787,27
98,T98,T98,Scott Stallings,29.15,758,26
99,100,100,Derek Ernst,29.16,554,19
100,T101,T101,Brendon de Jonge,29.17,846,29
101,T101,T101,Bill Haas,29.17,671,23
102,103,103,Rickie Fowler,29.18,642,22
103,104,104,Jason Gore,29.19,759,26
104,T105,T105,Andres Gonzales,29.22,789,27
105,T105,T105,Sean O'Hair,29.22,789,27
106,107,107,D.A. Points,29.24,497,17
107,T108,T108,Sung Kang,29.25,819,28
108,T108,T108,Graeme McDowell,29.25,585,20
109,110,110,Smylie Kaufman,29.26,790,27
110,111,111,Vijay Singh,29.27,644,22
111,112,112,Bubba Watson,29.28,527,18
112,113,113,Chris Stroud,29.31,762,26
113,T114,T114,Hunter Mahan,29.32,645,22
114,T114,T114,William McGirt,29.32,821,28
115,T114,T114,Michael Thompson,29.32,645,22
116,T117,T117,Jeff Overton,29.35,675,23
117,T117,T117,Johnson Wagner,29.35,763,26
118,T119,T119,Chad Campbell,29.36,822,28
119,T119,T119,Russell Henley,29.36,734,25
120,T121,T121,Kevin Chappell,29.37,793,27
121,T121,T121,Rory Sabbatini,29.37,558,19
122,T123,T123,Jason Bohn,29.38,617,21
123,T123,T123,Luke List,29.38,764,26
124,T123,T123,Geoff Ogilvy,29.38,617,21
125,T123,T123,Boo Weekley,29.38,764,26
126,127,127,Webb Simpson,29.4,588,20
127,128,128,Kyle Stanley,29.41,794,27
128,129,129,Scott Langley,29.43,618,21
129,130,130,Louis Oosthuizen,29.44,471,16
130,T131,T131,James Hahn,29.46,766,26
131,T131,T131,Matt Jones,29.46,766,26
132,T131,T131,Chez Reavie,29.46,766,26
133,134,134,Branden Grace,29.47,501,17
134,T135,T135,Ernie Els,29.48,619,21
135,T135,T135,Kyle Reifers,29.48,973,33
136,T137,T137,Robert Garrigus,29.5,590,20
137,T137,T137,Emiliano Grillo,29.5,708,24
138,T137,T137,Anirban Lahiri,29.5,590,20
139,T140,T140,Tom Hoge,29.52,738,25
140,T140,T140,Cameron Smith,29.52,679,23
141,142,142,Kelly Kraft,29.53,561,19
142,143,143,Kevin Streelman,29.54,768,26
143,144,144,K.J. Choi,29.55,650,22
144,145,145,Brendan Steele,29.58,710,24
145,146,146,Tony Finau,29.61,829,28
146,T147,T147,Chad Collins,29.62,770,26
147,T147,T147,J.B. Holmes,29.62,622,21
148,T149,T149,Ken Duke,29.63,563,19
149,T149,T149,Padraig Harrington,29.63,474,16
150,T149,T149,Shane Lowry,29.63,474,16
151,T149,T149,John Senden,29.63,800,27
152,153,153,Whee Kim,29.65,771,26
153,154,154,Seung-Yul Noh,29.67,801,27
154,T155,T155,Brooks Koepka,29.68,564,19
155,T155,T155,Harold Varner III,29.68,831,28
156,157,157,Jim Herman,29.69,861,29
157,T158,T158,Scott Pinckney,29.71,832,28
158,T158,T158,Shawn Stefani,29.71,832,28
159,T160,T160,Wes Roach,29.75,595,20
160,T160,T160,Mark Wilson,29.75,595,20
161,162,162,Adam Scott,29.79,566,19
162,163,163,Carlos Ortiz,29.82,835,28
163,164,164,Abraham Ancer,29.83,537,18
164,T165,T165,Thomas Aiken,29.86,657,22
165,T165,T165,Jim Furyk,29.86,418,14
166,167,167,J.J. Henry,29.87,687,23
167,168,168,Russell Knox,29.88,717,24
168,T169,T169,Jason Dufner,29.93,808,27
169,T169,T169,Brett Stegmaier,29.93,808,27
170,171,171,Rhein Gibson,29.95,569,19
171,172,172,John Huh,29.96,809,27
172,T173,T173,Keegan Bradley,30.0,780,26
173,T173,T173,David Toms,30.0,570,19
174,175,175,Charl Schwartzel,30.11,542,18
175,176,176,Robert Streb,30.12,783,26
176,177,177,Patrick Rodgers,30.22,816,27
177,T178,T178,Lucas Glover,30.39,699,23
178,T178,T178,Jason Kokrak,30.39,851,28
179,180,180,Graham DeLaet,30.4,608,20
180,181,181,Rory McIlroy,30.41,517,17
181,182,182,Greg Owen,30.46,853,28
182,T183,T183,Robert Allenby,30.52,702,23
183,T183,T183,Will MacKenzie,30.52,763,25
184,185,185,Stewart Cink,30.79,585,19
