,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,1,1,Morgan Hoffmann,71,3,35
1,T2,T2,David Hearn,95,2,35
2,T2,T2,Dustin Johnson,87,2,26
3,T2,T2,Will MacKenzie,84,2,42
4,T2,T2,Henrik Norlander,71,2,31
5,T2,T2,Jeff Overton,69,2,44
6,T2,T2,D.A. Points,55,2,27
7,T2,T2,Dicky Pride,55,2,24
8,T9,T9,Tyler Aldridge,83,1,36
9,T9,T9,Robert Allenby,51,1,26
10,T9,T9,Blayne Barber,84,1,45
11,T9,T9,Ángel Cabrera,62,1,30
12,T9,T9,Paul Casey,77,1,28
13,T9,T9,K.J. Choi,73,1,28
14,T9,T9,Harris English,97,1,33
15,T9,T9,Derek Ernst,59,1,30
16,T9,T9,Fabián Gómez,82,1,46
17,T9,T9,Charley Hoffman,91,1,41
18,T9,T9,John Huh,86,1,39
19,T9,T9,Billy Hurley III,66,1,22
20,T9,T9,Sung Kang,89,1,35
21,T9,T9,Chris Kirk,90,1,38
22,T9,T9,Danny Lee,93,1,45
23,T9,T9,Steve Marino,72,1,34
24,T9,T9,William McGirt,98,1,36
25,T9,T9,Francesco Molinari,64,1,28
26,T9,T9,Rob Oppenheim,67,1,29
27,T9,T9,Greg Owen,85,1,53
28,T9,T9,Ryan Palmer,86,1,49
29,T9,T9,Sam Saunders,69,1,26
30,T9,T9,Adam Scott,79,1,37
31,T9,T9,Cameron Smith,73,1,25
32,T9,T9,Shawn Stefani,91,1,43
33,T9,T9,Robert Streb,87,1,42
34,T9,T9,Steve Stricker,53,1,13
35,T9,T9,Daniel Summerhays,99,1,33
36,T9,T9,Camilo Villegas,83,1,38
37,T9,T9,Gary Woodland,95,1,36
