,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,T1,T1,Dustin Johnson,87,1.71,1712,1001,36.58,T43
1,T1,T1,Jordan Spieth,80,1.71,1486,869,35.68,T145
2,3,3,Jason Day,76,1.7109999999999999,1429,835,34.7,53
3,4,4,Kevin Kisner,97,1.726,1904,1103,31.45,104
4,T5,T5,Jonas Blixt,79,1.73,1443,834,32.73,178
5,T5,T5,Adam Hadwin,93,1.73,1913,1106,31.73,83
6,T5,T5,Phil Mickelson,75,1.73,1481,856,33.37,84
7,8,8,Steve Stricker,53,1.732,1041,601,30.22,158
8,9,9,Luke Guthrie,57,1.733,1083,625,31.56,T152
9,10,10,Jason Bohn,67,1.736,1389,800,30.04,T72
10,T11,T11,Ricky Barnes,97,1.7380000000000002,1914,1101,30.94,88
11,T11,T11,Andrew Loupe,75,1.7380000000000002,1488,856,33.57,148
12,T13,T13,Freddie Jacobson,86,1.74,1747,1004,30.77,110
13,T13,T13,Daniel Summerhays,99,1.74,1954,1123,31.72,T156
14,15,15,Hideki Matsuyama,76,1.7409999999999999,1558,895,33.37,T35
15,16,16,Bryce Molder,80,1.742,1500,861,28.77,176
16,17,17,Ryan Moore,86,1.743,1672,959,29.99,87
17,18,18,Brooks Koepka,75,1.744,1472,844,33.65,59
18,T19,T19,Aaron Baddeley,93,1.745,1764,1011,31.21,154
19,T19,T19,Billy Hurley III,66,1.745,1300,745,28.9,166
20,T19,T19,Rory McIlroy,69,1.745,1356,777,35.32,11
21,T19,T19,Ryan Palmer,86,1.745,1832,1050,32.31,42
22,T23,T23,Stuart Appleby,71,1.746,1332,763,29.53,175
23,T23,T23,Retief Goosen,55,1.746,1084,621,28.87,T163
24,T25,T25,Matt Kuchar,100,1.7480000000000002,2049,1172,31.43,T43
25,T25,T25,Kevin Na,96,1.7480000000000002,1953,1117,30.89,T64
26,T27,T27,Alex Cejka,71,1.75,1435,820,30.2,39
27,T27,T27,Jon Curran,99,1.75,1965,1123,28.81,T156
28,T27,T27,Troy Merritt,77,1.75,1531,875,30.28,T152
29,T27,T27,Brandt Snedeker,93,1.75,1841,1052,30.95,90
30,31,31,Vaughn Taylor,72,1.751,1462,835,30.06,127
31,32,32,Sean O'Hair,89,1.7519999999999998,1885,1076,31.63,T54
32,33,33,Patrick Reed,105,1.7530000000000001,2019,1152,31.42,116
33,T34,T34,Derek Fathauer,94,1.754,1840,1049,30.25,172
34,T34,T34,Spencer Levin,104,1.754,2094,1194,28.46,T72
35,T36,T36,Smylie Kaufman,91,1.755,1843,1050,31.17,74
36,T36,T36,Peter Malnati,85,1.755,1667,950,29.04,171
37,T38,T38,David Hearn,95,1.757,2051,1167,28.03,31
38,T38,T38,Charles Howell III,91,1.757,1957,1114,30.75,38
39,T40,T40,J.B. Holmes,77,1.758,1526,868,33.45,105
40,T40,T40,Ben Martin,92,1.758,1858,1057,30.51,T64
41,T42,T42,Daniel Berger,92,1.7590000000000001,1907,1084,29.82,46
42,T42,T42,Ben Crane,80,1.7590000000000001,1530,870,29.15,143
43,T42,T42,Ernie Els,66,1.7590000000000001,1279,727,29.22,177
44,T42,T42,Morgan Hoffmann,71,1.7590000000000001,1342,763,31.54,150
45,T42,T42,Zach Johnson,90,1.7590000000000001,1757,999,29.86,122
46,T42,T42,Cameron Tringale,81,1.7590000000000001,1601,910,30.47,91
47,T48,T48,Brian Harman,104,1.76,2137,1214,30.53,111
48,T48,T48,Carlos Ortiz,79,1.76,1531,870,30.38,T125
49,T48,T48,Wes Roach,59,1.76,1102,626,30.83,151
50,T48,T48,Chris Stroud,82,1.76,1688,959,28.94,67
51,T48,T48,Jimmy Walker,85,1.76,1661,944,32.91,T135
52,T48,T48,Tim Wilkinson,72,1.76,1394,792,29.96,115
53,T54,T54,Anirban Lahiri,72,1.761,1375,781,30.47,161
54,T54,T54,Kyle Reifers,115,1.761,2379,1351,28.8,48
55,T54,T54,Willy Wilcox,67,1.761,1307,742,29.91,147
56,T57,T57,Hiroshi Iwata,85,1.7630000000000001,1567,889,29.2,181
57,T57,T57,Si Woo Kim,113,1.7630000000000001,2242,1272,30.44,T112
58,T59,T59,Patton Kizzire,93,1.764,1822,1033,29.94,124
59,T59,T59,Seung-Yul Noh,85,1.764,1660,941,30.0,121
60,61,61,Kevin Chappell,93,1.765,1961,1111,28.83,71
61,T62,T62,Roberto Castro,97,1.766,2132,1207,28.37,19
62,T62,T62,K.J. Choi,73,1.766,1517,859,28.64,97
63,T62,T62,Fabián Gómez,82,1.766,1600,906,29.76,141
64,T62,T62,Michael Kim,100,1.766,1921,1088,29.23,T159
65,T62,T62,Marc Leishman,89,1.766,1785,1011,28.94,100
66,T67,T67,Jamie Lovemark,91,1.767,1891,1070,31.21,99
67,T67,T67,Adam Scott,79,1.767,1710,968,31.06,3
68,T69,T69,Matt Jones,83,1.768,1628,921,29.92,T135
69,T69,T69,David Lingmerth,84,1.768,1609,910,29.88,134
70,T71,T71,William McGirt,98,1.7690000000000001,2101,1188,28.5,51
71,T71,T71,Nick Taylor,83,1.7690000000000001,1656,936,28.79,86
72,T73,T73,Scott Brown,88,1.77,1823,1030,29.21,107
73,T73,T73,Erik Compton,65,1.77,1177,665,28.01,183
74,T73,T73,Mark Hubbard,101,1.77,1963,1109,29.29,T145
75,T73,T73,Colt Knost,90,1.77,1788,1010,27.21,103
76,T73,T73,Justin Rose,65,1.77,1342,758,30.78,40
77,T73,T73,Michael Thompson,71,1.77,1434,810,31.39,T79
78,T73,T73,Steve Wheatcroft,85,1.77,1598,903,29.37,173
79,T80,T80,Rickie Fowler,80,1.771,1700,960,29.41,15
80,T80,T80,Vijay Singh,72,1.771,1440,813,28.94,T163
81,T80,T80,Kyle Stanley,92,1.771,1906,1076,28.16,T54
82,T83,T83,Lucas Glover,75,1.7719999999999998,1714,967,29.09,1
83,T83,T83,Kelly Kraft,63,1.7719999999999998,1269,716,28.81,50
84,T85,T85,Graham DeLaet,70,1.7730000000000001,1440,812,30.58,28
85,T85,T85,D.H. Lee,61,1.7730000000000001,1094,617,28.34,180
86,T85,T85,Dicky Pride,55,1.7730000000000001,1030,581,27.85,179
87,T88,T88,Tom Hoge,81,1.774,1536,866,28.26,167
88,T88,T88,Chris Kirk,90,1.774,1739,980,28.02,132
89,T88,T88,Hunter Mahan,61,1.774,1222,689,29.11,162
90,T88,T88,Cameron Smith,73,1.774,1382,779,29.14,165
91,T88,T88,Hudson Swafford,104,1.774,2285,1288,30.69,22
92,T88,T88,Brendon Todd,66,1.774,1091,615,27.36,185
93,T94,T94,Jason Gore,78,1.775,1573,886,28.65,68
94,T94,T94,Justin Thomas,99,1.775,2013,1134,31.1,94
