,One-Putt_Percentage_-_Round_2_RANK THIS WEEK,One-Putt_Percentage_-_Round_2_RANK LAST WEEK,One-Putt_Percentage_-_Round_2_PLAYER NAME,One-Putt_Percentage_-_Round_2_%,One-Putt_Percentage_-_Round_2_# OF 1 PUTTS,One-Putt_Percentage_-_Round_2_# OF HOLES
0,1,1,Brendon Todd,48.61,245,504
1,2,2,Jason Day,46.3,150,324
2,3,3,Steve Stricker,45.93,124,270
3,4,4,Billy Hurley III,45.56,164,360
4,5,5,Chad Collins,45.3,212,468
5,6,6,Luke Guthrie,44.75,145,324
6,7,7,Rory McIlroy,44.44,136,306
7,8,8,Jon Curran,44.26,239,540
8,9,9,Jordan Spieth,43.89,158,360
9,10,10,K.J. Choi,43.69,173,396
10,11,11,Troy Merritt,43.59,204,468
11,12,12,Jonas Blixt,43.56,196,450
12,13,13,Brian Stuard,43.33,156,360
13,14,14,Hiroshi Iwata,43.25,218,504
14,15,15,Andrew Landry,43.14,132,306
15,T16,T16,Graham DeLaet,43.06,155,360
16,T16,T16,Morgan Hoffmann,43.06,186,432
17,T16,T16,Dicky Pride,43.06,155,360
18,19,19,Cameron Smith,43.0,178,414
19,20,20,Padraig Harrington,42.71,123,288
20,21,21,Ryan Moore,42.68,169,396
21,22,22,Colt Knost,42.67,192,450
22,23,23,Daniel Summerhays,42.66,215,504
23,24,24,Adam Hadwin,42.59,207,486
24,T25,T25,Tom Hoge,42.44,191,450
25,T25,T25,Matt Kuchar,42.44,191,450
26,27,27,Charl Schwartzel,42.28,137,324
27,T28,T28,Michael Kim,42.26,213,504
28,T28,T28,William McGirt,42.26,213,504
29,30,30,Ken Duke,42.11,144,342
30,31,31,D.H. Lee,41.94,151,360
31,T32,T32,Stuart Appleby,41.92,166,396
32,T32,T32,Vijay Singh,41.92,166,396
33,34,34,Russell Knox,41.9,181,432
34,35,35,Steven Bowditch,41.88,196,468
35,36,36,Derek Fathauer,41.87,211,504
36,T37,T37,Freddie Jacobson,41.67,195,468
37,T37,T37,Shane Lowry,41.67,120,288
38,T37,T37,Jeff Overton,41.67,165,396
39,40,40,Aaron Baddeley,41.56,202,486
40,41,41,Zach Johnson,41.55,172,414
41,42,42,Ernie Els,41.53,157,378
42,T43,T43,Chris Kirk,41.45,194,468
43,T43,T43,Kevin Kisner,41.45,194,468
44,45,45,Retief Goosen,41.32,119,288
45,46,46,Erik Compton,41.27,156,378
46,47,47,Brooks Koepka,41.23,141,342
47,48,48,Mark Wilson,41.11,148,360
48,49,49,Wes Roach,40.94,140,342
49,50,50,Luke List,40.81,191,468
50,51,51,Ricky Barnes,40.74,198,486
51,52,52,Steve Wheatcroft,40.67,183,450
52,53,53,Zac Blair,40.61,212,522
53,T54,T54,Harris English,40.6,190,468
54,T54,T54,Boo Weekley,40.6,190,468
55,56,56,Spencer Levin,40.5,226,558
56,57,57,Tim Wilkinson,40.48,153,378
57,58,58,Peter Malnati,40.45,233,576
58,59,59,Patton Kizzire,40.38,189,468
59,60,60,Andrew Loupe,40.33,196,486
60,T61,T61,Seung-Yul Noh,40.17,188,468
61,T61,T61,Sean O'Hair,40.17,188,468
62,63,63,Derek Ernst,40.06,137,342
63,T64,T64,Bryce Molder,40.0,180,450
64,T64,T64,Kevin Na,40.0,180,450
65,66,66,Matt Jones,39.96,187,468
66,T67,T67,Paul Casey,39.95,151,378
67,T67,T67,Dustin Johnson,39.95,151,378
68,T67,T67,Willy Wilcox,39.95,151,378
69,70,70,Steve Marino,39.9,158,396
70,T71,T71,Luke Donald,39.86,165,414
71,T71,T71,Ryan Palmer,39.86,165,414
72,73,73,Will MacKenzie,39.78,179,450
73,74,74,Anirban Lahiri,39.72,143,360
74,75,75,Roberto Castro,39.71,193,486
75,T76,T76,Sung Kang,39.68,200,504
76,T76,T76,Geoff Ogilvy,39.68,150,378
77,T76,T76,Martin Piller,39.68,150,378
78,79,79,Mark Hubbard,39.66,207,522
79,80,80,Jerry Kelly,39.61,164,414
80,81,81,Chris Stroud,39.58,171,432
81,82,82,Charley Hoffman,39.56,178,450
82,83,83,Branden Grace,39.54,121,306
83,84,84,Francesco Molinari,39.51,128,324
84,85,85,Phil Mickelson,39.42,149,378
85,86,86,Nick Taylor,39.33,177,450
86,T87,T87,Scott Brown,39.32,184,468
87,T87,T87,Jason Kokrak,39.32,184,468
88,T87,T87,Chez Reavie,39.32,184,468
89,90,90,Jim Herman,39.27,205,522
90,91,91,Si Woo Kim,39.23,233,594
91,92,92,Hideki Matsuyama,39.15,148,378
92,93,93,Hunter Mahan,39.14,155,396
93,94,94,Tyrone Van Aswegen,39.08,204,522
94,95,95,Kyle Reifers,39.06,225,576
95,T96,T96,David Toms,38.89,133,342
96,T96,T96,Cameron Tringale,38.89,168,432
97,T96,T96,Harold Varner III,38.89,196,504
98,T96,T96,Jimmy Walker,38.89,168,432
99,100,100,Carlos Ortiz,38.69,195,504
100,101,101,Jason Gore,38.66,167,432
101,102,102,J.B. Holmes,38.62,146,378
102,103,103,Rob Oppenheim,38.61,139,360
103,104,104,Abraham Ancer,38.58,125,324
104,T105,T105,John Huh,38.48,187,486
105,T105,T105,Patrick Reed,38.48,187,486
106,107,107,Brandt Snedeker,38.44,173,450
107,T108,T108,Fabián Gómez,38.43,166,432
108,T108,T108,Brendan Steele,38.43,166,432
109,T108,T108,Vaughn Taylor,38.43,166,432
110,111,111,Rickie Fowler,38.38,152,396
111,112,112,Rhein Gibson,38.3,131,342
112,113,113,Patrick Rodgers,38.27,186,486
113,114,114,Scott Stallings,38.22,172,450
114,115,115,David Lingmerth,38.16,158,414
115,116,116,Michael Thompson,38.13,151,396
116,117,117,Jim Furyk,38.1,96,252
117,118,118,Chesson Hadley,38.03,178,468
118,119,119,Billy Horschel,38.01,130,342
119,120,120,Brendon de Jonge,37.93,198,522
120,121,121,Blayne Barber,37.82,177,468
121,122,122,Brian Harman,37.81,211,558
122,123,123,Camilo Villegas,37.78,170,450
123,124,124,Kelly Kraft,37.72,129,342
124,T125,T125,Smylie Kaufman,37.65,183,486
125,T125,T125,Danny Lee,37.65,183,486
126,127,127,D.A. Points,37.58,115,306
127,128,128,Ben Crane,37.56,169,450
128,129,129,Chad Campbell,37.5,189,504
129,130,130,Adam Scott,37.43,128,342
130,T131,T131,Bronson Burgoon,37.39,175,468
131,T131,T131,Brett Stegmaier,37.39,175,468
132,133,133,Jason Bohn,37.3,141,378
133,134,134,Kyle Stanley,37.24,181,486
134,135,135,Jamie Lovemark,37.04,180,486
135,136,136,John Senden,36.83,179,486
136,T137,T137,Tony Finau,36.71,185,504
137,T137,T137,Bill Haas,36.71,152,414
138,T137,T137,Greg Owen,36.71,185,504
139,T137,T137,Shawn Stefani,36.71,185,504
140,T141,T141,Charles Howell III,36.67,165,450
141,T141,T141,Webb Simpson,36.67,132,360
142,T141,T141,Gary Woodland,36.67,165,450
143,144,144,Emiliano Grillo,36.57,158,432
144,145,145,Lucas Glover,36.47,151,414
145,146,146,Jason Dufner,36.42,177,486
146,147,147,David Hearn,36.4,190,522
147,148,148,Sam Saunders,36.36,144,396
148,149,149,Daniel Berger,36.34,157,432
149,150,150,Ben Martin,36.21,176,486
