,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Dustin Johnson,87,47.09,178,378
1,2,2,Ben Crane,80,46.0,207,450
2,3,3,Retief Goosen,55,45.14,130,288
3,4,4,Bryce Molder,80,45.11,203,450
4,5,5,Hideki Matsuyama,76,44.7,177,396
5,6,6,Andrew Loupe,75,44.44,216,486
6,7,7,Peter Malnati,85,44.27,255,576
7,8,8,Jonas Blixt,79,44.22,199,450
8,9,9,Phil Mickelson,75,44.18,167,378
9,10,10,Jimmy Walker,85,43.98,190,432
10,11,11,Tyrone Van Aswegen,105,43.7,236,540
11,12,12,Michael Kim,100,43.65,220,504
12,13,13,Aaron Baddeley,93,43.21,210,486
13,14,14,Brian Harman,104,43.19,241,558
14,15,15,Charles Howell III,91,43.11,194,450
15,16,16,Ricky Barnes,97,43.06,217,504
16,17,17,Jamie Lovemark,91,43.0,209,486
17,18,18,Steve Stricker,53,42.96,116,270
18,19,19,Alex Cejka,71,42.86,162,378
19,20,20,Jordan Spieth,80,42.5,153,360
20,21,21,Derek Fathauer,94,42.41,229,540
21,22,22,Camilo Villegas,83,42.31,198,468
22,23,23,Rod Pampling,54,42.16,129,306
23,24,24,Kevin Kisner,97,42.09,197,468
24,25,25,Harris English,97,41.98,204,486
25,T26,T26,Si Woo Kim,113,41.92,249,594
26,T26,T26,George McNeill,51,41.92,166,396
27,28,28,Jason Day,76,41.81,143,342
28,29,29,Martin Laird,82,41.79,173,414
29,30,30,Mark Hubbard,101,41.57,217,522
30,31,31,Marc Leishman,89,41.44,179,432
31,T32,T32,Billy Hurley III,66,41.39,149,360
32,T32,T32,Dicky Pride,55,41.39,149,360
33,34,34,David Hearn,95,41.38,216,522
34,T35,T35,Andres Gonzales,80,41.36,201,486
35,T35,T35,Adam Hadwin,93,41.36,201,486
36,37,37,Fabián Gómez,82,41.33,186,450
37,38,38,Brendon Todd,66,41.27,208,504
38,T39,T39,Charley Hoffman,91,41.11,185,450
39,T39,T39,Kevin Na,96,41.11,185,450
40,T39,T39,Brian Stuard,66,41.11,148,360
41,42,42,Brandt Snedeker,93,41.03,192,468
42,43,43,Ángel Cabrera,62,41.01,155,378
43,44,44,Vaughn Taylor,72,40.97,177,432
44,T45,T45,Stuart Appleby,71,40.91,162,396
45,T45,T45,Willy Wilcox,67,40.91,162,396
46,47,47,Ryan Palmer,86,40.82,169,414
47,48,48,Hudson Swafford,104,40.74,220,540
48,49,49,Steven Bowditch,71,40.6,190,468
49,T50,T50,Luke Donald,81,40.58,168,414
50,T50,T50,Scott Piercy,87,40.58,168,414
51,52,52,Jon Curran,99,40.56,219,540
52,53,53,Danny Lee,93,40.53,197,486
53,54,54,Ryan Moore,86,40.4,160,396
54,T55,T55,Billy Horschel,73,40.35,138,342
55,T55,T55,Rory Sabbatini,57,40.35,138,342
56,57,57,Zach Johnson,90,40.34,167,414
57,58,58,Patrick Reed,105,40.33,196,486
58,59,59,Rob Oppenheim,67,40.28,145,360
59,60,60,Justin Thomas,99,40.12,195,486
60,T61,T61,Colt Knost,90,40.0,180,450
61,T61,T61,Matt Kuchar,100,40.0,180,450
62,T61,T61,Graeme McDowell,63,40.0,144,360
63,64,64,Tim Wilkinson,72,39.95,151,378
64,65,65,Tyler Aldridge,83,39.92,194,486
65,66,66,Daniel Summerhays,99,39.88,201,504
66,67,67,Sam Saunders,69,39.86,165,414
