,Putting_from_-_10-15_RANK THIS WEEK,Putting_from_-_10-15_RANK LAST WEEK,Putting_from_-_10-15_PLAYER NAME,Putting_from_-_10-15_ROUNDS,Putting_from_-_10-15_% MADE,Putting_from_-_10-15_ATTEMPTS,Putting_from_-_10-15_PUTTS MADE
0,1,1,Jason Day,76,41.18,153,63
1,2,2,K.J. Choi,73,40.59,170,69
2,3,3,Steve Stricker,53,39.22,102,40
3,4,4,Shane Lowry,57,38.78,98,38
4,T5,T5,Steve Marino,72,37.5,152,57
5,T5,T5,Charl Schwartzel,73,37.5,136,51
6,7,7,Kevin Na,96,36.63,202,74
7,8,8,Jonas Blixt,79,35.88,170,61
8,9,9,Tim Wilkinson,72,35.65,115,41
9,10,10,Smylie Kaufman,91,35.51,214,76
10,11,11,Brian Harman,104,35.32,235,83
11,12,12,Scott Brown,88,35.16,182,64
12,13,13,Brandt Snedeker,93,35.08,191,67
13,14,14,Hunter Mahan,61,35.04,137,48
14,15,15,Freddie Jacobson,86,34.97,183,64
15,16,16,Jordan Spieth,80,34.87,152,53
16,17,17,Andrew Loupe,75,34.84,155,54
17,T18,T18,Steven Bowditch,71,34.38,128,44
18,T18,T18,Ryan Palmer,86,34.38,224,77
19,20,20,William McGirt,98,33.91,233,79
20,21,21,Harris English,97,33.9,177,60
21,22,22,Retief Goosen,55,33.88,121,41
22,23,23,D.H. Lee,61,33.86,127,43
23,24,24,Jamie Lovemark,91,33.82,204,69
24,25,25,Vaughn Taylor,72,33.75,160,54
25,26,26,Brendon de Jonge,83,33.68,193,65
26,27,27,Jon Curran,99,33.66,205,69
27,T28,T28,Hideki Matsuyama,76,33.53,167,56
28,T28,T28,Bryce Molder,80,33.53,170,57
29,30,30,Aaron Baddeley,93,33.52,176,59
30,31,31,Kevin Kisner,97,33.33,207,69
31,32,32,John Senden,88,33.05,233,77
32,33,33,Derek Fathauer,94,33.01,206,68
33,34,34,Andrew Landry,53,32.99,97,32
34,35,35,Andres Gonzales,80,32.98,191,63
35,36,36,Phil Mickelson,75,32.93,167,55
36,37,37,Matt Kuchar,100,32.65,196,64
37,38,38,Brooks Koepka,75,32.6,181,59
38,39,39,Martin Piller,59,32.59,135,44
39,40,40,Kyle Stanley,92,32.58,221,72
40,41,41,Sam Saunders,69,32.5,120,39
41,42,42,Boo Weekley,83,32.49,197,64
42,43,43,Luke List,79,32.37,173,56
43,44,44,Paul Casey,77,32.3,161,52
44,45,45,Dustin Johnson,87,32.28,189,61
45,46,46,Rob Oppenheim,67,32.12,137,44
46,47,47,Louis Oosthuizen,63,32.04,103,33
47,48,48,David Hearn,95,31.93,238,76
48,49,49,Webb Simpson,70,31.88,160,51
49,50,50,Charley Hoffman,91,31.68,202,64
50,51,51,Sean O'Hair,89,31.63,215,68
51,T52,T52,Ricky Barnes,97,31.51,219,69
52,T52,T52,Brendon Todd,66,31.51,146,46
53,54,54,Branden Grace,63,31.43,105,33
54,55,55,Morgan Hoffmann,71,31.37,153,48
55,56,56,Si Woo Kim,113,31.28,243,76
56,57,57,Tyler Aldridge,83,31.16,199,62
57,T58,T58,Michael Kim,100,31.14,228,71
58,T58,T58,Patton Kizzire,93,31.14,167,52
59,60,60,Ángel Cabrera,62,31.06,132,41
60,T61,T61,Zac Blair,99,31.02,216,67
61,T61,T61,Emiliano Grillo,93,31.02,216,67
62,T63,T63,Luke Guthrie,57,30.97,113,35
63,T63,T63,Kyle Reifers,115,30.97,268,83
64,65,65,Camilo Villegas,83,30.95,210,65
65,66,66,Michael Thompson,71,30.67,163,50
66,T67,T67,Stuart Appleby,71,30.64,173,53
67,T67,T67,Patrick Reed,105,30.64,235,72
68,T69,T69,Mark Hubbard,101,30.49,223,68
69,T69,T69,Marc Leishman,89,30.49,164,50
70,71,71,Chris Stroud,82,30.43,207,63
71,72,72,Billy Hurley III,66,30.38,158,48
72,73,73,Zach Johnson,90,30.32,221,67
73,T74,T74,Billy Horschel,73,30.26,152,46
74,T74,T74,Russell Knox,92,30.26,152,46
75,76,76,Sung Kang,89,30.25,162,49
76,77,77,Vijay Singh,72,30.22,182,55
77,T78,T78,Seung-Yul Noh,85,30.06,163,49
78,T78,T78,Brian Stuard,66,30.06,163,49
79,T80,T80,Kelly Kraft,63,30.0,130,39
80,T80,T80,Greg Owen,85,30.0,210,63
81,T80,T80,Hudson Swafford,104,30.0,270,81
82,83,83,Ben Crane,80,29.83,181,54
83,84,84,Thomas Aiken,70,29.79,141,42
84,85,85,George McNeill,51,29.75,121,36
85,86,86,Cameron Tringale,81,29.74,195,58
86,87,87,Martin Laird,82,29.69,192,57
87,88,88,Adam Hadwin,93,29.66,236,70
88,T89,T89,Jhonattan Vegas,97,29.63,216,64
89,T89,T89,Johnson Wagner,86,29.63,189,56
90,91,91,Jim Herman,93,29.61,179,53
91,92,92,Rory McIlroy,69,29.53,149,44
92,T93,T93,Rickie Fowler,80,29.52,166,49
93,T93,T93,Scott Stallings,74,29.52,166,49
94,95,95,Ryan Moore,86,29.47,190,56
95,96,96,Bronson Burgoon,83,29.38,177,52
96,97,97,Tyrone Van Aswegen,105,29.3,256,75
97,98,98,Whee Kim,82,29.29,198,58
98,99,99,Dicky Pride,55,29.2,113,33
99,100,100,Peter Malnati,85,28.96,221,64
100,101,101,David Lingmerth,84,28.92,166,48
101,102,102,Chad Collins,73,28.87,194,56
102,103,103,Scott Pinckney,87,28.84,215,62
103,104,104,Russell Henley,76,28.79,198,57
104,105,105,Daniel Summerhays,99,28.72,188,54
105,106,106,John Huh,86,28.71,209,60
106,107,107,Blayne Barber,84,28.7,216,62
107,108,108,Anirban Lahiri,72,28.68,136,39
108,T109,T109,Graham DeLaet,70,28.65,171,49
109,T109,T109,Jason Gore,78,28.65,171,49
110,T111,T111,Jim Furyk,52,28.57,140,40
111,T111,T111,Gary Woodland,95,28.57,210,60
112,113,113,Robert Garrigus,69,28.48,165,47
113,114,114,Bubba Watson,72,28.47,137,39
114,115,115,Adam Scott,79,28.4,162,46
115,116,116,Luke Donald,81,28.38,148,42
116,117,117,Rod Pampling,54,28.16,103,29
117,118,118,Tony Finau,95,28.11,185,52
118,119,119,Shawn Stefani,91,28.02,207,58
119,T120,T120,Fabián Gómez,82,28.0,200,56
120,T120,T120,Hiroshi Iwata,85,28.0,175,49
121,122,122,Lucas Glover,75,27.89,190,53
122,123,123,Nick Taylor,83,27.88,165,46
123,124,124,Tom Hoge,81,27.87,183,51
124,125,125,Steve Wheatcroft,85,27.81,169,47
125,126,126,Stewart Cink,61,27.69,130,36
126,127,127,Jimmy Walker,85,27.66,188,52
127,128,128,Henrik Norlander,71,27.56,156,43
128,129,129,Willy Wilcox,67,27.45,153,42
129,130,130,Derek Ernst,59,27.42,124,34
130,T131,T131,Ken Duke,58,27.34,139,38
131,T131,T131,Graeme McDowell,63,27.34,128,35
132,133,133,Chesson Hadley,81,27.23,202,55
133,134,134,Robert Streb,87,26.99,163,44
134,135,135,Roberto Castro,97,26.97,267,72
135,136,136,Wes Roach,59,26.92,104,28
