,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
0,1,1,Brendon Todd,66,8.06,508,63
1,2,2,Jordan Spieth,80,7.97,606,76
2,3,3,Aaron Baddeley,93,7.9,703,89
3,4,4,Jonas Blixt,79,7.89,600,76
4,5,5,Stuart Appleby,71,7.88,544,69
5,6,6,Jason Day,76,7.86,542,69
6,T7,T7,Phil Mickelson,75,7.83,564,72
7,T7,T7,Steve Stricker,53,7.83,415,53
8,9,9,Luke Guthrie,57,7.73,425,55
9,10,10,Bryce Molder,80,7.69,600,78
10,11,11,Jon Curran,99,7.66,758,99
11,T12,T12,Billy Hurley III,66,7.62,503,66
12,T12,T12,Peter Malnati,85,7.62,648,85
13,14,14,Derek Fathauer,94,7.59,713,94
14,15,15,Hiroshi Iwata,85,7.55,627,83
15,16,16,Steve Wheatcroft,85,7.54,611,81
16,17,17,Dustin Johnson,87,7.52,617,82
17,18,18,Ben Crane,80,7.51,571,76
18,T19,T19,Brian Harman,104,7.49,779,104
19,T19,T19,Tim Wilkinson,72,7.49,509,68
20,21,21,Freddie Jacobson,86,7.48,643,86
21,T22,T22,Steven Bowditch,71,7.46,530,71
22,T22,T22,Michael Kim,100,7.46,716,96
23,T24,T24,Adam Hadwin,93,7.45,693,93
24,T24,T24,Andrew Loupe,75,7.45,559,75
25,T26,T26,Dicky Pride,55,7.43,394,53
26,T26,T26,Jimmy Walker,85,7.43,609,82
27,T28,T28,Zach Johnson,90,7.42,638,86
28,T28,T28,Hideki Matsuyama,76,7.42,542,73
29,T30,T30,J.B. Holmes,77,7.39,547,74
30,T30,T30,Anirban Lahiri,72,7.39,510,69
31,32,32,Retief Goosen,55,7.38,406,55
32,33,33,Daniel Summerhays,99,7.37,730,99
33,T34,T34,Morgan Hoffmann,71,7.36,493,67
34,T34,T34,Chris Kirk,90,7.36,626,85
35,36,36,Ricky Barnes,97,7.35,684,93
36,37,37,Brandt Snedeker,93,7.33,652,89
37,T38,T38,Zac Blair,99,7.32,695,95
38,T38,T38,Kevin Kisner,97,7.32,688,94
39,40,40,Troy Merritt,77,7.31,563,77
40,T41,T41,Mark Hubbard,101,7.3,708,97
41,T41,T41,Brooks Koepka,75,7.3,511,70
42,T43,T43,Alex Cejka,71,7.28,488,67
43,T43,T43,Si Woo Kim,113,7.28,794,109
