,GIR_Putting_-_10-15_RANK THIS WEEK,GIR_Putting_-_10-15_RANK LAST WEEK,GIR_Putting_-_10-15_PLAYER NAME,GIR_Putting_-_10-15_ROUNDS,GIR_Putting_-_10-15_%,GIR_Putting_-_10-15_ATTEMPTS,GIR_Putting_-_10-15_PUTTS MADE
0,1,1,Steve Stricker,53,37.5,72,27
1,2,2,Jason Day,76,37.38,107,40
2,3,3,K.J. Choi,73,36.89,122,45
3,4,4,Shane Lowry,57,35.94,64,23
4,5,5,Vijay Singh,72,35.65,115,41
5,6,6,Ryan Palmer,86,35.58,163,58
6,7,7,Hideki Matsuyama,76,35.51,138,49
7,8,8,Charl Schwartzel,73,35.14,111,39
8,9,9,Dustin Johnson,87,35.1,151,53
9,10,10,Andrew Loupe,75,34.95,103,36
10,11,11,Steven Bowditch,71,34.78,69,24
11,12,12,Kyle Stanley,92,34.57,162,56
12,13,13,Kevin Na,96,34.39,157,54
13,14,14,Brendon de Jonge,83,34.15,123,42
14,15,15,John Senden,88,34.13,167,57
15,16,16,Hunter Mahan,61,34.09,88,30
16,17,17,Billy Hurley III,66,33.64,110,37
17,18,18,Vaughn Taylor,72,33.63,113,38
18,19,19,Jordan Spieth,80,33.33,114,38
19,20,20,Smylie Kaufman,91,33.11,148,49
20,21,21,Michael Thompson,71,33.06,124,41
21,22,22,Webb Simpson,70,33.05,118,39
22,23,23,Graham DeLaet,70,33.04,112,37
23,24,24,Retief Goosen,55,32.94,85,28
24,25,25,William McGirt,98,32.93,167,55
25,26,26,D.H. Lee,61,32.89,76,25
26,27,27,Brian Harman,104,32.88,146,48
27,28,28,Freddie Jacobson,86,32.8,125,41
28,29,29,Si Woo Kim,113,32.76,174,57
29,30,30,Bryce Molder,80,32.73,110,36
30,31,31,Martin Piller,59,32.63,95,31
31,32,32,Jamie Lovemark,91,32.39,142,46
32,33,33,Willy Wilcox,67,32.38,105,34
33,34,34,Brandt Snedeker,93,32.12,137,44
34,35,35,Andrew Landry,53,31.88,69,22
35,36,36,Stuart Appleby,71,31.86,113,36
36,37,37,Charley Hoffman,91,31.76,148,47
37,38,38,Patton Kizzire,93,31.73,104,33
38,39,39,Steve Marino,72,31.68,101,32
39,40,40,Kevin Kisner,97,31.65,139,44
40,41,41,Michael Kim,100,31.54,149,47
41,42,42,Tim Wilkinson,72,31.46,89,28
42,43,43,Harris English,97,31.45,124,39
43,44,44,Morgan Hoffmann,71,31.31,99,31
44,45,45,Adam Hadwin,93,31.18,170,53
45,46,46,Sean O'Hair,89,30.92,152,47
46,47,47,Matt Kuchar,100,30.77,143,44
47,48,48,Emiliano Grillo,93,30.72,153,47
48,49,49,Charles Howell III,91,30.61,147,45
49,50,50,Peter Malnati,85,30.57,157,48
50,51,51,Kyle Reifers,115,30.53,190,58
51,52,52,Jon Curran,99,30.5,141,43
52,53,53,Luke Guthrie,57,30.49,82,25
53,54,54,Jonas Blixt,79,30.3,99,30
54,55,55,Greg Owen,85,30.25,162,49
55,56,56,Rob Oppenheim,67,30.21,96,29
56,57,57,Ben Crane,80,30.16,126,38
57,58,58,Ricky Barnes,97,30.15,136,41
58,59,59,Dicky Pride,55,30.12,83,25
59,60,60,Patrick Reed,105,29.89,174,52
60,61,61,Boo Weekley,83,29.79,141,42
61,62,62,Brooks Koepka,75,29.69,128,38
62,63,63,Anirban Lahiri,72,29.67,91,27
63,64,64,Phil Mickelson,75,29.66,118,35
64,65,65,Jimmy Walker,85,29.55,132,39
65,66,66,Scott Pinckney,87,29.53,149,44
66,67,67,Rory Sabbatini,57,29.41,68,20
67,68,68,Zach Johnson,90,29.3,157,46
68,T69,T69,Rickie Fowler,80,29.27,123,36
69,T69,T69,Andres Gonzales,80,29.27,123,36
