,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
168,169,169,Brian Stuard,66,97.95,879,23,838
169,T170,T170,Carlos Ortiz,79,97.92,867,18,831
170,T170,T170,Harold Varner III,92,97.92,1155,31,1100
171,172,172,Jeff Overton,69,97.9,856,24,814
172,173,173,J.B. Holmes,77,97.89,852,26,808
173,174,174,Stewart Cink,61,97.82,735,15,704
174,175,175,Anirban Lahiri,72,97.8,681,12,654
175,176,176,Keegan Bradley,82,97.69,952,16,914
176,177,177,Scott Stallings,74,97.67,903,12,870
177,178,178,Rhein Gibson,58,97.53,647,17,614
178,T179,T179,Kevin Chappell,93,97.48,1153,24,1100
179,T179,T179,Rory Sabbatini,57,97.48,595,19,561
180,181,181,Greg Owen,85,97.27,1027,22,977
181,182,182,Luke List,79,96.96,986,28,928
182,T183,T183,Geoff Ogilvy,63,96.4,749,14,708
183,T183,T183,Webb Simpson,70,96.4,861,22,808
184,185,185,Ken Duke,58,96.2,711,16,668
