,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Jason Day,76,"89' 3""",57809,54,"5' 0""","157' 1"""
1,2,2,Brooks Koepka,75,"81' 10""",58937,60,"4' 7""","132' 6"""
2,3,3,Jordan Spieth,80,"81' 8""",56840,58,"4' 8""","156' 11"""
3,4,4,Ben Martin,92,"79' 10""",76631,80,"4' 6""","152' 9"""
4,5,5,Daniel Summerhays,99,"79' 1""",74975,79,"4' 5""","188' 8"""
5,6,6,Zach Johnson,90,"78' 10""",69076,73,"4' 5""","137' 10"""
6,7,7,Luke Guthrie,57,"78' 7""",42453,45,"4' 5""","183' 2"""
7,8,8,Andrew Loupe,75,"78' 4""",62013,66,"4' 5""","146' 5"""
8,9,9,Kevin Kisner,97,"78' 1""",68410,73,"4' 4""","138' 10"""
9,10,10,Phil Mickelson,75,"77' 10""",55085,59,"4' 4""","143' 5"""
10,11,11,Harris English,97,"77' 7""",67007,72,"4' 4""","178' 3"""
11,12,12,Ernie Els,66,"77' 5""",51999,56,"4' 4""","147' 11"""
12,13,13,Patton Kizzire,93,"77' 4""",68690,74,"4' 4""","190' 2"""
13,14,14,Sean O'Hair,89,"77' 3""",77902,84,"4' 4""","160' 2"""
14,15,15,Dicky Pride,55,"77' 2""",37955,41,"4' 4""","164' 11"""
15,16,16,Kevin Na,96,"77' 0""",63765,69,"4' 4""","157' 8"""
16,17,17,Michael Kim,100,"76' 11""",78433,85,"4' 4""","147' 7"""
17,T18,T18,Fabián Gómez,82,"76' 10""",67313,73,"4' 4""","145' 7"""
18,T18,T18,Brendon Todd,66,"76' 10""",49785,54,"4' 4""","137' 11"""
19,T20,T20,Russell Henley,76,"76' 8""",63460,69,"4' 4""","144' 2"""
20,T20,T20,Rory McIlroy,69,"76' 8""",44152,48,"4' 4""","155' 8"""
21,22,22,Camilo Villegas,83,"76' 6""",65149,71,"4' 4""","136' 7"""
22,23,23,Steve Stricker,53,"76' 4""",41229,45,"4' 4""","159' 4"""
23,T24,T24,Zac Blair,99,"76' 3""",74090,81,"4' 3""","188' 10"""
24,T24,T24,Morgan Hoffmann,71,"76' 3""",53965,59,"4' 3""","136' 11"""
25,T24,T24,Jhonattan Vegas,97,"76' 3""",73213,80,"4' 3""","156' 8"""
26,T27,T27,Jonas Blixt,79,"76' 2""",61240,67,"4' 3""","141' 8"""
27,T27,T27,Adam Hadwin,93,"76' 2""",79520,87,"4' 3""","146' 4"""
28,29,29,Chris Stroud,82,"76' 0""",62913,69,"4' 3""","134' 9"""
29,30,30,John Senden,88,"75' 11""",71036,78,"4' 3""","152' 1"""
30,T31,T31,Derek Fathauer,94,"75' 10""",68219,75,"4' 3""","153' 5"""
31,T31,T31,Johnson Wagner,86,"75' 10""",69167,76,"4' 3""","184' 11"""
32,T33,T33,Ryan Moore,86,"75' 9""",59109,65,"4' 3""","142' 9"""
33,T33,T33,Scott Pinckney,87,"75' 9""",64520,71,"4' 3""","178' 1"""
34,T35,T35,Tom Hoge,81,"75' 7""",57126,63,"4' 3""","130' 0"""
35,T35,T35,Freddie Jacobson,86,"75' 7""",64409,71,"4' 3""","141' 2"""
36,T35,T35,Peter Malnati,85,"75' 7""",67150,74,"4' 3""","142' 8"""
37,T35,T35,Martin Piller,59,"75' 7""",41737,46,"4' 3""","126' 7"""
38,T39,T39,J.B. Holmes,77,"75' 6""",54386,60,"4' 3""","129' 5"""
39,T39,T39,Colt Knost,90,"75' 6""",63397,70,"4' 3""","162' 10"""
40,T41,T41,David Hearn,95,"75' 5""",74224,82,"4' 3""","149' 10"""
41,T41,T41,Dustin Johnson,87,"75' 5""",56119,62,"4' 3""","126' 3"""
42,T41,T41,Kyle Reifers,115,"75' 5""",86866,96,"4' 3""","147' 5"""
43,44,44,Andres Gonzales,80,"75' 1""",57688,64,"4' 3""","146' 3"""
44,T45,T45,Rob Oppenheim,67,"75' 0""",44999,50,"4' 2""","140' 5"""
45,T45,T45,Wes Roach,59,"75' 0""",38702,43,"4' 2""","150' 9"""
46,47,47,Hudson Swafford,104,"74' 11""",81846,91,"4' 2""","172' 9"""
47,T48,T48,Steve Marino,72,"74' 10""",49415,55,"4' 3""","125' 2"""
48,T48,T48,Hideki Matsuyama,76,"74' 10""",52074,58,"4' 2""","129' 1"""
49,T48,T48,Sam Saunders,69,"74' 10""",45796,51,"4' 3""","138' 9"""
50,T51,T51,Mark Hubbard,101,"74' 9""",74433,83,"4' 2""","192' 11"""
51,T51,T51,Andrew Landry,53,"74' 9""",29589,33,"4' 3""","130' 10"""
52,53,53,Matt Kuchar,100,"74' 8""",69025,77,"4' 2""","144' 3"""
53,T54,T54,Steven Bowditch,71,"74' 4""",49053,55,"4' 2""","143' 4"""
54,T54,T54,Charley Hoffman,91,"74' 4""",62446,70,"4' 2""","151' 10"""
55,T54,T54,Charles Howell III,91,"74' 4""",69592,78,"4' 2""","168' 1"""
56,T54,T54,Smylie Kaufman,91,"74' 4""",63313,71,"4' 2""","140' 4"""
