,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Jordan Spieth,80,1.545,2114,1368
1,2,2,Patrick Reed,105,1.547,2812,1818
2,3,3,Brendon Todd,66,1.548,1755,1134
3,4,4,Steve Stricker,53,1.5530000000000002,1482,954
4,5,5,Jonas Blixt,79,1.555,2127,1368
5,6,6,Bryce Molder,80,1.556,2185,1404
6,7,7,David Lingmerth,84,1.558,2271,1458
7,T8,T8,Aaron Baddeley,93,1.5590000000000002,2497,1602
8,T8,T8,Jason Day,76,1.5590000000000002,1936,1242
9,10,10,Stuart Appleby,71,1.564,1942,1242
10,11,11,Phil Mickelson,75,1.567,2031,1296
11,12,12,Jon Curran,99,1.571,2800,1782
12,T13,T13,Erik Compton,65,1.5719999999999998,1783,1134
13,T13,T13,Luke Guthrie,57,1.5719999999999998,1556,990
14,15,15,Hiroshi Iwata,85,1.574,2352,1494
15,16,16,Peter Malnati,85,1.575,2409,1530
16,17,17,Billy Hurley III,66,1.5759999999999998,1872,1188
17,18,18,Retief Goosen,55,1.58,1564,990
18,19,19,Freddie Jacobson,86,1.5819999999999999,2449,1548
19,T20,T20,Derek Fathauer,94,1.5830000000000002,2679,1692
20,T20,T20,Zach Johnson,90,1.5830000000000002,2450,1548
21,T20,T20,Dustin Johnson,87,1.5830000000000002,2336,1476
22,23,23,Ricky Barnes,97,1.584,2652,1674
23,24,24,Daniel Summerhays,99,1.585,2825,1782
24,T25,T25,Alex Cejka,71,1.5859999999999999,1913,1206
25,T25,T25,Adam Hadwin,93,1.5859999999999999,2655,1674
26,T25,T25,Michael Kim,100,1.5859999999999999,2740,1728
27,T25,T25,Tim Wilkinson,72,1.5859999999999999,1941,1224
28,29,29,Ryan Moore,86,1.588,2315,1458
29,T30,T30,Steven Bowditch,71,1.589,2031,1278
30,T30,T30,Ben Crane,80,1.589,2174,1368
31,T30,T30,Si Woo Kim,113,1.589,3117,1962
32,T30,T30,Troy Merritt,77,1.589,2203,1386
33,34,34,Andrew Loupe,75,1.59,2147,1350
34,T35,T35,Brian Harman,104,1.591,2979,1872
35,T35,T35,Kevin Kisner,97,1.591,2692,1692
